#  Vmag     Imag      dx       dy
 23.7550  22.0330  -0.1200   0.2100
 26.4710  24.1170   0.2300   0.2800
 25.9720  23.9450  -0.2700  -0.1200
 24.5820  22.8020   0.2400   0.0200
 22.8880  21.3650  -0.0300  -0.4700
 21.8970  20.6160  -0.1800  -0.2700
 21.0910  20.0210   0.0600   0.3800
 21.5340  20.3300   0.1900   0.1100
 26.3690  25.1920   4.6700   3.1500
 22.6780  21.2150   0.0500  -0.2000
 25.0500  23.2280   0.1000   0.2200
 23.4220  21.8310   0.5000   0.0000
 23.9080  22.1190   0.3000  -0.0100
 24.3820  22.5730  -0.4100   0.1000
 22.7060  21.2190   0.2300  -0.1700
 27.3800  26.5490  -0.3800   0.1500
 24.6190  22.7290   0.6500  -0.1900
 22.5270  21.0880   0.1300  -0.0200
 23.5390  23.0330  -0.7700  -0.0200
 23.9520  22.2900   0.0300  -0.0300
 24.6870  22.8010  -0.0800  -0.2000
 26.5360  24.2240   0.0500   0.1400
 24.6820  22.9160   0.1200   0.1100
 27.1700  26.0750  -0.3300   0.1300
 22.3940  21.0160  -0.3000   0.0600
 23.7300  21.9630   0.2600  -0.0400
 23.4040  21.8740   0.1100   0.2000
 25.8080  23.7460   0.1900   0.0800
 24.3520  22.5680   0.0800  -0.1000
 24.0370  22.2610   0.1000   0.0300
 25.5640  23.5490   0.3200  -0.1900
 24.6920  22.8950  -0.1000   0.1200
 25.4380  23.5270   0.0800   0.2500
 21.3340  20.1950  -0.0500   0.0300
 21.3220  20.1820   0.0100   0.0800
 22.7480  21.2370   0.2100   0.1900
 21.3820  20.7040  -0.6200   0.1000
 21.7190  20.4650   0.0000   0.0300
 21.5480  20.3720  -0.1700   0.0400
 24.4280  22.6480  -0.0300  -0.1400
 22.2960  20.8670  -0.0300  -0.0700
 25.9590  23.8130  -0.0500   0.1800
 23.6440  22.0690   0.0900   0.1300
 22.3920  20.9320   0.2300  -0.0100
 26.2530  25.3240  -0.6900  -0.3900
 21.9070  20.5660   0.0400  -0.1200
 25.7170  24.9420  -0.2600  -0.0500
 23.5840  21.9180  -0.2100   0.2300
 21.9960  20.7000  -0.0400  -0.1900
 23.0510  21.4800   0.2800  -0.2200
 23.9460  22.2190  -0.1100   0.0400
 22.7390  21.1960   0.0500   0.1800
 25.1210  23.0550   0.3100  -0.0200
 21.7480  20.5010  -0.1300  -0.3600
 23.6320  21.9390   0.1900  -0.0600
 26.2600  23.9450  -0.1200   0.0200
 22.1750  21.8230  -0.6300  -0.2500
 24.0080  22.3350   0.4100  -0.4700
 28.9170  27.9750  -0.1800  -1.7400
 25.7190  23.5170   0.3900  -0.3000
 24.9020  22.9700   0.0600  -0.2000
 23.7180  22.0650   0.2700  -0.2800
 26.8440  24.4240   0.1000   0.1800
 21.1260  20.0380   0.1600  -0.0900
 24.8520  22.9210   0.1800   0.3200
 25.3590  24.5310  -0.7300  -0.5200
 26.7760  25.8020  -0.5600  -0.2000
 20.9020  19.8500  -0.1900  -0.0700
 26.0280  23.8790   0.2900   0.1400
 26.3250  23.9900   0.3700  -0.0300
 25.0390  23.1240   0.2400   0.0200
 25.8000  25.0650  -0.5300  -0.0600
 22.9470  21.4210  -0.1000  -0.0500
 22.2950  20.9210  -0.1100  -0.1600
 27.1040  26.1200  -0.6900  -0.1000
 23.9150  22.2340  -0.1400  -0.1300
 23.3160  21.7220   0.0800   0.0100
 23.4520  22.9960  -0.5800  -0.0500
