#    B        V
  16.989   15.151
  16.913   15.083
  16.564   14.769
  16.486   14.697
  15.891   14.149
  15.867   14.127
  15.621   13.898
  15.300   13.600
  14.946   13.184
  14.443   12.653
  14.070   12.296
  13.828   12.076
  13.791   12.043
  13.561   11.832
  13.435   11.717
  13.110   11.420
  12.991   11.312
  12.879   11.210
  12.531   10.893
  12.530   10.892
  12.138   10.533
  11.782   10.208
  11.729   10.159
  11.447    9.902
  11.279    9.749
  11.113    9.597
  11.073    9.560
  10.781    9.289
  10.772    9.281
  10.372    8.910
  10.051    8.612
   9.973    8.539
   9.934    8.503
   9.725    8.393
   8.518    7.343
   8.191    7.058
   8.019    6.909
   7.810    6.730
   7.430    6.407
   7.393    6.376
   7.144    6.165
   6.778    5.860
   6.725    5.816
   6.591    5.706
   6.303    5.469
   6.107    5.312
   5.980    5.209
   5.917    5.160
   5.678    4.975
   5.676    4.974
   5.483    4.829
   5.474    4.822
   5.436    4.795
   5.360    4.736
   5.355    4.732
   5.350    4.728
   5.219    4.616
   5.149    4.557
   4.872    4.319
   4.824    4.278
   4.602    4.085
   4.319    3.843
   4.073    3.633
   3.826    3.425
   3.634    3.265
   3.605    3.239
   3.406    3.072
   3.213    2.911
   3.027    2.758
   2.849    2.611
   2.763    2.542
   2.682    2.476
   2.602    2.410
   2.526    2.350
   2.449    2.288
   2.377    2.231
   2.309    2.177
   2.243    2.124
   2.180    2.074
   2.121    2.026
   2.062    1.978
   2.008    1.934
   1.902    1.847
   1.806    1.768
   1.716    1.692
   1.633    1.622
   1.553    1.554
   1.477    1.489
   1.404    1.426
   1.312    1.344
   1.268    1.306
   1.267    1.305
   1.019    1.081
   0.793    0.873
   0.691    0.778
   0.588    0.680
   0.397    0.500
   0.374    0.478
   0.220    0.332
   0.066    0.186
   0.053    0.173
   0.042    0.163
  -0.105    0.023
  -0.204   -0.072
  -0.255   -0.120
  -0.342   -0.202
  -0.399   -0.257
  -0.523   -0.376
  -0.538   -0.390
  -0.541   -0.393
  -0.672   -0.518
  -0.762   -0.604
  -0.803   -0.643
  -0.896   -0.733
  -0.932   -0.767
  -1.045   -0.876
  -1.059   -0.890
  -1.184   -1.011
  -1.232   -1.056
  -1.308   -1.130
  -1.419   -1.237
  -1.431   -1.249
  -1.539   -1.353
  -1.553   -1.367
  -1.596   -1.408
  -1.678   -1.488
  -1.685   -1.495
  -1.804   -1.611
  -1.863   -1.669
  -1.971   -1.775
  -2.073   -1.875
  -2.171   -1.972
  -2.194   -1.995
  -2.305   -2.105
  -2.443   -2.242
  -2.574   -2.372
