Name: Ryan
measurement station: King Louie
Sample: PST 236 R5
date: Wednesday, July 10, 2019
time: 5:49 PM
Comment: 
PST236 R5
6-Terminal Large Hall Bar
July 10th, 2019

Pushing current from 8 to 3
Measuring Vxx from E to B using Agilent, GPIB 23
Measuring Vxy from E to 7 using Keysight 1, GPIB 22

Pushing a voltage of 100.0 mV at frequency 37.37Hz
Through divider of 1224:12
Reference resistance of 996.51 Kilohms
Ref. resistance voltage measured using Keysight 2, GPIB 24

Ref. resistance:Rxx:Rxy sensitivities are 1:1:0.05
Sweeping magnetic field from -14 to 14T at 0.1 T/min
Start Value B: -14.000000
End Value B: -13.750000
---------						
B field / T	Temperature (Ohm)	I-Keysight 01	Uxx-Keysight 02	Uxy- Ag1 Ch1	Rxx	Rxy
						
-1.39995E+1	1.93670E+4	-4.37880E+0	4.74116E+0	3.58551E+0	-1.07897E+3	-8.15975E+2
-1.39949E+1	1.93660E+4	-4.37453E+0	4.74093E+0	3.58509E+0	-1.07997E+3	-8.16676E+2
-1.39890E+1	1.93700E+4	-4.37233E+0	4.74134E+0	3.58525E+0	-1.08061E+3	-8.17124E+2
-1.39826E+1	1.93700E+4	-4.37129E+0	4.74162E+0	3.58540E+0	-1.08093E+3	-8.17352E+2
-1.39762E+1	1.93690E+4	-4.36700E+0	4.74189E+0	3.58454E+0	-1.08206E+3	-8.17960E+2
-1.39695E+1	1.93700E+4	-4.36620E+0	4.74208E+0	3.58458E+0	-1.08230E+3	-8.18119E+2
-1.39626E+1	1.93680E+4	-4.36573E+0	4.74235E+0	3.58470E+0	-1.08248E+3	-8.18233E+2
-1.39561E+1	1.93680E+4	-4.36191E+0	4.74246E+0	3.58468E+0	-1.08345E+3	-8.18946E+2
-1.39492E+1	1.93680E+4	-4.35881E+0	4.74256E+0	3.58472E+0	-1.08424E+3	-8.19538E+2
-1.39423E+1	1.93690E+4	-4.35466E+0	4.74276E+0	3.58444E+0	-1.08532E+3	-8.20255E+2
-1.39357E+1	1.93710E+4	-4.35316E+0	4.74283E+0	3.58415E+0	-1.08571E+3	-8.20471E+2
-1.39287E+1	1.93710E+4	-4.35211E+0	4.74279E+0	3.58410E+0	-1.08596E+3	-8.20657E+2
-1.39217E+1	1.93740E+4	-4.34951E+0	4.74296E+0	3.58392E+0	-1.08665E+3	-8.21107E+2
-1.39147E+1	1.93690E+4	-4.34711E+0	4.74340E+0	3.58387E+0	-1.08735E+3	-8.21547E+2
-1.39076E+1	1.93730E+4	-4.34010E+0	4.74343E+0	3.58399E+0	-1.08912E+3	-8.22904E+2
-1.39010E+1	1.93750E+4	-4.33928E+0	4.74352E+0	3.58372E+0	-1.08934E+3	-8.22998E+2
-1.38940E+1	1.93720E+4	-4.33984E+0	4.74360E+0	3.58339E+0	-1.08922E+3	-8.22814E+2
-1.38869E+1	1.93730E+4	-4.33834E+0	4.74411E+0	3.58357E+0	-1.08971E+3	-8.23140E+2
-1.38803E+1	1.93780E+4	-4.33195E+0	4.74416E+0	3.58358E+0	-1.09133E+3	-8.24357E+2
-1.38732E+1	1.93750E+4	-4.32735E+0	4.74409E+0	3.58337E+0	-1.09248E+3	-8.25185E+2
-1.38662E+1	1.93690E+4	-4.32531E+0	4.74444E+0	3.58334E+0	-1.09307E+3	-8.25567E+2
-1.38592E+1	1.93740E+4	-4.32426E+0	4.74452E+0	3.58306E+0	-1.09336E+3	-8.25704E+2
-1.38520E+1	1.93770E+4	-4.32227E+0	4.74450E+0	3.58286E+0	-1.09385E+3	-8.26037E+2
-1.38450E+1	1.93740E+4	-4.31891E+0	4.74450E+0	3.58256E+0	-1.09471E+3	-8.26610E+2
-1.38384E+1	1.93740E+4	-4.31753E+0	4.74465E+0	3.58239E+0	-1.09509E+3	-8.26835E+2
-1.38313E+1	1.93730E+4	-4.31457E+0	4.74509E+0	3.58264E+0	-1.09594E+3	-8.27460E+2
-1.38242E+1	1.93770E+4	-4.31305E+0	4.74526E+0	3.58268E+0	-1.09637E+3	-8.27760E+2
-1.38172E+1	1.93780E+4	-4.31068E+0	4.74541E+0	3.58228E+0	-1.09701E+3	-8.28124E+2
-1.38105E+1	1.93790E+4	-4.30726E+0	4.74573E+0	3.58251E+0	-1.09795E+3	-8.28835E+2
-1.38035E+1	1.93730E+4	-4.30206E+0	4.74557E+0	3.58194E+0	-1.09924E+3	-8.29705E+2
-1.37964E+1	1.93760E+4	-4.30204E+0	4.74598E+0	3.58222E+0	-1.09934E+3	-8.29775E+2
-1.37894E+1	1.93890E+4	-4.29873E+0	4.74612E+0	3.58207E+0	-1.10022E+3	-8.30378E+2
-1.37827E+1	1.93750E+4	-4.29449E+0	4.74620E+0	3.58200E+0	-1.10133E+3	-8.31182E+2
-1.37756E+1	1.93780E+4	-4.29150E+0	4.74588E+0	3.58137E+0	-1.10202E+3	-8.31613E+2
-1.37686E+1	1.93780E+4	-4.29181E+0	4.74620E+0	3.58138E+0	-1.10201E+3	-8.31556E+2
-1.37616E+1	1.93750E+4	-4.28782E+0	4.74654E+0	3.58160E+0	-1.10312E+3	-8.32381E+2
-1.37549E+1	1.93810E+4	-4.28528E+0	4.74668E+0	3.58154E+0	-1.10380E+3	-8.32859E+2
-1.37487E+1	1.93820E+4	-4.28373E+0	4.74689E+0	3.58147E+0	-1.10425E+3	-8.33147E+2
-1.37462E+1	1.93790E+4	-4.27874E+0	4.74713E+0	3.58138E+0	-1.10560E+3	-8.34095E+2
-1.37458E+1	1.93780E+4	-4.28178E+0	4.74794E+0	3.58189E+0	-1.10500E+3	-8.33621E+2
-1.37463E+1	1.93780E+4	-4.28532E+0	4.74763E+0	3.58190E+0	-1.10402E+3	-8.32936E+2
-1.37475E+1	1.93780E+4	-4.28568E+0	4.74742E+0	3.58169E+0	-1.10387E+3	-8.32819E+2
-1.37490E+1	1.93790E+4	-4.28609E+0	4.74749E+0	3.58172E+0	-1.10378E+3	-8.32744E+2
