Name: Ryan
measurement station: King Louie
Sample: PST 441 G2
date: Wednesday, July 03, 2019
time: 2:44 PM
Comment: 
PST441 G2
6-Terminal Small Hall Bar
July 3rd, 2019

Pushing current from9 to B
Measuring Vxx from 11 to 12 using Agilent, GPIB 23
Measuring Vxy from E to 11 using Keysight 1, GPIB 22

Pushing a voltage of 100.0 mV at frequency 37.37Hz
Through divider of 1224:12
Reference resistance of 996.51 Kilohms
Ref. resistance voltage measured using Keysight 2, GPIB 24

Ref. resistance:Rxx:Rxy sensitivities are 1:1:0.02
Sweeping magnetic field from -14 to 14T at 0.1 T/min
Start Value B: -0.250000
End Value B: 0.250000
---------						
B field / T	Temperature (Ohm)	I-Keysight 01	Uxx-Keysight 02	Uxy- Ag1 Ch1	Rxx	Rxy
						
-2.50200E-1	2.19460E+4	1.36632E-1	6.20593E+0	1.39010E+0	4.52623E+4	1.01386E+4
-2.48900E-1	2.19480E+4	1.35419E-1	6.20569E+0	1.39534E+0	4.56660E+4	1.02680E+4
-2.42600E-1	2.19440E+4	1.32727E-1	6.20622E+0	1.39060E+0	4.65961E+4	1.04406E+4
-2.35200E-1	2.19470E+4	1.29971E-1	6.20606E+0	1.39086E+0	4.75829E+4	1.06640E+4
-2.27200E-1	2.19440E+4	1.24550E-1	6.20586E+0	1.39351E+0	4.96525E+4	1.11494E+4
-2.19000E-1	2.19450E+4	1.19453E-1	6.20611E+0	1.39400E+0	5.17732E+4	1.16291E+4
-2.10300E-1	2.19460E+4	1.13487E-1	6.20600E+0	1.38370E+0	5.44940E+4	1.21501E+4
-2.02100E-1	2.19490E+4	1.09036E-1	6.20629E+0	1.39708E+0	5.67211E+4	1.27683E+4
-1.93300E-1	2.19490E+4	1.03184E-1	6.20651E+0	1.38964E+0	5.99400E+4	1.34206E+4
-1.85100E-1	2.19470E+4	9.92566E-2	6.20604E+0	1.39456E+0	6.23070E+4	1.40010E+4
-1.76800E-1	2.19500E+4	9.19854E-2	6.20639E+0	1.38945E+0	6.72360E+4	1.50524E+4
-1.68100E-1	2.19470E+4	8.83843E-2	6.20643E+0	1.39480E+0	6.99758E+4	1.57260E+4
-1.59800E-1	2.19490E+4	8.25723E-2	6.20614E+0	1.39613E+0	7.48978E+4	1.68489E+4
-1.51600E-1	2.19480E+4	7.99793E-2	6.20601E+0	1.38713E+0	7.73243E+4	1.72830E+4
-1.42800E-1	2.19490E+4	7.39719E-2	6.20662E+0	1.38778E+0	8.36123E+4	1.86955E+4
-1.34500E-1	2.19440E+4	6.82580E-2	6.20635E+0	1.38898E+0	9.06076E+4	2.02779E+4
-1.26200E-1	2.19490E+4	6.41738E-2	6.20658E+0	1.39106E+0	9.63776E+4	2.16007E+4
-1.17600E-1	2.19480E+4	5.87004E-2	6.20650E+0	1.39516E+0	1.05363E+5	2.36846E+4
-1.09200E-1	2.19490E+4	5.37220E-2	6.20647E+0	1.39272E+0	1.15126E+5	2.58341E+4
-1.00900E-1	2.19450E+4	4.88239E-2	6.20664E+0	1.38440E+0	1.26679E+5	2.82560E+4
-9.27000E-2	2.19440E+4	4.46186E-2	6.20634E+0	1.39370E+0	1.38612E+5	3.11268E+4
-8.39000E-2	2.19460E+4	3.84898E-2	6.20659E+0	1.39169E+0	1.60690E+5	3.60312E+4
-7.57000E-2	2.19500E+4	3.36386E-2	6.20658E+0	1.38602E+0	1.83863E+5	4.10595E+4
-6.74000E-2	2.19440E+4	2.90764E-2	6.20631E+0	1.39797E+0	2.12703E+5	4.79114E+4
-5.86000E-2	2.19470E+4	2.53652E-2	6.20702E+0	1.39105E+0	2.43852E+5	5.46495E+4
-5.03000E-2	2.19490E+4	1.87741E-2	6.20675E+0	1.38774E+0	3.29447E+5	7.36598E+4
-4.19000E-2	2.19500E+4	1.33244E-2	6.20918E+0	1.39849E+0	4.64375E+5	1.04590E+5
-3.33000E-2	2.19470E+4	8.74380E-3	6.22220E+0	1.39616E+0	7.09129E+5	1.59118E+5
-2.49000E-2	2.19450E+4	4.07032E-3	6.22277E+0	1.39576E+0	1.52348E+6	3.41714E+5
-1.67000E-2	2.19450E+4	-1.06619E-3	6.22312E+0	1.40078E+0	-5.81638E+6	-1.30922E+6
-8.40000E-3	2.19480E+4	-4.28771E-3	6.22358E+0	1.39081E+0	-1.44643E+6	-3.23240E+5
5.00000E-4	2.19430E+4	-1.00695E-2	6.22392E+0	1.39642E+0	-6.15941E+5	-1.38195E+5
8.80000E-3	2.19450E+4	-1.55448E-2	6.22378E+0	1.39791E+0	-3.98980E+5	-8.96141E+4
1.71000E-2	2.19450E+4	-1.92482E-2	6.22316E+0	1.39604E+0	-3.22182E+5	-7.22752E+4
2.54000E-2	2.19450E+4	-2.42343E-2	6.22301E+0	1.39331E+0	-2.55889E+5	-5.72925E+4
3.40000E-2	2.19420E+4	-3.01792E-2	6.22313E+0	1.39328E+0	-2.05486E+5	-4.60059E+4
4.24000E-2	2.19430E+4	-3.48312E-2	6.22294E+0	1.39881E+0	-1.78036E+5	-4.00194E+4
5.08000E-2	2.19400E+4	-3.98531E-2	6.22232E+0	1.40615E+0	-1.55587E+5	-3.51602E+4
5.95000E-2	2.19410E+4	-4.43903E-2	6.22271E+0	1.39328E+0	-1.39693E+5	-3.12775E+4
6.77000E-2	2.19380E+4	-4.99569E-2	6.22295E+0	1.39815E+0	-1.24132E+5	-2.78896E+4
7.60000E-2	2.19370E+4	-5.43206E-2	6.22263E+0	1.40040E+0	-1.14154E+5	-2.56904E+4
