Name: Ryan
measurement station: King Louie
Sample: PST 441 G2
date: Wednesday, July 03, 2019
time: 3:51 PM
Comment: 
PST441 G2
6-Terminal Small Hall Bar
July 3rd, 2019

Pushing current from9 to B
Measuring Vxx from 11 to 12 using Agilent, GPIB 23
Measuring Vxy from E to 11 using Keysight 1, GPIB 22

Pushing a voltage of 100.0 mV at frequency 37.37Hz
Through divider of 1224:12
Reference resistance of 996.51 Kilohms
Ref. resistance voltage measured using Keysight 2, GPIB 24

Ref. resistance:Rxx:Rxy sensitivities are 1:0.5:0.02
Sweeping magnetic field from -14 to 14T at 0.1 T/min
Start Value B: -14.000000
End Value B: 14.000000
---------						
B field / T	Temperature (Ohm)	I-Keysight 01	Uxx-Keysight 02	Uxy- Ag1 Ch1	Rxx	Rxy
						
-1.39991E+1	2.19910E+4	8.32659E+0	5.87785E+0	2.99824E+0	7.03449E+2	3.58823E+2
-1.39972E+1	2.19890E+4	8.32477E+0	5.87803E+0	2.98643E+0	7.03625E+2	3.57488E+2
-1.39909E+1	2.19880E+4	8.32047E+0	5.87755E+0	2.99867E+0	7.03932E+2	3.59139E+2
-1.39836E+1	2.19910E+4	8.31419E+0	5.87813E+0	2.98875E+0	7.04533E+2	3.58222E+2
-1.39759E+1	2.19900E+4	8.31137E+0	5.87818E+0	2.99443E+0	7.04778E+2	3.59024E+2
-1.39676E+1	2.19910E+4	8.30472E+0	5.87874E+0	2.98615E+0	7.05410E+2	3.58318E+2
-1.39595E+1	2.19910E+4	8.30019E+0	5.87866E+0	2.99361E+0	7.05785E+2	3.59409E+2
-1.39513E+1	2.19880E+4	8.29636E+0	5.87911E+0	2.99099E+0	7.06165E+2	3.59260E+2
-1.39427E+1	2.19900E+4	8.28915E+0	5.87910E+0	2.99219E+0	7.06777E+2	3.59717E+2
-1.39344E+1	2.19890E+4	8.28482E+0	5.87961E+0	2.99658E+0	7.07207E+2	3.60433E+2
-1.39261E+1	2.19880E+4	8.27945E+0	5.87947E+0	2.99417E+0	7.07650E+2	3.60377E+2
-1.39175E+1	2.19890E+4	8.27407E+0	5.87973E+0	2.98872E+0	7.08141E+2	3.59955E+2
-1.39093E+1	2.19910E+4	8.26790E+0	5.87988E+0	2.98831E+0	7.08687E+2	3.60173E+2
-1.39011E+1	2.19910E+4	8.26399E+0	5.88028E+0	3.00398E+0	7.09070E+2	3.62234E+2
-1.38928E+1	2.19890E+4	8.25865E+0	5.88023E+0	2.98495E+0	7.09525E+2	3.60171E+2
-1.38841E+1	2.19870E+4	8.25344E+0	5.88048E+0	2.99511E+0	7.10002E+2	3.61625E+2
-1.38757E+1	2.19920E+4	8.24735E+0	5.88082E+0	2.99871E+0	7.10566E+2	3.62327E+2
-1.38675E+1	2.19910E+4	8.24149E+0	5.88106E+0	2.98017E+0	7.11102E+2	3.60344E+2
-1.38590E+1	2.19920E+4	8.23664E+0	5.88134E+0	2.98966E+0	7.11554E+2	3.61704E+2
-1.38504E+1	2.19870E+4	8.23151E+0	5.88172E+0	2.98671E+0	7.12044E+2	3.61573E+2
-1.38422E+1	2.19910E+4	8.22616E+0	5.88130E+0	2.99567E+0	7.12456E+2	3.62893E+2
-1.38338E+1	2.19890E+4	8.22069E+0	5.88182E+0	3.00459E+0	7.12993E+2	3.64216E+2
-1.38255E+1	2.19890E+4	8.21620E+0	5.88206E+0	2.98780E+0	7.13412E+2	3.62379E+2
-1.38168E+1	2.19900E+4	8.21038E+0	5.88223E+0	2.99877E+0	7.13938E+2	3.63967E+2
-1.38085E+1	2.19890E+4	8.20436E+0	5.88271E+0	2.98290E+0	7.14520E+2	3.62307E+2
-1.38001E+1	2.19890E+4	8.19888E+0	5.88301E+0	2.99438E+0	7.15034E+2	3.63943E+2
-1.37915E+1	2.19870E+4	8.19404E+0	5.88306E+0	2.98529E+0	7.15462E+2	3.63053E+2
-1.37832E+1	2.19890E+4	8.18712E+0	5.88315E+0	2.98532E+0	7.16078E+2	3.63364E+2
-1.37749E+1	2.19860E+4	8.18320E+0	5.88289E+0	2.99484E+0	7.16389E+2	3.64697E+2
-1.37663E+1	2.19920E+4	8.17902E+0	5.88384E+0	2.98040E+0	7.16872E+2	3.63124E+2
-1.37579E+1	2.19880E+4	8.17197E+0	5.88356E+0	2.98822E+0	7.17456E+2	3.64390E+2
-1.37496E+1	2.19910E+4	8.16578E+0	5.88380E+0	2.99143E+0	7.18029E+2	3.65059E+2
-1.37409E+1	2.19870E+4	8.16226E+0	5.88427E+0	2.98747E+0	7.18396E+2	3.64732E+2
-1.37326E+1	2.19920E+4	8.15613E+0	5.88449E+0	2.99751E+0	7.18963E+2	3.66233E+2
-1.37243E+1	2.19900E+4	8.14916E+0	5.88472E+0	2.99291E+0	7.19606E+2	3.65985E+2
