Name: Ryan
measurement station: King Louie
Sample: PST 441 G2
date: Thursday, July 04, 2019
time: 10:27 AM
Comment: 
PST441 G2
6-Terminal Small Hall Bar
July 3rd, 2019

Pushing current from9 to B
Measuring Vxx from E to 3 using Agilent, GPIB 23
Measuring Vxy from E to 11 using Keysight 1, GPIB 22

Pushing a voltage of 100.0 mV at frequency 37.37Hz
Through divider of 1224:12
Reference resistance of 996.51 Kilohms
Ref. resistance voltage measured using Keysight 2, GPIB 24

Ref. resistance:Rxx:Rxy sensitivities are 1:1:0.02
Sweeping magnetic field from -14 to 14T at 0.1 T/min
Start Value B: -14.000000
End Value B: 14.000000
---------						
B field / T	Temperature (Ohm)	I-Keysight 01	Uxx-Keysight 02	Uxy- Ag1 Ch1	Rxx	Rxy
						
-1.39991E+1	2.20870E+4	8.31910E+0	5.87661E+0	1.53158E+0	7.03935E+2	1.83462E+2
-1.39935E+1	2.20880E+4	8.31753E+0	5.87609E+0	1.53132E+0	7.04005E+2	1.83465E+2
-1.39863E+1	2.20890E+4	8.31323E+0	5.87683E+0	1.53138E+0	7.04459E+2	1.83567E+2
-1.39787E+1	2.20900E+4	8.30934E+0	5.87705E+0	1.53137E+0	7.04814E+2	1.83652E+2
-1.39704E+1	2.20910E+4	8.30254E+0	5.87666E+0	1.53111E+0	7.05344E+2	1.83770E+2
-1.39623E+1	2.20900E+4	8.29610E+0	5.87745E+0	1.53118E+0	7.05987E+2	1.83922E+2
-1.39542E+1	2.20880E+4	8.29226E+0	5.87739E+0	1.53098E+0	7.06306E+2	1.83983E+2
-1.39455E+1	2.20900E+4	8.28630E+0	5.87760E+0	1.53086E+0	7.06840E+2	1.84101E+2
-1.39373E+1	2.20910E+4	8.28205E+0	5.87793E+0	1.53088E+0	7.07242E+2	1.84198E+2
-1.39291E+1	2.20890E+4	8.27693E+0	5.87798E+0	1.53073E+0	7.07685E+2	1.84294E+2
-1.39205E+1	2.20900E+4	8.26939E+0	5.87810E+0	1.53057E+0	7.08346E+2	1.84443E+2
-1.39123E+1	2.20910E+4	8.26628E+0	5.87852E+0	1.53045E+0	7.08662E+2	1.84497E+2
-1.39039E+1	2.20940E+4	8.25991E+0	5.87900E+0	1.53050E+0	7.09267E+2	1.84646E+2
-1.38953E+1	2.20920E+4	8.25402E+0	5.87870E+0	1.53023E+0	7.09737E+2	1.84746E+2
-1.38869E+1	2.20920E+4	8.24904E+0	5.87920E+0	1.53015E+0	7.10226E+2	1.84847E+2
-1.38787E+1	2.20900E+4	8.24240E+0	5.87942E+0	1.53015E+0	7.10825E+2	1.84995E+2
-1.38705E+1	2.20920E+4	8.23923E+0	5.87971E+0	1.53003E+0	7.11133E+2	1.85053E+2
-1.38616E+1	2.20910E+4	8.23469E+0	5.87989E+0	1.52999E+0	7.11547E+2	1.85150E+2
-1.38534E+1	2.20950E+4	8.22785E+0	5.88002E+0	1.52983E+0	7.12154E+2	1.85285E+2
-1.38447E+1	2.20910E+4	8.22207E+0	5.88056E+0	1.52980E+0	7.12721E+2	1.85410E+2
-1.38363E+1	2.20930E+4	8.21848E+0	5.88046E+0	1.52966E+0	7.13019E+2	1.85475E+2
-1.38280E+1	2.20910E+4	8.21121E+0	5.88056E+0	1.52951E+0	7.13663E+2	1.85621E+2
-1.38195E+1	2.20930E+4	8.20670E+0	5.88089E+0	1.52939E+0	7.14095E+2	1.85708E+2
-1.38111E+1	2.20910E+4	8.19955E+0	5.88115E+0	1.52921E+0	7.14750E+2	1.85849E+2
-1.38027E+1	2.20930E+4	8.19488E+0	5.88100E+0	1.52909E+0	7.15139E+2	1.85939E+2
-1.37945E+1	2.20960E+4	8.19177E+0	5.88192E+0	1.52911E+0	7.15522E+2	1.86013E+2
-1.37857E+1	2.20960E+4	8.18532E+0	5.88185E+0	1.52904E+0	7.16077E+2	1.86150E+2
-1.37775E+1	2.20950E+4	8.17959E+0	5.88219E+0	1.52898E+0	7.16620E+2	1.86274E+2
