Name: Ryan
measurement station: King Louie
Sample: PST 441 G2
date: Monday, July 08, 2019
time: 4:39 PM
Comment: 
PST441 G2
6-Terminal Small Hall Bar
July 3rd, 2019

Pushing current from 6 to 12
Measuring Vxx from 8 to E using Agilent, GPIB 23
Measuring Vxy from 5 to 8 using Keysight 1, GPIB 22

Pushing a voltage of 100.0 mV at frequency 37.37Hz
Through divider of 1224:12
Reference resistance of 996.51 Kilohms
Ref. resistance voltage measured using Keysight 2, GPIB 24

Ref. resistance:Rxx:Rxy sensitivities are 1:1:0.05
Sweeping magnetic field from -14 to 14T at 0.1 T/min
Start Value B: -14.000000
End Value B: 14.000000
---------						
B field / T	Temperature (Ohm)	I-Keysight 01	Uxx-Keysight 02	Uxy- Ag1 Ch1	Rxx	Rxy
						
-1.39992E+1	2.10120E+4	3.61883E+0	6.38608E+0	1.53531E+0	1.75853E+3	4.22775E+2
-1.39939E+1	2.10180E+4	3.61832E+0	6.38663E+0	1.53530E+0	1.75892E+3	4.22832E+2
-1.39865E+1	2.10200E+4	3.61857E+0	6.38985E+0	1.53619E+0	1.75969E+3	4.23049E+2
-1.39716E+1	2.10270E+4	3.61316E+0	6.38769E+0	1.53538E+0	1.76173E+3	4.23459E+2
-1.39636E+1	2.10280E+4	3.60989E+0	6.38634E+0	1.53504E+0	1.76295E+3	4.23749E+2
-1.39551E+1	2.10290E+4	3.60779E+0	6.38916E+0	1.53543E+0	1.76475E+3	4.24102E+2
-1.39468E+1	2.10360E+4	3.60678E+0	6.38785E+0	1.53509E+0	1.76488E+3	4.24127E+2
-1.39386E+1	2.10350E+4	3.60448E+0	6.38945E+0	1.53517E+0	1.76646E+3	4.24420E+2
-1.39303E+1	2.10400E+4	3.60065E+0	6.38733E+0	1.53460E+0	1.76775E+3	4.24714E+2
-1.39216E+1	2.10410E+4	3.60125E+0	6.38942E+0	1.53493E+0	1.76803E+3	4.24732E+2
-1.39134E+1	2.10420E+4	3.59731E+0	6.38722E+0	1.53401E+0	1.76936E+3	4.24945E+2
-1.39052E+1	2.10460E+4	3.59568E+0	6.39041E+0	1.53459E+0	1.77104E+3	4.25298E+2
-1.38969E+1	2.10480E+4	3.59453E+0	6.39033E+0	1.53440E+0	1.77159E+3	4.25380E+2
-1.38883E+1	2.10490E+4	3.58693E+0	6.38616E+0	1.53362E+0	1.77418E+3	4.26066E+2
-1.38800E+1	2.10560E+4	3.58581E+0	6.38834E+0	1.53361E+0	1.77535E+3	4.26197E+2
-1.38718E+1	2.10540E+4	3.58429E+0	6.38724E+0	1.53335E+0	1.77579E+3	4.26305E+2
-1.38634E+1	2.10580E+4	3.58429E+0	6.39086E+0	1.53388E+0	1.77680E+3	4.26453E+2
-1.38547E+1	2.10630E+4	3.58057E+0	6.39132E+0	1.53453E+0	1.77877E+3	4.27075E+2
-1.38464E+1	2.10640E+4	3.57835E+0	6.39064E+0	1.53348E+0	1.77969E+3	4.27049E+2
-1.38381E+1	2.10670E+4	3.57748E+0	6.39243E+0	1.53385E+0	1.78062E+3	4.27255E+2
-1.38294E+1	2.10720E+4	3.57364E+0	6.39052E+0	1.53331E+0	1.78200E+3	4.27563E+2
-1.38210E+1	2.10760E+4	3.57180E+0	6.38952E+0	1.53300E+0	1.78264E+3	4.27699E+2
-1.38127E+1	2.10760E+4	3.56938E+0	6.39246E+0	1.53369E+0	1.78467E+3	4.28179E+2
-1.38018E+1	2.10820E+4	3.56941E+0	6.39176E+0	1.53323E+0	1.78446E+3	4.28048E+2
-1.37958E+1	2.10840E+4	3.56546E+0	6.39041E+0	1.53283E+0	1.78606E+3	4.28410E+2
-1.37874E+1	2.10810E+4	3.56438E+0	6.39324E+0	1.53329E+0	1.78739E+3	4.28668E+2
-1.37791E+1	2.10880E+4	3.56195E+0	6.39483E+0	1.53363E+0	1.78905E+3	4.29057E+2
-1.37709E+1	2.10940E+4	3.55941E+0	6.39313E+0	1.53305E+0	1.78985E+3	4.29201E+2
-1.37621E+1	2.10930E+4	3.55684E+0	6.39383E+0	1.53301E+0	1.79134E+3	4.29498E+2
-1.37539E+1	2.10970E+4	3.55423E+0	6.39387E+0	1.53272E+0	1.79267E+3	4.29735E+2
-1.37456E+1	2.11010E+4	3.55060E+0	6.39321E+0	1.53239E+0	1.79431E+3	4.30080E+2
-1.37367E+1	2.10980E+4	3.54800E+0	6.39398E+0	1.53244E+0	1.79585E+3	4.30410E+2
-1.37284E+1	2.11050E+4	3.54482E+0	6.39370E+0	1.53217E+0	1.79738E+3	4.30719E+2
-1.37201E+1	2.11050E+4	3.54470E+0	6.39494E+0	1.53238E+0	1.79779E+3	4.30791E+2
-1.37118E+1	2.11120E+4	3.54258E+0	6.39364E+0	1.53173E+0	1.79850E+3	4.30867E+2
-1.37031E+1	2.11140E+4	3.54157E+0	6.39607E+0	1.53224E+0	1.79970E+3	4.31135E+2
-1.36948E+1	2.11150E+4	3.53923E+0	6.39476E+0	1.53211E+0	1.80052E+3	4.31381E+2
-1.36866E+1	2.11190E+4	3.53477E+0	6.39582E+0	1.53223E+0	1.80308E+3	4.31962E+2
-1.36777E+1	2.11210E+4	3.53359E+0	6.39771E+0	1.53268E+0	1.80422E+3	4.32231E+2
-1.36696E+1	2.11250E+4	3.53051E+0	6.39670E+0	1.53208E+0	1.80551E+3	4.32440E+2
-1.36613E+1	2.11270E+4	3.52906E+0	6.39545E+0	1.53146E+0	1.80590E+3	4.32443E+2
-1.36524E+1	2.11310E+4	3.52413E+0	6.39356E+0	1.53084E+0	1.80789E+3	4.32872E+2
-1.36441E+1	2.11300E+4	3.52461E+0	6.39529E+0	1.53068E+0	1.80813E+3	4.32766E+2
-1.36358E+1	2.11370E+4	3.52127E+0	6.39749E+0	1.53146E+0	1.81047E+3	4.33400E+2
-1.36271E+1	2.11370E+4	3.52006E+0	6.39733E+0	1.53123E+0	1.81105E+3	4.33482E+2
-1.36188E+1	2.11380E+4	3.51483E+0	6.39494E+0	1.53026E+0	1.81307E+3	4.33854E+2
-1.36105E+1	2.11440E+4	3.51192E+0	6.39634E+0	1.53110E+0	1.81497E+3	4.34450E+2
-1.36021E+1	2.11470E+4	3.51185E+0	6.39690E+0	1.53078E+0	1.81516E+3	4.34368E+2
-1.35934E+1	2.11440E+4	3.50972E+0	6.39686E+0	1.53057E+0	1.81625E+3	4.34571E+2
-1.35852E+1	2.11500E+4	3.50807E+0	6.39949E+0	1.53135E+0	1.81785E+3	4.34998E+2
-1.35768E+1	2.11490E+4	3.50417E+0	6.39633E+0	1.53014E+0	1.81898E+3	4.35139E+2
-1.35686E+1	2.11540E+4	3.50210E+0	6.39915E+0	1.53073E+0	1.82085E+3	4.35564E+2
-1.35597E+1	2.11560E+4	3.50191E+0	6.39857E+0	1.53046E+0	1.82079E+3	4.35511E+2
-1.35514E+1	2.11590E+4	3.49900E+0	6.39937E+0	1.53050E+0	1.82253E+3	4.35885E+2
-1.35431E+1	2.11650E+4	3.49675E+0	6.39939E+0	1.53030E+0	1.82371E+3	4.36107E+2
-1.35343E+1	2.11660E+4	3.49509E+0	6.39952E+0	1.53014E+0	1.82461E+3	4.36270E+2
-1.35261E+1	2.11670E+4	3.49156E+0	6.40003E+0	1.53021E+0	1.82660E+3	4.36728E+2
-1.35173E+1	2.11680E+4	3.48961E+0	6.40036E+0	1.53008E+0	1.82771E+3	4.36937E+2
-1.35090E+1	2.11730E+4	3.48737E+0	6.40025E+0	1.52987E+0	1.82886E+3	4.37159E+2
-1.35008E+1	2.11750E+4	3.48465E+0	6.40037E+0	1.52974E+0	1.83032E+3	4.37461E+2
-1.34925E+1	2.11780E+4	3.48263E+0	6.40057E+0	1.52972E+0	1.83144E+3	4.37709E+2
-1.34837E+1	2.11790E+4	3.48012E+0	6.40093E+0	1.52960E+0	1.83286E+3	4.37990E+2
-1.34753E+1	2.11830E+4	3.47814E+0	6.40120E+0	1.52959E+0	1.83399E+3	4.38238E+2
-1.34671E+1	2.11850E+4	3.47636E+0	6.40110E+0	1.52937E+0	1.83490E+3	4.38401E+2
-1.34588E+1	2.11900E+4	3.47374E+0	6.40182E+0	1.52934E+0	1.83649E+3	4.38721E+2
-1.34501E+1	2.11880E+4	3.47041E+0	6.40172E+0	1.52918E+0	1.83822E+3	4.39097E+2
