Name: Ryan
measurement station: King Louie
Sample: PST 441 H3
date: Wednesday, June 26, 2019
time: 1:47 PM
Comment: 
PST441 H3
8-Terminal Hall Bar
June 26th, 2019

Pushing current from 6 to 12
Measuring Vxx from 8 to E using Agilent, GPIB 23
Measuring Vxy from 5 to 8 using Keysight 1, GPIB 22

Pushing a voltage of 100.0 mV at frequency 37.37Hz
Through divider of 1224:12
Reference resistance of 996.51 Ohms
Ref. resistance voltage measured using Keysight 2, GPIB 24

Ref. resistance:Rxx:Rxy sensitivities are 1:1:0.05
Sweeping magnetic field from 14 to -1T at 0.1 T/min
Start Value B: 14.000000
End Value B: -1.000000
---------						
B field / T	Temperature (Ohm)	I-Keysight 01	Uxx-Keysight 02	Uxy- Ag1 Ch1	Rxx	Rxy
						
1.40000E+1	1.69270E+4	-3.47350E+0	6.33580E+0	7.56725E-1	-1.81768E+3	-2.17096E+2
1.39973E+1	1.69260E+4	-3.47224E+0	6.33568E+0	7.56710E-1	-1.81830E+3	-2.17171E+2
1.39908E+1	1.69220E+4	-3.47036E+0	6.33595E+0	7.56655E-1	-1.81936E+3	-2.17273E+2
1.39834E+1	1.69230E+4	-3.46936E+0	6.33619E+0	7.56635E-1	-1.81996E+3	-2.17330E+2
1.39756E+1	1.69230E+4	-3.46673E+0	6.33643E+0	7.56603E-1	-1.82140E+3	-2.17485E+2
1.39676E+1	1.69200E+4	-3.46430E+0	6.33653E+0	7.56516E-1	-1.82271E+3	-2.17613E+2
1.39593E+1	1.69170E+4	-3.46144E+0	6.33695E+0	7.56578E-1	-1.82434E+3	-2.17810E+2
1.39512E+1	1.69190E+4	-3.46002E+0	6.33679E+0	7.56387E-1	-1.82504E+3	-2.17845E+2
1.39430E+1	1.69180E+4	-3.45885E+0	6.33739E+0	7.56467E-1	-1.82583E+3	-2.17941E+2
1.39342E+1	1.69150E+4	-3.45664E+0	6.33729E+0	7.56357E-1	-1.82697E+3	-2.18049E+2
1.39261E+1	1.69150E+4	-3.45453E+0	6.33791E+0	7.56339E-1	-1.82827E+3	-2.18177E+2
1.39179E+1	1.69140E+4	-3.45100E+0	6.33779E+0	7.56283E-1	-1.83010E+3	-2.18384E+2
1.39096E+1	1.69140E+4	-3.44854E+0	6.33805E+0	7.56232E-1	-1.83148E+3	-2.18525E+2
1.39010E+1	1.69080E+4	-3.44711E+0	6.33839E+0	7.56256E-1	-1.83234E+3	-2.18623E+2
1.38927E+1	1.69110E+4	-3.44435E+0	6.33850E+0	7.56155E-1	-1.83384E+3	-2.18769E+2
1.38841E+1	1.69090E+4	-3.44240E+0	6.33890E+0	7.56112E-1	-1.83499E+3	-2.18880E+2
1.38758E+1	1.69060E+4	-3.44042E+0	6.33914E+0	7.56041E-1	-1.83612E+3	-2.18985E+2
1.38675E+1	1.69080E+4	-3.43823E+0	6.33938E+0	7.55990E-1	-1.83736E+3	-2.19110E+2
1.38592E+1	1.69050E+4	-3.43559E+0	6.33955E+0	7.55957E-1	-1.83882E+3	-2.19269E+2
1.38503E+1	1.69020E+4	-3.43278E+0	6.33982E+0	7.55940E-1	-1.84040E+3	-2.19444E+2
1.38420E+1	1.68990E+4	-3.43173E+0	6.33980E+0	7.55864E-1	-1.84096E+3	-2.19489E+2
1.38338E+1	1.69030E+4	-3.42856E+0	6.34012E+0	7.55803E-1	-1.84275E+3	-2.19674E+2
1.38251E+1	1.68970E+4	-3.42633E+0	6.34052E+0	7.55819E-1	-1.84407E+3	-2.19821E+2
1.38168E+1	1.69010E+4	-3.42468E+0	6.34082E+0	7.55763E-1	-1.84505E+3	-2.19911E+2
1.38085E+1	1.68960E+4	-3.42168E+0	6.34066E+0	7.55696E-1	-1.84662E+3	-2.20085E+2
1.38002E+1	1.68970E+4	-3.41913E+0	6.34094E+0	7.55604E-1	-1.84808E+3	-2.20222E+2
1.37916E+1	1.68930E+4	-3.41740E+0	6.34151E+0	7.55599E-1	-1.84918E+3	-2.20332E+2
1.37833E+1	1.68940E+4	-3.41525E+0	6.34150E+0	7.55517E-1	-1.85034E+3	-2.20446E+2
1.37749E+1	1.68930E+4	-3.41326E+0	6.34148E+0	7.55445E-1	-1.85141E+3	-2.20554E+2
1.37667E+1	1.68940E+4	-3.41096E+0	6.34178E+0	7.55399E-1	-1.85275E+3	-2.20689E+2
1.37579E+1	1.68920E+4	-3.40883E+0	6.34236E+0	7.55352E-1	-1.85408E+3	-2.20814E+2
1.37497E+1	1.68900E+4	-3.40630E+0	6.34252E+0	7.55371E-1	-1.85550E+3	-2.20983E+2
1.37413E+1	1.68900E+4	-3.40387E+0	6.34279E+0	7.55249E-1	-1.85690E+3	-2.21105E+2
1.37331E+1	1.68870E+4	-3.40160E+0	6.34297E+0	7.55250E-1	-1.85820E+3	-2.21253E+2
1.37243E+1	1.68840E+4	-3.39975E+0	6.34328E+0	7.55199E-1	-1.85930E+3	-2.21359E+2
1.37161E+1	1.68860E+4	-3.39787E+0	6.34345E+0	7.55204E-1	-1.86037E+3	-2.21482E+2
1.37077E+1	1.68840E+4	-3.39496E+0	6.34336E+0	7.55084E-1	-1.86194E+3	-2.21637E+2
1.36990E+1	1.68810E+4	-3.39258E+0	6.34376E+0	7.55013E-1	-1.86337E+3	-2.21772E+2
1.36907E+1	1.68790E+4	-3.39026E+0	6.34425E+0	7.55004E-1	-1.86479E+3	-2.21921E+2
1.36824E+1	1.68810E+4	-3.38805E+0	6.34442E+0	7.54977E-1	-1.86605E+3	-2.22058E+2
1.36737E+1	1.68780E+4	-3.38607E+0	6.34443E+0	7.54840E-1	-1.86715E+3	-2.22147E+2
1.36654E+1	1.68760E+4	-3.38399E+0	6.34475E+0	7.54801E-1	-1.86839E+3	-2.22272E+2
1.36571E+1	1.68770E+4	-3.38086E+0	6.34497E+0	7.54799E-1	-1.87018E+3	-2.22477E+2
1.36483E+1	1.68750E+4	-3.37850E+0	6.34513E+0	7.54770E-1	-1.87154E+3	-2.22624E+2
1.36401E+1	1.68760E+4	-3.37638E+0	6.34512E+0	7.54641E-1	-1.87271E+3	-2.22726E+2
1.36317E+1	1.68740E+4	-3.37492E+0	6.34578E+0	7.54644E-1	-1.87372E+3	-2.22823E+2
1.36230E+1	1.68720E+4	-3.37225E+0	6.34569E+0	7.54611E-1	-1.87517E+3	-2.22990E+2
1.36147E+1	1.68710E+4	-3.37001E+0	6.34605E+0	7.54559E-1	-1.87652E+3	-2.23123E+2
1.36064E+1	1.68700E+4	-3.36828E+0	6.34633E+0	7.54499E-1	-1.87757E+3	-2.23220E+2
1.35977E+1	1.68690E+4	-3.36582E+0	6.34630E+0	7.54361E-1	-1.87893E+3	-2.23342E+2
1.35894E+1	1.68670E+4	-3.36289E+0	6.34675E+0	7.54350E-1	-1.88071E+3	-2.23533E+2
1.35811E+1	1.68670E+4	-3.36113E+0	6.34665E+0	7.54283E-1	-1.88166E+3	-2.23630E+2
1.35728E+1	1.68640E+4	-3.35987E+0	6.34758E+0	7.54291E-1	-1.88264E+3	-2.23716E+2
1.35642E+1	1.68630E+4	-3.35611E+0	6.34741E+0	7.54170E-1	-1.88470E+3	-2.23931E+2
1.35557E+1	1.68640E+4	-3.35359E+0	6.34757E+0	7.54165E-1	-1.88616E+3	-2.24098E+2
1.35474E+1	1.68600E+4	-3.35219E+0	6.34778E+0	7.54108E-1	-1.88701E+3	-2.24175E+2
1.35391E+1	1.68600E+4	-3.34942E+0	6.34803E+0	7.54056E-1	-1.88865E+3	-2.24345E+2
1.35305E+1	1.68570E+4	-3.34725E+0	6.34869E+0	7.54114E-1	-1.89007E+3	-2.24507E+2
1.35222E+1	1.68570E+4	-3.34548E+0	6.34857E+0	7.53981E-1	-1.89103E+3	-2.24586E+2
1.35139E+1	1.68550E+4	-3.34390E+0	6.34909E+0	7.54011E-1	-1.89208E+3	-2.24702E+2
1.35055E+1	1.68560E+4	-3.34034E+0	6.34896E+0	7.53930E-1	-1.89406E+3	-2.24917E+2
1.34969E+1	1.68530E+4	-3.33875E+0	6.34945E+0	7.53837E-1	-1.89511E+3	-2.24996E+2
1.34885E+1	1.68530E+4	-3.33676E+0	6.34975E+0	7.53787E-1	-1.89633E+3	-2.25116E+2
1.34802E+1	1.68520E+4	-3.33409E+0	6.34965E+0	7.53740E-1	-1.89782E+3	-2.25282E+2
