Name: Ryan
Sample: PST441 H3
Measuring Station: King Louis
Start Date/Time: 6/25/2019 / 11:14:04 AM
Actual time: 6/25/2019 / 11:14:04 AM

Comment:
PST441 H3
8-Terminal Hall Bar
June 24th, 2019
Cool-down measurement

Pushing current from 6 to 12
Measuring Rxx from 8 to E in Keysight 1

Set frequency to 37.37 Hz
Giving amplitude of 100mV through 1224:12 divider
Reference resistance of 996.51 Ohms
Measuring ref. resistance in Keysight 2

Cooling overnight from 200K

Swept Device: Zeit (Computer) []
Beginvalue: 0.000000E+0; Endvalue: 1.700000E+3
Measurement type: Unidirectional
Step Device: None (value in data file set to '0')
---------								
Zeit (Computer) []	None () []	Voltage (Keysight34460A 1) [V]	Voltage (Keysight34460A 2) [V]	Voltage (Keysight34460A 3) [V]	Temp. (Model 335 ChA) [K]	Temp. (Model 335 ChB) [Ohm]	Rxx (Ohm)	Gxx (Mho)
								
0.00000E+0	0.00000E+0	6.72460E-1	6.68224E+0	NaN	0.00000E+0	0.00000E+0	1.00283E+2	2.57402E+2
1.00000E+0	0.00000E+0	6.72465E-1	6.68228E+0	NaN	0.00000E+0	0.00000E+0	1.00283E+2	2.57402E+2
2.00000E+0	0.00000E+0	6.72449E-1	6.68209E+0	NaN	0.00000E+0	0.00000E+0	1.00283E+2	2.57401E+2
3.00000E+0	0.00000E+0	6.72454E-1	6.68205E+0	NaN	0.00000E+0	0.00000E+0	1.00285E+2	2.57397E+2
4.00000E+0	0.00000E+0	6.72471E-1	6.68218E+0	NaN	0.00000E+0	0.00000E+0	1.00285E+2	2.57396E+2
5.00000E+0	0.00000E+0	6.72498E-1	6.68224E+0	NaN	0.00000E+0	0.00000E+0	1.00288E+2	2.57388E+2
6.00000E+0	0.00000E+0	6.72526E-1	6.68212E+0	NaN	0.00000E+0	0.00000E+0	1.00294E+2	2.57372E+2
7.00000E+0	0.00000E+0	6.72498E-1	6.68193E+0	NaN	0.00000E+0	0.00000E+0	1.00293E+2	2.57376E+2
8.00000E+0	0.00000E+0	6.72493E-1	6.68186E+0	NaN	0.00000E+0	0.00000E+0	1.00293E+2	2.57375E+2
9.00000E+0	0.00000E+0	6.72482E-1	6.68178E+0	NaN	0.00000E+0	0.00000E+0	1.00293E+2	2.57376E+2
1.00000E+1	0.00000E+0	6.72465E-1	6.68191E+0	NaN	0.00000E+0	0.00000E+0	1.00289E+2	2.57387E+2
1.10000E+1	0.00000E+0	6.72465E-1	6.68204E+0	NaN	0.00000E+0	0.00000E+0	1.00286E+2	2.57393E+2
1.20000E+1	0.00000E+0	6.72471E-1	6.68209E+0	NaN	0.00000E+0	0.00000E+0	1.00287E+2	2.57392E+2
1.30000E+1	0.00000E+0	6.72449E-1	6.68197E+0	NaN	0.00000E+0	0.00000E+0	1.00285E+2	2.57396E+2
1.40000E+1	0.00000E+0	6.72438E-1	6.68201E+0	NaN	0.00000E+0	0.00000E+0	1.00283E+2	2.57402E+2
1.50000E+1	0.00000E+0	6.72476E-1	6.68210E+0	NaN	0.00000E+0	0.00000E+0	1.00287E+2	2.57391E+2
1.60000E+1	0.00000E+0	6.72476E-1	6.68197E+0	NaN	0.00000E+0	0.00000E+0	1.00289E+2	2.57386E+2
1.70000E+1	0.00000E+0	6.72471E-1	6.68205E+0	NaN	0.00000E+0	0.00000E+0	1.00287E+2	2.57391E+2
1.80000E+1	0.00000E+0	6.72465E-1	6.68217E+0	NaN	0.00000E+0	0.00000E+0	1.00285E+2	2.57397E+2
1.90000E+1	0.00000E+0	6.72476E-1	6.68202E+0	NaN	0.00000E+0	0.00000E+0	1.00288E+2	2.57388E+2
2.00000E+1	0.00000E+0	6.72454E-1	6.68208E+0	NaN	0.00000E+0	0.00000E+0	1.00284E+2	2.57398E+2
2.10000E+1	0.00000E+0	6.72482E-1	6.68209E+0	NaN	0.00000E+0	0.00000E+0	1.00288E+2	2.57388E+2
2.20000E+1	0.00000E+0	6.72449E-1	6.68191E+0	NaN	0.00000E+0	0.00000E+0	1.00286E+2	2.57394E+2
2.30000E+1	0.00000E+0	6.72427E-1	6.68181E+0	NaN	0.00000E+0	0.00000E+0	1.00284E+2	2.57398E+2
2.40000E+1	0.00000E+0	6.72422E-1	6.68195E+0	NaN	0.00000E+0	0.00000E+0	1.00281E+2	2.57406E+2
2.50000E+1	0.00000E+0	6.72460E-1	6.68220E+0	NaN	0.00000E+0	0.00000E+0	1.00283E+2	2.57401E+2
2.60000E+1	0.00000E+0	6.72476E-1	6.68226E+0	NaN	0.00000E+0	0.00000E+0	1.00285E+2	2.57397E+2
2.70000E+1	0.00000E+0	6.72460E-1	6.68208E+0	NaN	0.00000E+0	0.00000E+0	1.00285E+2	2.57396E+2
2.80000E+1	0.00000E+0	6.72438E-1	6.68202E+0	NaN	0.00000E+0	0.00000E+0	1.00283E+2	2.57402E+2
2.90000E+1	0.00000E+0	6.72454E-1	6.68202E+0	NaN	0.00000E+0	0.00000E+0	1.00285E+2	2.57396E+2
3.00000E+1	0.00000E+0	6.72438E-1	6.68197E+0	NaN	0.00000E+0	0.00000E+0	1.00284E+2	2.57400E+2
3.10000E+1	0.00000E+0	6.72416E-1	6.68191E+0	NaN	0.00000E+0	0.00000E+0	1.00281E+2	2.57406E+2
