Name: Ryan
Sample: PST441 H3
Measuring Station: King Louis
Start Date/Time: 6/25/2019 / 11:15:46 AM
Actual time: 6/25/2019 / 11:15:46 AM

Comment:
PST441 H3
8-Terminal Hall Bar
June 24th, 2019
Cool-down measurement

Pushing current from 6 to 12
Measuring Rxx from 8 to E in Keysight 1

Set frequency to 37.37 Hz
Giving amplitude of 100mV through 1224:12 divider
Reference resistance of 996.51 Ohms
Measuring ref. resistance in Keysight 2

Cooling overnight from 200K

Swept Device: Zeit (Computer) []
Beginvalue: 0.000000E+0; Endvalue: 3.700000E+3
Measurement type: Unidirectional
Step Device: None (value in data file set to '0')
---------				
Zeit (Computer) []	None () []	Voltage (Keysight34460A 1) [V]	Rxx (Ohm)	Gxx (Mho)
				
0.00000E+0	0.00000E+0	6.72460E-1	Inf	0.00000E+0
1.00000E+0	0.00000E+0	6.72460E-1	Inf	0.00000E+0
2.00000E+0	0.00000E+0	6.72465E-1	Inf	0.00000E+0
3.00000E+0	0.00000E+0	6.72449E-1	Inf	0.00000E+0
4.00000E+0	0.00000E+0	6.72471E-1	Inf	0.00000E+0
5.00000E+0	0.00000E+0	6.72471E-1	Inf	0.00000E+0
6.00000E+0	0.00000E+0	6.72482E-1	Inf	0.00000E+0
7.00000E+0	0.00000E+0	6.72482E-1	Inf	0.00000E+0
8.00000E+0	0.00000E+0	6.72471E-1	Inf	0.00000E+0
9.00000E+0	0.00000E+0	6.72465E-1	Inf	0.00000E+0
1.00000E+1	0.00000E+0	6.72443E-1	Inf	0.00000E+0
1.10000E+1	0.00000E+0	6.72432E-1	Inf	0.00000E+0
1.20000E+1	0.00000E+0	6.72432E-1	Inf	0.00000E+0
1.30000E+1	0.00000E+0	6.72432E-1	Inf	0.00000E+0
1.40000E+1	0.00000E+0	6.72422E-1	Inf	0.00000E+0
1.50000E+1	0.00000E+0	6.72438E-1	Inf	0.00000E+0
1.60000E+1	0.00000E+0	6.72432E-1	Inf	0.00000E+0
1.70000E+1	0.00000E+0	6.72427E-1	Inf	0.00000E+0
1.80000E+1	0.00000E+0	6.72411E-1	Inf	0.00000E+0
1.90000E+1	0.00000E+0	6.72411E-1	Inf	0.00000E+0
2.00000E+1	0.00000E+0	6.72405E-1	Inf	0.00000E+0
2.10000E+1	0.00000E+0	6.72383E-1	Inf	0.00000E+0
2.20000E+1	0.00000E+0	6.72394E-1	Inf	0.00000E+0
2.30000E+1	0.00000E+0	6.72400E-1	Inf	0.00000E+0
2.40000E+1	0.00000E+0	6.72394E-1	Inf	0.00000E+0
2.50000E+1	0.00000E+0	6.72383E-1	Inf	0.00000E+0
2.60000E+1	0.00000E+0	6.72389E-1	Inf	0.00000E+0
2.70000E+1	0.00000E+0	6.72405E-1	Inf	0.00000E+0
2.80000E+1	0.00000E+0	6.72400E-1	Inf	0.00000E+0
2.90000E+1	0.00000E+0	6.72405E-1	Inf	0.00000E+0
3.00000E+1	0.00000E+0	6.72389E-1	Inf	0.00000E+0
3.10000E+1	0.00000E+0	6.72400E-1	Inf	0.00000E+0
3.20000E+1	0.00000E+0	6.72394E-1	Inf	0.00000E+0
3.30000E+1	0.00000E+0	6.72389E-1	Inf	0.00000E+0
3.40000E+1	0.00000E+0	6.72383E-1	Inf	0.00000E+0
3.50000E+1	0.00000E+0	6.72416E-1	Inf	0.00000E+0
