Name: Ryan
measurement station: King Louie
Sample: PST 442 G2
date: Tuesday, July 02, 2019
time: 1:46 PM
Comment: 
PST442 G2
6-Terminal Small Hall Bar
July 2nd, 2019

Pushing current from E to 12
Measuring Vxx from 9 to 10 using Agilent, GPIB 23
Measuring Vxy from 8 to 9 using Keysight 1, GPIB 22

Pushing a voltage of 100.0 mV at frequency 37.37Hz
Through divider of 1224:12
Reference resistance of 996.51 Kilohms
Ref. resistance voltage measured using Keysight 2, GPIB 24

Ref. resistance:Rxx:Rxy sensitivities are 1:1:0.01
Sweeping magnetic field from -14 to 14T at 0.1 T/min
Start Value B: -0.250000
End Value B: 0.250000
---------						
B field / T	Temperature (Ohm)	I-Keysight 01	Uxx-Keysight 02	Uxy- Ag1 Ch1	Rxx	Rxy
						
-2.50000E-1	2.20180E+4	3.87555E-1	7.59782E+0	1.20111E+0	1.95361E+4	3.08839E+3
-2.47300E-1	2.20260E+4	3.82437E-1	7.59739E+0	1.20099E+0	1.97964E+4	3.12939E+3
-2.40700E-1	2.20330E+4	3.68641E-1	7.59768E+0	1.20103E+0	2.05381E+4	3.24663E+3
-2.33000E-1	2.20390E+4	3.57390E-1	7.59773E+0	1.20102E+0	2.11847E+4	3.34880E+3
-2.25000E-1	2.20440E+4	3.43538E-1	7.59723E+0	1.20091E+0	2.20375E+4	3.48351E+3
-2.16800E-1	2.20530E+4	3.30832E-1	7.59803E+0	1.20103E+0	2.28863E+4	3.61766E+3
-2.08000E-1	2.20590E+4	3.14024E-1	7.59749E+0	1.20097E+0	2.41095E+4	3.81110E+3
-1.99800E-1	2.20630E+4	3.00982E-1	7.59769E+0	1.20096E+0	2.51549E+4	3.97620E+3
-1.91500E-1	2.20690E+4	2.85973E-1	7.59759E+0	1.20089E+0	2.64748E+4	4.18465E+3
-1.82900E-1	2.20690E+4	2.74008E-1	7.59793E+0	1.20094E+0	2.76321E+4	4.36757E+3
-1.74500E-1	2.20770E+4	2.59235E-1	7.59735E+0	1.20077E+0	2.92046E+4	4.61583E+3
-1.66400E-1	2.20790E+4	2.39916E-1	7.59768E+0	1.20084E+0	3.15575E+4	4.98779E+3
-1.58000E-1	2.20840E+4	2.29910E-1	7.59757E+0	1.20082E+0	3.29305E+4	5.20474E+3
-1.49200E-1	2.20890E+4	2.12037E-1	7.59763E+0	1.20081E+0	3.57066E+4	5.64346E+3
-1.41000E-1	2.20960E+4	1.98920E-1	7.59761E+0	1.20076E+0	3.80610E+4	6.01532E+3
-1.32700E-1	2.20940E+4	1.87510E-1	7.59795E+0	1.20080E+0	4.03789E+4	6.38158E+3
-1.24000E-1	2.20980E+4	1.73626E-1	7.59805E+0	1.20079E+0	4.36083E+4	6.89183E+3
-1.15800E-1	2.21070E+4	1.57519E-1	7.59751E+0	1.20060E+0	4.80641E+4	7.59533E+3
-1.07500E-1	2.21100E+4	1.40214E-1	7.59769E+0	1.20068E+0	5.39974E+4	8.53333E+3
-9.91000E-2	2.21090E+4	1.33734E-1	7.59776E+0	1.20068E+0	5.66144E+4	8.94681E+3
-9.05000E-2	2.21110E+4	1.16433E-1	7.59761E+0	1.20066E+0	6.50253E+4	1.02761E+4
-8.20000E-2	2.21160E+4	1.00175E-1	7.59774E+0	1.20064E+0	7.55796E+4	1.19435E+4
-7.39000E-2	2.21150E+4	8.80218E-2	7.59783E+0	1.20060E+0	8.60163E+4	1.35922E+4
-6.51000E-2	2.21240E+4	7.41452E-2	7.59779E+0	1.20053E+0	1.02114E+5	1.61351E+4
-5.67000E-2	2.21240E+4	5.85962E-2	7.59805E+0	1.20057E+0	1.29215E+5	2.04174E+4
-4.85000E-2	2.21240E+4	4.30069E-2	7.59785E+0	1.20049E+0	1.76049E+5	2.78165E+4
-3.99000E-2	2.21300E+4	2.84537E-2	7.59837E+0	1.20049E+0	2.66111E+5	4.20437E+4
-3.15000E-2	2.21320E+4	1.57949E-2	7.59805E+0	1.20034E+0	4.79366E+5	7.57302E+4
-2.32000E-2	2.21300E+4	-1.10313E-3	7.59830E+0	1.20026E+0	-6.86391E+6	-1.08426E+6
-1.44000E-2	2.21340E+4	-1.41954E-2	7.59840E+0	1.20020E+0	-5.33403E+5	-8.42537E+4
-6.20000E-3	2.21330E+4	-2.77286E-2	7.59856E+0	1.19995E+0	-2.73077E+5	-4.31237E+4
2.30000E-3	2.21350E+4	-4.11728E-2	7.59935E+0	1.19964E+0	-1.83928E+5	-2.90349E+4
1.10000E-2	2.21350E+4	-5.60310E-2	7.59844E+0	1.19989E+0	-1.35138E+5	-2.13399E+4
1.93000E-2	2.21360E+4	-6.88691E-2	7.59820E+0	1.20010E+0	-1.09943E+5	-1.73650E+4
2.75000E-2	2.21370E+4	-8.45106E-2	7.59808E+0	1.20028E+0	-8.95931E+4	-1.41531E+4
3.62000E-2	2.21390E+4	-9.77322E-2	7.59790E+0	1.20038E+0	-7.74707E+4	-1.22395E+4
4.46000E-2	2.21410E+4	-1.11329E-1	7.59775E+0	1.20040E+0	-6.80080E+4	-1.07449E+4
5.28000E-2	2.21380E+4	-1.26316E-1	7.59768E+0	1.20049E+0	-5.99383E+4	-9.47070E+3
6.12000E-2	2.21370E+4	-1.39013E-1	7.59761E+0	1.20053E+0	-5.44634E+4	-8.60596E+3
6.99000E-2	2.21410E+4	-1.57150E-1	7.59753E+0	1.20054E+0	-4.81770E+4	-7.61280E+3
7.82000E-2	2.21350E+4	-1.70313E-1	7.59729E+0	1.20053E+0	-4.44521E+4	-7.02434E+3
8.65000E-2	2.21360E+4	-1.84193E-1	7.59763E+0	1.20066E+0	-4.11043E+4	-6.49576E+3
9.47000E-2	2.21390E+4	-2.00928E-1	7.59723E+0	1.20062E+0	-3.76788E+4	-5.95452E+3
1.03600E-1	2.21370E+4	-2.14436E-1	7.59697E+0	1.20053E+0	-3.53041E+4	-5.57901E+3
1.11800E-1	2.21370E+4	-2.27969E-1	7.59703E+0	1.20061E+0	-3.32086E+4	-5.24816E+3
1.20100E-1	2.21380E+4	-2.40833E-1	7.59725E+0	1.20076E+0	-3.14357E+4	-4.96846E+3
1.28800E-1	2.21350E+4	-2.55849E-1	7.59686E+0	1.20071E+0	-2.95891E+4	-4.67665E+3
1.37100E-1	2.21340E+4	-2.70498E-1	7.59678E+0	1.20075E+0	-2.79864E+4	-4.42355E+3
1.45300E-1	2.21320E+4	-2.84849E-1	7.59687E+0	1.20077E+0	-2.65767E+4	-4.20074E+3
1.53600E-1	2.21350E+4	-2.98358E-1	7.59659E+0	1.20075E+0	-2.53725E+4	-4.01047E+3
1.62300E-1	2.21310E+4	-3.12282E-1	7.59670E+0	1.20078E+0	-2.42416E+4	-3.83175E+3
1.70600E-1	2.21320E+4	-3.26644E-1	7.59668E+0	1.20081E+0	-2.31756E+4	-3.66337E+3
1.78900E-1	2.21360E+4	-3.39504E-1	7.59668E+0	1.20080E+0	-2.22977E+4	-3.52458E+3
1.87600E-1	2.21290E+4	-3.55486E-1	7.59640E+0	1.20080E+0	-2.12945E+4	-3.36613E+3
1.95800E-1	2.21310E+4	-3.69154E-1	7.59665E+0	1.20082E+0	-2.05067E+4	-3.24155E+3
2.04100E-1	2.21340E+4	-3.82131E-1	7.59628E+0	1.20082E+0	-1.98094E+4	-3.13146E+3
2.12900E-1	2.21290E+4	-3.96050E-1	7.59657E+0	1.20091E+0	-1.91139E+4	-3.02165E+3
2.21200E-1	2.21310E+4	-4.12640E-1	7.59630E+0	1.20090E+0	-1.83448E+4	-2.90014E+3
2.29500E-1	2.21290E+4	-4.25959E-1	7.59654E+0	1.20098E+0	-1.77717E+4	-2.80965E+3
2.37800E-1	2.21280E+4	-4.40507E-1	7.59600E+0	1.20090E+0	-1.71836E+4	-2.71666E+3
2.46500E-1	2.21240E+4	-4.55856E-1	7.59608E+0	1.20098E+0	-1.66052E+4	-2.62537E+3
2.52400E-1	2.21290E+4	-4.62749E-1	7.59606E+0	1.20101E+0	-1.63578E+4	-2.58632E+3
2.53600E-1	2.21240E+4	-4.69593E-1	7.59578E+0	1.20098E+0	-1.61188E+4	-2.54857E+3
2.52800E-1	2.21260E+4	-4.66226E-1	7.59583E+0	1.20098E+0	-1.62353E+4	-2.56697E+3
2.51200E-1	2.21270E+4	-4.64038E-1	7.59613E+0	1.20102E+0	-1.63125E+4	-2.57916E+3
2.49700E-1	2.21230E+4	-4.62738E-1	7.59595E+0	1.20097E+0	-1.63580E+4	-2.58631E+3
