Name: Ryan
measurement station: King Louie
Sample: PST 442 G2
date: Tuesday, July 02, 2019
time: 8:35 PM
Comment: 
PST442 G2
6-Terminal Small Hall Bar
July 2nd, 2019

Pushing current from E to 12
Measuring Vxx from 9 to 10 using Agilent, GPIB 23
Measuring Vxy from 8 to 9 using Keysight 1, GPIB 22

Pushing a voltage of 100.0 mV at frequency 37.37Hz
Through divider of 1224:12
Reference resistance of 996.51 Kilohms
Ref. resistance voltage measured using Keysight 2, GPIB 24

Ref. resistance:Rxx:Rxy sensitivities are 1:1:0.05
Sweeping magnetic field from -14 to 14T at 0.1 T/min
Start Value B: -14.000000
End Value B: 14.000000
---------						
B field / T	Temperature (Ohm)	I-Keysight 01	Uxx-Keysight 02	Uxy- Ag1 Ch1	Rxx	Rxy
						
-1.39993E+1	2.22890E+4	3.72430E-1	7.42617E+0	1.32363E+0	1.98702E+4	3.54163E+3
-1.39972E+1	2.22940E+4	3.71959E-1	7.42644E+0	1.32363E+0	1.98961E+4	3.54611E+3
-1.39910E+1	2.22890E+4	3.71669E-1	7.42627E+0	1.32352E+0	1.99111E+4	3.54860E+3
-1.39837E+1	2.22910E+4	3.71182E-1	7.42644E+0	1.32347E+0	1.99377E+4	3.55310E+3
-1.39759E+1	2.22910E+4	3.71161E-1	7.42623E+0	1.32329E+0	1.99383E+4	3.55284E+3
-1.39676E+1	2.22900E+4	3.70654E-1	7.42614E+0	1.32317E+0	1.99653E+4	3.55737E+3
-1.39595E+1	2.22910E+4	3.70321E-1	7.42641E+0	1.32313E+0	1.99840E+4	3.56044E+3
-1.39513E+1	2.22880E+4	3.70446E-1	7.42673E+0	1.32308E+0	1.99781E+4	3.55912E+3
-1.39428E+1	2.22870E+4	3.69418E-1	7.42666E+0	1.32291E+0	2.00335E+4	3.56858E+3
-1.39345E+1	2.22890E+4	3.69866E-1	7.42677E+0	1.32288E+0	2.00096E+4	3.56416E+3
-1.39263E+1	2.22870E+4	3.69286E-1	7.42705E+0	1.32283E+0	2.00417E+4	3.56963E+3
-1.39176E+1	2.22850E+4	3.69135E-1	7.42735E+0	1.32276E+0	2.00507E+4	3.57091E+3
-1.39094E+1	2.22880E+4	3.69546E-1	7.42721E+0	1.32256E+0	2.00280E+4	3.56639E+3
-1.39011E+1	2.22870E+4	3.68844E-1	7.42777E+0	1.32261E+0	2.00677E+4	3.57329E+3
-1.38927E+1	2.22870E+4	3.68613E-1	7.42757E+0	1.32240E+0	2.00797E+4	3.57499E+3
-1.38840E+1	2.22850E+4	3.68786E-1	7.42769E+0	1.32229E+0	2.00706E+4	3.57299E+3
-1.38757E+1	2.22840E+4	3.68233E-1	7.42793E+0	1.32223E+0	2.01014E+4	3.57821E+3
-1.38675E+1	2.22860E+4	3.68302E-1	7.42788E+0	1.32201E+0	2.00975E+4	3.57695E+3
-1.38592E+1	2.22830E+4	3.67112E-1	7.42783E+0	1.32195E+0	2.01625E+4	3.58836E+3
-1.38505E+1	2.22830E+4	3.67461E-1	7.42822E+0	1.32189E+0	2.01444E+4	3.58481E+3
-1.38421E+1	2.22870E+4	3.67455E-1	7.42803E+0	1.32177E+0	2.01442E+4	3.58454E+3
-1.38338E+1	2.22830E+4	3.67832E-1	7.42807E+0	1.32167E+0	2.01237E+4	3.58059E+3
-1.38251E+1	2.22810E+4	3.66644E-1	7.42851E+0	1.32155E+0	2.01901E+4	3.59187E+3
-1.38168E+1	2.22850E+4	3.66407E-1	7.42851E+0	1.32157E+0	2.02032E+4	3.59425E+3
-1.38085E+1	2.22830E+4	3.66222E-1	7.42904E+0	1.32146E+0	2.02148E+4	3.59575E+3
-1.37997E+1	2.22800E+4	3.65657E-1	7.42920E+0	1.32144E+0	2.02465E+4	3.60127E+3
-1.37914E+1	2.22800E+4	3.65873E-1	7.42897E+0	1.32122E+0	2.02339E+4	3.59855E+3
-1.37831E+1	2.22800E+4	3.65519E-1	7.42892E+0	1.32108E+0	2.02534E+4	3.60163E+3
-1.37748E+1	2.22830E+4	3.65218E-1	7.42921E+0	1.32107E+0	2.02709E+4	3.60460E+3
-1.37661E+1	2.22790E+4	3.64638E-1	7.42907E+0	1.32086E+0	2.03027E+4	3.60974E+3
-1.37578E+1	2.22760E+4	3.64720E-1	7.42945E+0	1.32075E+0	2.02992E+4	3.60863E+3
-1.37495E+1	2.22810E+4	3.64143E-1	7.42974E+0	1.32071E+0	2.03322E+4	3.61426E+3
-1.37412E+1	2.22770E+4	3.64396E-1	7.42940E+0	1.32059E+0	2.03171E+4	3.61141E+3
-1.37325E+1	2.22780E+4	3.64689E-1	7.42987E+0	1.32050E+0	2.03021E+4	3.60825E+3
-1.37241E+1	2.22770E+4	3.63984E-1	7.42992E+0	1.32051E+0	2.03415E+4	3.61526E+3
-1.37158E+1	2.22770E+4	3.63304E-1	7.42976E+0	1.32028E+0	2.03791E+4	3.62140E+3
-1.37071E+1	2.22750E+4	3.63457E-1	7.43019E+0	1.32020E+0	2.03718E+4	3.61966E+3
-1.36988E+1	2.22760E+4	3.63240E-1	7.43025E+0	1.32009E+0	2.03841E+4	3.62153E+3
-1.36906E+1	2.22720E+4	3.62718E-1	7.43026E+0	1.31997E+0	2.04135E+4	3.62640E+3
-1.36822E+1	2.22750E+4	3.62381E-1	7.43057E+0	1.31997E+0	2.04333E+4	3.62979E+3
-1.36734E+1	2.22710E+4	3.62351E-1	7.43057E+0	1.31982E+0	2.04350E+4	3.62966E+3
-1.36651E+1	2.22730E+4	3.62519E-1	7.43053E+0	1.31976E+0	2.04254E+4	3.62782E+3
-1.36568E+1	2.22710E+4	3.62392E-1	7.43051E+0	1.31959E+0	2.04325E+4	3.62863E+3
-1.36481E+1	2.22690E+4	3.61881E-1	7.43064E+0	1.31952E+0	2.04617E+4	3.63354E+3
-1.36398E+1	2.22700E+4	3.61630E-1	7.43076E+0	1.31940E+0	2.04763E+4	3.63574E+3
-1.36315E+1	2.22710E+4	3.61267E-1	7.43111E+0	1.31931E+0	2.04978E+4	3.63916E+3
-1.36227E+1	2.22700E+4	3.60941E-1	7.43104E+0	1.31918E+0	2.05161E+4	3.64207E+3
-1.36144E+1	2.22670E+4	3.60528E-1	7.43107E+0	1.31904E+0	2.05397E+4	3.64587E+3
-1.36060E+1	2.22720E+4	3.60514E-1	7.43176E+0	1.31909E+0	2.05424E+4	3.64615E+3
-1.35977E+1	2.22710E+4	3.60316E-1	7.43187E+0	1.31903E+0	2.05540E+4	3.64798E+3
-1.35890E+1	2.22660E+4	3.59999E-1	7.43184E+0	1.31880E+0	2.05720E+4	3.65057E+3
-1.35806E+1	2.22670E+4	3.59969E-1	7.43198E+0	1.31869E+0	2.05741E+4	3.65057E+3
-1.35724E+1	2.22680E+4	3.58955E-1	7.43195E+0	1.31866E+0	2.06322E+4	3.66080E+3
-1.35636E+1	2.22700E+4	3.59569E-1	7.43216E+0	1.31852E+0	2.05975E+4	3.65414E+3
-1.35552E+1	2.22670E+4	3.59321E-1	7.43197E+0	1.31835E+0	2.06112E+4	3.65621E+3
-1.35471E+1	2.22620E+4	3.59195E-1	7.43247E+0	1.31829E+0	2.06198E+4	3.65732E+3
-1.35386E+1	2.22640E+4	3.58426E-1	7.43226E+0	1.31819E+0	2.06635E+4	3.66488E+3
-1.35300E+1	2.22630E+4	3.58390E-1	7.43282E+0	1.31814E+0	2.06671E+4	3.66511E+3
-1.35217E+1	2.22630E+4	3.58427E-1	7.43300E+0	1.31811E+0	2.06655E+4	3.66464E+3
-1.35134E+1	2.22620E+4	3.58300E-1	7.43263E+0	1.31785E+0	2.06718E+4	3.66523E+3
-1.35046E+1	2.22610E+4	3.57805E-1	7.43278E+0	1.31773E+0	2.07008E+4	3.66995E+3
-1.34964E+1	2.22600E+4	3.57372E-1	7.43314E+0	1.31773E+0	2.07269E+4	3.67441E+3
-1.34881E+1	2.22610E+4	3.57512E-1	7.43292E+0	1.31755E+0	2.07181E+4	3.67247E+3
-1.34792E+1	2.22620E+4	3.57134E-1	7.43335E+0	1.31755E+0	2.07412E+4	3.67635E+3
-1.34710E+1	2.22600E+4	3.57200E-1	7.43349E+0	1.31742E+0	2.07378E+4	3.67532E+3
-1.34626E+1	2.22580E+4	3.56306E-1	7.43354E+0	1.31736E+0	2.07900E+4	3.68437E+3
-1.34543E+1	2.22610E+4	3.56175E-1	7.43363E+0	1.31726E+0	2.07979E+4	3.68545E+3
-1.34457E+1	2.22600E+4	3.56268E-1	7.43399E+0	1.31716E+0	2.07935E+4	3.68420E+3
-1.34373E+1	2.22550E+4	3.55531E-1	7.43400E+0	1.31704E+0	2.08366E+4	3.69150E+3
-1.34289E+1	2.22560E+4	3.55135E-1	7.43414E+0	1.31695E+0	2.08602E+4	3.69537E+3
-1.34207E+1	2.22580E+4	3.55101E-1	7.43445E+0	1.31690E+0	2.08631E+4	3.69558E+3
-1.34120E+1	2.22580E+4	3.55183E-1	7.43442E+0	1.31678E+0	2.08582E+4	3.69440E+3
-1.34036E+1	2.22550E+4	3.54838E-1	7.43464E+0	1.31668E+0	2.08791E+4	3.69770E+3
-1.33953E+1	2.22540E+4	3.54488E-1	7.43497E+0	1.31652E+0	2.09007E+4	3.70091E+3
-1.33870E+1	2.22550E+4	3.54107E-1	7.43506E+0	1.31652E+0	2.09234E+4	3.70488E+3
-1.33783E+1	2.22510E+4	3.53974E-1	7.43479E+0	1.31630E+0	2.09305E+4	3.70566E+3
-1.33701E+1	2.22550E+4	3.54178E-1	7.43504E+0	1.31634E+0	2.09191E+4	3.70365E+3
-1.33617E+1	2.22530E+4	3.53114E-1	7.43519E+0	1.31626E+0	2.09826E+4	3.71458E+3
-1.33533E+1	2.22530E+4	3.52982E-1	7.43545E+0	1.31617E+0	2.09912E+4	3.71570E+3
-1.33447E+1	2.22530E+4	3.52865E-1	7.43545E+0	1.31593E+0	2.09982E+4	3.71626E+3
-1.33363E+1	2.22540E+4	3.52677E-1	7.43578E+0	1.31591E+0	2.10103E+4	3.71820E+3
-1.33279E+1	2.22480E+4	3.52906E-1	7.43571E+0	1.31570E+0	2.09964E+4	3.71518E+3
-1.33194E+1	2.22490E+4	3.52689E-1	7.43569E+0	1.31571E+0	2.10093E+4	3.71749E+3
-1.33109E+1	2.22480E+4	3.52283E-1	7.43589E+0	1.31558E+0	2.10340E+4	3.72139E+3
-1.33027E+1	2.22510E+4	3.51291E-1	7.43608E+0	1.31547E+0	2.10940E+4	3.73161E+3
-1.32941E+1	2.22450E+4	3.51560E-1	7.43624E+0	1.31539E+0	2.10783E+4	3.72851E+3
-1.32857E+1	2.22470E+4	3.51316E-1	7.43625E+0	1.31533E+0	2.10930E+4	3.73095E+3
-1.32773E+1	2.22480E+4	3.51358E-1	7.43641E+0	1.31521E+0	2.10909E+4	3.73016E+3
-1.32685E+1	2.22480E+4	3.50947E-1	7.43632E+0	1.31509E+0	2.11154E+4	3.73418E+3
-1.32602E+1	2.22480E+4	3.50252E-1	7.43662E+0	1.31508E+0	2.11581E+4	3.74157E+3
-1.32520E+1	2.22450E+4	3.50063E-1	7.43665E+0	1.31496E+0	2.11696E+4	3.74325E+3
-1.32431E+1	2.22450E+4	3.50615E-1	7.43715E+0	1.31482E+0	2.11377E+4	3.73696E+3
-1.32350E+1	2.22460E+4	3.50241E-1	7.43726E+0	1.31481E+0	2.11606E+4	3.74092E+3
-1.32266E+1	2.22440E+4	3.50415E-1	7.43711E+0	1.31462E+0	2.11497E+4	3.73852E+3
-1.32183E+1	2.22440E+4	3.49407E-1	7.43717E+0	1.31442E+0	2.12109E+4	3.74872E+3
-1.32096E+1	2.22420E+4	3.49413E-1	7.43718E+0	1.31435E+0	2.12105E+4	3.74847E+3
-1.32012E+1	2.22430E+4	3.48570E-1	7.43746E+0	1.31434E+0	2.12626E+4	3.75750E+3
-1.31925E+1	2.22400E+4	3.48765E-1	7.43797E+0	1.31433E+0	2.12522E+4	3.75537E+3
-1.31841E+1	2.22410E+4	3.48939E-1	7.43778E+0	1.31413E+0	2.12410E+4	3.75293E+3
-1.31758E+1	2.22420E+4	3.48065E-1	7.43808E+0	1.31408E+0	2.12952E+4	3.76221E+3
-1.31670E+1	2.22410E+4	3.47512E-1	7.43813E+0	1.31400E+0	2.13293E+4	3.76796E+3
-1.31587E+1	2.22410E+4	3.47514E-1	7.43804E+0	1.31382E+0	2.13289E+4	3.76743E+3
-1.31504E+1	2.22400E+4	3.47433E-1	7.43826E+0	1.31378E+0	2.13345E+4	3.76821E+3
-1.31421E+1	2.22370E+4	3.47344E-1	7.43845E+0	1.31355E+0	2.13405E+4	3.76850E+3
-1.31334E+1	2.22350E+4	3.47052E-1	7.43863E+0	1.31355E+0	2.13589E+4	3.77166E+3
-1.31251E+1	2.22350E+4	3.47172E-1	7.43892E+0	1.31346E+0	2.13524E+4	3.77011E+3
-1.31168E+1	2.22360E+4	3.46673E-1	7.43910E+0	1.31339E+0	2.13837E+4	3.77533E+3
-1.31082E+1	2.22350E+4	3.46221E-1	7.43920E+0	1.31330E+0	2.14118E+4	3.77999E+3
-1.30998E+1	2.22380E+4	3.46574E-1	7.43924E+0	1.31321E+0	2.13902E+4	3.77589E+3
-1.30916E+1	2.22330E+4	3.46281E-1	7.43960E+0	1.31313E+0	2.14093E+4	3.77885E+3
-1.30827E+1	2.22340E+4	3.44879E-1	7.43933E+0	1.31304E+0	2.14955E+4	3.79395E+3
-1.30745E+1	2.22330E+4	3.46263E-1	7.43969E+0	1.31292E+0	2.14107E+4	3.77845E+3
-1.30661E+1	2.22350E+4	3.45426E-1	7.44025E+0	1.31278E+0	2.14642E+4	3.78720E+3
-1.30574E+1	2.22290E+4	3.44344E-1	7.44026E+0	1.31277E+0	2.15317E+4	3.79907E+3
-1.30491E+1	2.22330E+4	3.44149E-1	7.44031E+0	1.31262E+0	2.15440E+4	3.80079E+3
-1.30408E+1	2.22320E+4	3.44338E-1	7.44029E+0	1.31253E+0	2.15321E+4	3.79843E+3
-1.30321E+1	2.22310E+4	3.43638E-1	7.44047E+0	1.31248E+0	2.15765E+4	3.80604E+3
-1.30238E+1	2.22300E+4	3.43336E-1	7.44050E+0	1.31232E+0	2.15955E+4	3.80892E+3
-1.30155E+1	2.22270E+4	3.43762E-1	7.44058E+0	1.31219E+0	2.15691E+4	3.80383E+3
-1.30067E+1	2.22290E+4	3.43693E-1	7.44074E+0	1.31211E+0	2.15738E+4	3.80435E+3
