Name: Ryan
measurement station: King Louie
Sample: PST 442 H2
date: Thursday, June 27, 2019
time: 3:01 PM
Comment: 
PST442 H2
8-Terminal Hall Bar
June 27th, 2019

Pushing current from 6 to A
Measuring Vxx from E to 9 using Agilent, GPIB 23
Measuring Vxy from 9 to B using Keysight 1, GPIB 22

Pushing a voltage of 100.0 mV at frequency 37.37Hz
Through divider of 1224:12
Reference resistance of 996.51 Ohms
Ref. resistance voltage measured using Keysight 2, GPIB 24

Ref. resistance:Rxx:Rxy sensitivities are 1:1:0.05
Sweeping magnetic field from -1 to 14T at 0.1 T/min
Start Value B: -1.000000
End Value B: 14.000000
---------						
B field / T	Temperature (Ohm)	I-Keysight 01	Uxx-Keysight 02	Uxy- Ag1 Ch1	Rxx	Rxy
						
-1.00000E+0	1.46210E+4	-2.95708E-1	5.78760E+0	9.31945E-1	-1.95037E+4	-3.14057E+3
-9.97200E-1	1.46200E+4	-2.94367E-1	5.78794E+0	9.32021E-1	-1.95937E+4	-3.15513E+3
-9.90400E-1	1.46220E+4	-2.92904E-1	5.78780E+0	9.31921E-1	-1.96911E+4	-3.17055E+3
-9.82800E-1	1.46200E+4	-2.90284E-1	5.78805E+0	9.31906E-1	-1.98697E+4	-3.19912E+3
-9.74700E-1	1.46230E+4	-2.88541E-1	5.78805E+0	9.31883E-1	-1.99897E+4	-3.21837E+3
-9.66400E-1	1.46220E+4	-2.86225E-1	5.78836E+0	9.31815E-1	-2.01525E+4	-3.24417E+3
-9.57800E-1	1.46240E+4	-2.84325E-1	5.78865E+0	9.31847E-1	-2.02882E+4	-3.26596E+3
-9.49500E-1	1.46210E+4	-2.82053E-1	5.78861E+0	9.31782E-1	-2.04515E+4	-3.29204E+3
-9.41300E-1	1.46230E+4	-2.79673E-1	5.78885E+0	9.31774E-1	-2.06264E+4	-3.32002E+3
-9.33000E-1	1.46220E+4	-2.76951E-1	5.78897E+0	9.31697E-1	-2.08296E+4	-3.35239E+3
-9.24300E-1	1.46220E+4	-2.75364E-1	5.78911E+0	9.31717E-1	-2.09501E+4	-3.37177E+3
-9.16100E-1	1.46230E+4	-2.72981E-1	5.78932E+0	9.31717E-1	-2.11337E+4	-3.40121E+3
-9.07800E-1	1.46210E+4	-2.70840E-1	5.78943E+0	9.31618E-1	-2.13012E+4	-3.42773E+3
-8.99100E-1	1.46220E+4	-2.68034E-1	5.78960E+0	9.31584E-1	-2.15249E+4	-3.46349E+3
-8.90800E-1	1.46220E+4	-2.65780E-1	5.78960E+0	9.31553E-1	-2.17074E+4	-3.49275E+3
-8.82500E-1	1.46210E+4	-2.63101E-1	5.78979E+0	9.31485E-1	-2.19292E+4	-3.52805E+3
-8.74200E-1	1.46210E+4	-2.61841E-1	5.78992E+0	9.31560E-1	-2.20352E+4	-3.54532E+3
-8.65600E-1	1.46220E+4	-2.58981E-1	5.78989E+0	9.31415E-1	-2.22784E+4	-3.58391E+3
-8.57300E-1	1.46240E+4	-2.57056E-1	5.79002E+0	9.31458E-1	-2.24458E+4	-3.61092E+3
-8.48900E-1	1.46220E+4	-2.54592E-1	5.79009E+0	9.31308E-1	-2.26633E+4	-3.64528E+3
-8.40600E-1	1.46220E+4	-2.52296E-1	5.79004E+0	9.31321E-1	-2.28693E+4	-3.67850E+3
-8.31900E-1	1.46230E+4	-2.50194E-1	5.79022E+0	9.31242E-1	-2.30621E+4	-3.70909E+3
-8.23700E-1	1.46230E+4	-2.47699E-1	5.79042E+0	9.31245E-1	-2.32953E+4	-3.74646E+3
-8.15400E-1	1.46210E+4	-2.44707E-1	5.79043E+0	9.31169E-1	-2.35801E+4	-3.79196E+3
-8.06600E-1	1.46210E+4	-2.42728E-1	5.79077E+0	9.31209E-1	-2.37738E+4	-3.82305E+3
-7.98300E-1	1.46220E+4	-2.41150E-1	5.79065E+0	9.31107E-1	-2.39288E+4	-3.84763E+3
-7.90100E-1	1.46200E+4	-2.38768E-1	5.79090E+0	9.31115E-1	-2.41686E+4	-3.88606E+3
-7.81400E-1	1.46220E+4	-2.36127E-1	5.79091E+0	9.31056E-1	-2.44389E+4	-3.92927E+3
-7.73000E-1	1.46210E+4	-2.34190E-1	5.79111E+0	9.31095E-1	-2.46420E+4	-3.96194E+3
-7.64800E-1	1.46230E+4	-2.31571E-1	5.79130E+0	9.31012E-1	-2.49215E+4	-4.00639E+3
-7.56500E-1	1.46240E+4	-2.29701E-1	5.79117E+0	9.30974E-1	-2.51238E+4	-4.03883E+3
-7.47800E-1	1.46220E+4	-2.26886E-1	5.79150E+0	9.30987E-1	-2.54370E+4	-4.08901E+3
-7.39500E-1	1.46220E+4	-2.24334E-1	5.79150E+0	9.30925E-1	-2.57264E+4	-4.13525E+3
-7.30800E-1	1.46210E+4	-2.22275E-1	5.79160E+0	9.30889E-1	-2.59651E+4	-4.17339E+3
-7.22600E-1	1.46230E+4	-2.20511E-1	5.79187E+0	9.30838E-1	-2.61740E+4	-4.20655E+3
-7.14300E-1	1.46200E+4	-2.18066E-1	5.79178E+0	9.30777E-1	-2.64670E+4	-4.25343E+3
-7.05900E-1	1.46230E+4	-2.15988E-1	5.79163E+0	9.30692E-1	-2.67211E+4	-4.29397E+3
-6.97200E-1	1.46240E+4	-2.13240E-1	5.79212E+0	9.30749E-1	-2.70677E+4	-4.34957E+3
-6.88900E-1	1.46210E+4	-2.10501E-1	5.79204E+0	9.30695E-1	-2.74194E+4	-4.40589E+3
-6.80700E-1	1.46230E+4	-2.08758E-1	5.79228E+0	9.30746E-1	-2.76496E+4	-4.44294E+3
-6.72400E-1	1.46220E+4	-2.06397E-1	5.79247E+0	9.30671E-1	-2.79667E+4	-4.49339E+3
-6.63600E-1	1.46220E+4	-2.03954E-1	5.79251E+0	9.30683E-1	-2.83020E+4	-4.54728E+3
