Name: Ryan
measurement station: King Louie
Sample: PST 442 H2
date: Friday, June 28, 2019
time: 2:42 PM
Comment: 
PST442 H2
8-Terminal Hall Bar
June 27th, 2019

Pushing current from 6 to A
Measuring Vxx from E to 9 using Agilent, GPIB 23
Measuring Vxy from 9 to B using Keysight 1, GPIB 22

Pushing a voltage of 100.0 mV at frequency 37.37Hz
Through divider of 1224:12
Reference resistance of 996.51 Ohms
Ref. resistance voltage measured using Keysight 2, GPIB 24

Ref. resistance:Rxx:Rxy sensitivities are 1:1:0.05
Sweeping magnetic field from 14 to 5T at 0.1 T/min
Start Value B: 14.000000
End Value B: 5.000000
---------						
B field / T	Temperature (Ohm)	I-Keysight 01	Uxx-Keysight 02	Uxy- Ag1 Ch1	Rxx	Rxy
						
1.40000E+1	2.20410E+4	3.18277E+0	5.26864E+0	1.06363E+0	1.64959E+3	3.33017E+2
1.39973E+1	2.20420E+4	3.18072E+0	5.26882E+0	1.06365E+0	1.65070E+3	3.33239E+2
1.39908E+1	2.20420E+4	3.18050E+0	5.26894E+0	1.06353E+0	1.65086E+3	3.33225E+2
1.39834E+1	2.20390E+4	3.17827E+0	5.26922E+0	1.06353E+0	1.65211E+3	3.33459E+2
1.39755E+1	2.20440E+4	3.17642E+0	5.26969E+0	1.06346E+0	1.65321E+3	3.33629E+2
1.39671E+1	2.20370E+4	3.17424E+0	5.26986E+0	1.06342E+0	1.65440E+3	3.33846E+2
1.39591E+1	2.20410E+4	3.17396E+0	5.27026E+0	1.06326E+0	1.65467E+3	3.33826E+2
1.39510E+1	2.20410E+4	3.17031E+0	5.27061E+0	1.06323E+0	1.65669E+3	3.34200E+2
1.39425E+1	2.20430E+4	3.17018E+0	5.27111E+0	1.06317E+0	1.65691E+3	3.34196E+2
1.39342E+1	2.20420E+4	3.16775E+0	5.27130E+0	1.06303E+0	1.65824E+3	3.34408E+2
1.39260E+1	2.20390E+4	3.16515E+0	5.27149E+0	1.06295E+0	1.65967E+3	3.34658E+2
1.39178E+1	2.20410E+4	3.16406E+0	5.27183E+0	1.06288E+0	1.66034E+3	3.34751E+2
1.39090E+1	2.20430E+4	3.16244E+0	5.27224E+0	1.06284E+0	1.66133E+3	3.34909E+2
1.39009E+1	2.20400E+4	3.15999E+0	5.27264E+0	1.06276E+0	1.66274E+3	3.35145E+2
1.38926E+1	2.20420E+4	3.15739E+0	5.27287E+0	1.06266E+0	1.66418E+3	3.35389E+2
1.38842E+1	2.20450E+4	3.15717E+0	5.27320E+0	1.06256E+0	1.66440E+3	3.35380E+2
1.38757E+1	2.20440E+4	3.15507E+0	5.27364E+0	1.06251E+0	1.66565E+3	3.35587E+2
1.38673E+1	2.20430E+4	3.15387E+0	5.27403E+0	1.06244E+0	1.66640E+3	3.35693E+2
1.38591E+1	2.20430E+4	3.14913E+0	5.27433E+0	1.06235E+0	1.66901E+3	3.36170E+2
1.38502E+1	2.20400E+4	3.14825E+0	5.27468E+0	1.06225E+0	1.66959E+3	3.36233E+2
1.38419E+1	2.20430E+4	3.14667E+0	5.27498E+0	1.06218E+0	1.67052E+3	3.36378E+2
