Name: PST037d1
Sample: 
Measuring Station: 10T
Start Date/Time: 16/12/2016 / 13:47:11
Actual time: 16/12/2016 / 13:47:11

Comment:
I(9,2)Ag1Ch1
R1(B,12) Ag1Ch2
R2(11,12) Ag2Ch1
R3(NC) Ag2Ch2
Bsweep groﬂe HB
Rref = 998.2Ohm

Swept Device: Zeit (Computer) []
Beginvalue: 0.000000E+0; Endvalue: 2.400000E+3
Measurement type: Unidirectional
Step Device: None (value in data file set to '0')
---------										
Zeit (Computer) []	None () []	Voltage (Ag1-Ch1 (sync)) [V]	Voltage (Ag2-Ch1 (sync)) [V]	Voltage (Ag1-Ch2 (sync)) [V]	Voltage (Ag2-Ch2 (sync)) [V]	T cooldown (LS335) [K]	R T-sensor (LS335) [Ohm]	B Field (Mercury IPS) [T]	R1 (Ohm)	R2 (Ohm)
										
0.00000E+0	0.00000E+0	9.42802E-3	3.25653E-4	5.37882E-5	4.95800E-7	4.58987E+0	6.40300E+3	8.07860E+0	5.69487E+0	3.44787E+1
1.00000E+0	0.00000E+0	9.42828E-3	3.25486E-4	5.37502E-5	4.80100E-7	4.58987E+0	6.40300E+3	8.07290E+0	5.69069E+0	3.44602E+1
2.00000E+0	0.00000E+0	9.42811E-3	3.25495E-4	5.34499E-5	4.77300E-7	4.59049E+0	6.40200E+3	8.06690E+0	5.65900E+0	3.44618E+1
3.00000E+0	0.00000E+0	9.42786E-3	3.24822E-4	5.37774E-5	4.80600E-7	4.59049E+0	6.40200E+3	8.06200E+0	5.69382E+0	3.43914E+1
4.00000E+0	0.00000E+0	9.42818E-3	3.25599E-4	5.41908E-5	4.89100E-7	4.59049E+0	6.40200E+3	8.05580E+0	5.73740E+0	3.44725E+1
5.00000E+0	0.00000E+0	9.42852E-3	3.25925E-4	5.38116E-5	4.82300E-7	4.59171E+0	6.40000E+3	8.04970E+0	5.69705E+0	3.45057E+1
6.00000E+0	0.00000E+0	9.42819E-3	3.25674E-4	5.29011E-5	4.91900E-7	4.59049E+0	6.40200E+3	8.04350E+0	5.60085E+0	3.44804E+1
7.00000E+0	0.00000E+0	9.42833E-3	3.24968E-4	5.35625E-5	4.77300E-7	4.58987E+0	6.40300E+3	8.03420E+0	5.67079E+0	3.44051E+1
8.00000E+0	0.00000E+0	9.42830E-3	3.24901E-4	5.33770E-5	4.86800E-7	4.58987E+0	6.40300E+3	8.02530E+0	5.65117E+0	3.43981E+1
9.00000E+0	0.00000E+0	9.42837E-3	3.25146E-4	5.33607E-5	4.74500E-7	4.59110E+0	6.40100E+3	8.01940E+0	5.64940E+0	3.44238E+1
1.00000E+1	0.00000E+0	9.42824E-3	3.25085E-4	5.36125E-5	4.74500E-7	4.58987E+0	6.40300E+3	8.01310E+0	5.67614E+0	3.44179E+1
1.10000E+1	0.00000E+0	9.42788E-3	3.25521E-4	5.37910E-5	4.87900E-7	4.59049E+0	6.40200E+3	8.00660E+0	5.69525E+0	3.44654E+1
1.20000E+1	0.00000E+0	9.42867E-3	3.25024E-4	5.35184E-5	4.82300E-7	4.59110E+0	6.40100E+3	7.99700E+0	5.66592E+0	3.44099E+1
1.30000E+1	0.00000E+0	9.42870E-3	3.24752E-4	5.31888E-5	4.71700E-7	4.59110E+0	6.40100E+3	7.99040E+0	5.63101E+0	3.43810E+1
1.40000E+1	0.00000E+0	9.42898E-3	3.25018E-4	5.31246E-5	4.82300E-7	4.59110E+0	6.40100E+3	7.98390E+0	5.62404E+0	3.44081E+1
1.50000E+1	0.00000E+0	9.42862E-3	3.25164E-4	5.29527E-5	4.64900E-7	4.59171E+0	6.40000E+3	7.97830E+0	5.60606E+0	3.44248E+1
1.60000E+1	0.00000E+0	9.42905E-3	3.24725E-4	5.30490E-5	4.66000E-7	4.59356E+0	6.39700E+3	7.97170E+0	5.61600E+0	3.43768E+1
1.70000E+1	0.00000E+0	9.42889E-3	3.24782E-4	5.29408E-5	4.67200E-7	4.59356E+0	6.39700E+3	7.96500E+0	5.60464E+0	3.43834E+1
1.80000E+1	0.00000E+0	9.42895E-3	3.25252E-4	5.29533E-5	4.80100E-7	4.59110E+0	6.40100E+3	7.95840E+0	5.60593E+0	3.44330E+1
1.90000E+1	0.00000E+0	9.42920E-3	3.25123E-4	5.28537E-5	4.75000E-7	4.59110E+0	6.40100E+3	7.95200E+0	5.59523E+0	3.44184E+1
2.00000E+1	0.00000E+0	9.42950E-3	3.25165E-4	5.29359E-5	4.72800E-7	4.59110E+0	6.40100E+3	7.94530E+0	5.60376E+0	3.44217E+1
