Name: Dominik
Sample: PST042D1
Measuring Station: 10T
Start Date/Time: 30/01/2017 / 15:39:08
Actual time: 30/01/2017 / 15:39:08

Comment:
I(D,4)Ag1Ch1
R1(6,8) Ag1Ch2
R2(6,5) Ag2Ch1
R3(5,3) Ag2Ch2
cooldown kleine HB
Rref =998.2Ohm

Swept Device: Zeit (Computer) []
Beginvalue: 0.000000E+0; Endvalue: 2.400000E+3
Measurement type: Unidirectional
Step Device: None (value in data file set to '0')
---------										
Zeit (Computer) []	None () []	Voltage (Ag1-Ch1 (sync)) [V]	Voltage (Ag2-Ch1 (sync)) [V]	Voltage (Ag1-Ch2 (sync)) [V]	Voltage (Ag2-Ch2 (sync)) [V]	T cooldown (LS335) [K]	R T-sensor (LS335) [Ohm]	B Field (Mercury IPS) [T]	R1 (Ohm)	R2 (Ohm)
										
0.00000E+0	0.00000E+0	2.13771E-3	1.68794E-3	6.23740E-5	1.96208E-3	4.58865E+0	6.40500E+3	8.07830E+0	7.88182E+2	2.91254E+1
1.00000E+0	0.00000E+0	2.13772E-3	1.68772E-3	6.20552E-5	1.96207E-3	4.58742E+0	6.40700E+3	8.07250E+0	7.88076E+2	2.89765E+1
2.00000E+0	0.00000E+0	2.13813E-3	1.68791E-3	6.21836E-5	1.96209E-3	4.58865E+0	6.40500E+3	8.06430E+0	7.88012E+2	2.90308E+1
3.00000E+0	0.00000E+0	2.13812E-3	1.68805E-3	6.20275E-5	1.96237E-3	4.58865E+0	6.40500E+3	8.05880E+0	7.88082E+2	2.89581E+1
4.00000E+0	0.00000E+0	2.13821E-3	1.68794E-3	6.18611E-5	1.96227E-3	4.58742E+0	6.40700E+3	8.04660E+0	7.87997E+2	2.88791E+1
5.00000E+0	0.00000E+0	2.13799E-3	1.68746E-3	6.17349E-5	1.96179E-3	4.58865E+0	6.40500E+3	8.03720E+0	7.87853E+2	2.88232E+1
6.00000E+0	0.00000E+0	2.13810E-3	1.68766E-3	6.16103E-5	1.96240E-3	4.58742E+0	6.40700E+3	8.02770E+0	7.87904E+2	2.87635E+1
7.00000E+0	0.00000E+0	2.13803E-3	1.68738E-3	6.14699E-5	1.96208E-3	4.58742E+0	6.40600E+3	8.01910E+0	7.87802E+2	2.86990E+1
8.00000E+0	0.00000E+0	2.13786E-3	1.68769E-3	6.15798E-5	1.96236E-3	4.58742E+0	6.40700E+3	8.01270E+0	7.88009E+2	2.87525E+1
9.00000E+0	0.00000E+0	2.13870E-3	1.68796E-3	6.15434E-5	1.96223E-3	4.58742E+0	6.40600E+3	8.00640E+0	7.87825E+2	2.87242E+1
1.00000E+1	0.00000E+0	2.13851E-3	1.68754E-3	6.16331E-5	1.96211E-3	4.58742E+0	6.40700E+3	7.99990E+0	7.87702E+2	2.87687E+1
1.10000E+1	0.00000E+0	2.13853E-3	1.68788E-3	6.15668E-5	1.96210E-3	4.58865E+0	6.40500E+3	7.99340E+0	7.87847E+2	2.87374E+1
1.20000E+1	0.00000E+0	2.13828E-3	1.68811E-3	6.13019E-5	1.96204E-3	4.58865E+0	6.40500E+3	7.98680E+0	7.88051E+2	2.86171E+1
1.30000E+1	0.00000E+0	2.13822E-3	1.68742E-3	6.13650E-5	1.96217E-3	4.58865E+0	6.40500E+3	7.98050E+0	7.87749E+2	2.86474E+1
1.40000E+1	0.00000E+0	2.13834E-3	1.68769E-3	6.14966E-5	1.96179E-3	4.58803E+0	6.40600E+3	7.97490E+0	7.87832E+2	2.87073E+1
1.50000E+1	0.00000E+0	2.13879E-3	1.68737E-3	6.13214E-5	1.96185E-3	4.58681E+0	6.40800E+3	7.96820E+0	7.87518E+2	2.86195E+1
1.60000E+1	0.00000E+0	2.13866E-3	1.68767E-3	6.13541E-5	1.96193E-3	4.58865E+0	6.40500E+3	7.96160E+0	7.87706E+2	2.86365E+1
1.70000E+1	0.00000E+0	2.13887E-3	1.68759E-3	6.10544E-5	1.96218E-3	4.58742E+0	6.40700E+3	7.95500E+0	7.87590E+2	2.84938E+1
1.80000E+1	0.00000E+0	2.13870E-3	1.68749E-3	6.11180E-5	1.96188E-3	4.58742E+0	6.40700E+3	7.94510E+0	7.87608E+2	2.85257E+1
1.90000E+1	0.00000E+0	2.13893E-3	1.68745E-3	6.09059E-5	1.96218E-3	4.58803E+0	6.40600E+3	7.93850E+0	7.87500E+2	2.84237E+1
2.00000E+1	0.00000E+0	2.13880E-3	1.68747E-3	6.08825E-5	1.96174E-3	4.58865E+0	6.40500E+3	7.93230E+0	7.87560E+2	2.84145E+1
2.10000E+1	0.00000E+0	2.13881E-3	1.68839E-3	6.09336E-5	1.96168E-3	4.58926E+0	6.40400E+3	7.92620E+0	7.87986E+2	2.84382E+1
2.20000E+1	0.00000E+0	2.13878E-3	1.68797E-3	6.09173E-5	1.96135E-3	4.58926E+0	6.40400E+3	7.91960E+0	7.87800E+2	2.84310E+1
2.30000E+1	0.00000E+0	2.13861E-3	1.68837E-3	6.10914E-5	1.96134E-3	4.58926E+0	6.40400E+3	7.91280E+0	7.88051E+2	2.85145E+1
2.40000E+1	0.00000E+0	2.13903E-3	1.68840E-3	6.12801E-5	1.96103E-3	4.58926E+0	6.40400E+3	7.90610E+0	7.87909E+2	2.85970E+1
2.50000E+1	0.00000E+0	2.13872E-3	1.68881E-3	6.08808E-5	1.96104E-3	4.58926E+0	6.40400E+3	7.89940E+0	7.88214E+2	2.84147E+1
2.60000E+1	0.00000E+0	2.13905E-3	1.68834E-3	6.06023E-5	1.96100E-3	4.58926E+0	6.40400E+3	7.89270E+0	7.87875E+2	2.82805E+1
2.70000E+1	0.00000E+0	2.13934E-3	1.68829E-3	6.08145E-5	1.96143E-3	4.58865E+0	6.40500E+3	7.88590E+0	7.87746E+2	2.83756E+1
2.80000E+1	0.00000E+0	2.13908E-3	1.68878E-3	6.09053E-5	1.96122E-3	4.58803E+0	6.40600E+3	7.87970E+0	7.88072E+2	2.84215E+1
2.90000E+1	0.00000E+0	2.13926E-3	1.68859E-3	6.06916E-5	1.96098E-3	4.58926E+0	6.40400E+3	7.87360E+0	7.87915E+2	2.83193E+1
3.00000E+1	0.00000E+0	2.13918E-3	1.68856E-3	6.05333E-5	1.96114E-3	4.58926E+0	6.40400E+3	7.86680E+0	7.87928E+2	2.82465E+1
3.10000E+1	0.00000E+0	2.13930E-3	1.68835E-3	6.06246E-5	1.96098E-3	4.58987E+0	6.40300E+3	7.85670E+0	7.87784E+2	2.82875E+1
3.20000E+1	0.00000E+0	2.13939E-3	1.68855E-3	6.02820E-5	1.96084E-3	4.58926E+0	6.40400E+3	7.85000E+0	7.87847E+2	2.81265E+1
3.30000E+1	0.00000E+0	2.13949E-3	1.68824E-3	6.04974E-5	1.96102E-3	4.58987E+0	6.40300E+3	7.84330E+0	7.87666E+2	2.82257E+1
3.40000E+1	0.00000E+0	2.13901E-3	1.68875E-3	6.01340E-5	1.96107E-3	4.58926E+0	6.40400E+3	7.83660E+0	7.88078E+2	2.80624E+1
