Name: Dominik
Sample: PST081D2
Measuring Station: 10T
Start Date/Time: 10/02/2017 / 14:40:35
Actual time: 10/02/2017 / 14:40:35

Comment:
I(8,B)Ag1Ch1
R1(5,2) Ag1Ch2
R2(6,5) Ag2Ch1
R3(NC) Ag2Ch2
Bsweep groﬂe HB
Rref =47.2Ohm

Swept Device: Zeit (Computer) []
Beginvalue: 0.000000E+0; Endvalue: 2.400000E+3
Measurement type: Unidirectional
Step Device: None (value in data file set to '0')
---------										
Zeit (Computer) []	None () []	Voltage (Ag1-Ch1 (sync)) [V]	Voltage (Ag2-Ch1 (sync)) [V]	Voltage (Ag1-Ch2 (sync)) [V]	Voltage (Ag2-Ch2 (sync)) [V]	T cooldown (LS335) [K]	R T-sensor (LS335) [Ohm]	B Field (Mercury IPS) [T]	R1 (Ohm)	R2 (Ohm)
										
0.00000E+0	0.00000E+0	1.86827E-3	5.60433E-3	4.21623E-4	4.39100E-7	4.54862E+0	6.47100E+3	8.07860E+0	1.06519E+1	1.41588E+2
1.00000E+0	0.00000E+0	1.86865E-3	5.60443E-3	4.21886E-4	4.30100E-7	4.54862E+0	6.47100E+3	8.07270E+0	1.06564E+1	1.41562E+2
2.00000E+0	0.00000E+0	1.86886E-3	5.60492E-3	4.21519E-4	4.59900E-7	4.54862E+0	6.47100E+3	8.06690E+0	1.06459E+1	1.41558E+2
3.00000E+0	0.00000E+0	1.86869E-3	5.60497E-3	4.21797E-4	4.45800E-7	4.54923E+0	6.47000E+3	8.06150E+0	1.06539E+1	1.41572E+2
4.00000E+0	0.00000E+0	1.86895E-3	5.60482E-3	4.21455E-4	4.42500E-7	4.54983E+0	6.47000E+3	8.05590E+0	1.06438E+1	1.41549E+2
5.00000E+0	0.00000E+0	1.86906E-3	5.60505E-3	4.21232E-4	4.34000E-7	4.54923E+0	6.47000E+3	8.04970E+0	1.06375E+1	1.41546E+2
6.00000E+0	0.00000E+0	1.86899E-3	5.60491E-3	4.20925E-4	4.43000E-7	4.54862E+0	6.47100E+3	8.04350E+0	1.06302E+1	1.41548E+2
7.00000E+0	0.00000E+0	1.86921E-3	5.60431E-3	4.20647E-4	4.41300E-7	4.54923E+0	6.47000E+3	8.03420E+0	1.06219E+1	1.41516E+2
8.00000E+0	0.00000E+0	1.86925E-3	5.60479E-3	4.19884E-4	4.36800E-7	4.54923E+0	6.47000E+3	8.02790E+0	1.06024E+1	1.41525E+2
