Name: PST113D1
Sample: 
Measuring Station: 10T
Start Date/Time: 27/09/2016 / 11:37:08
Actual time: 27/09/2016 / 11:37:08

Comment:
I(10,1)Ag1Ch1
R1(9,11) Ag1Ch2
R2(11,12) Ag2Ch1
R3(NC) Ag2Ch2 
Bsweep 8T 4K groﬂe Hallbar
Rref = 998.2Ohm

Swept Device: Zeit (Computer) []
Beginvalue: 0.000000E+0; Endvalue: 2.400000E+3
Measurement type: Unidirectional
Step Device: None (value in data file set to '0')
---------										
Zeit (Computer) []	None () []	Voltage (Ag1-Ch1 (sync)) [V]	Voltage (Ag2-Ch1 (sync)) [V]	Voltage (Ag1-Ch2 (sync)) [V]	Voltage (Ag2-Ch2 (sync)) [V]	T cooldown (LS335) [K]	R T-sensor (LS335) [Ohm]	B Field (Mercury IPS) [T]	R1 (Ohm)	R2 (Ohm)
										
0.00000E+0	0.00000E+0	3.06212E-3	4.74529E-3	5.27101E-4	7.92000E-8	4.52419E+0	6.51200E+3	8.07850E+0	1.70105E+2	1.53139E+3
1.00000E+0	0.00000E+0	3.06323E-3	4.74505E-3	5.27259E-4	7.13000E-8	4.52419E+0	6.51200E+3	8.07310E+0	1.70094E+2	1.53075E+3
2.00000E+0	0.00000E+0	3.06365E-3	4.74553E-3	5.26856E-4	8.09000E-8	4.52419E+0	6.51200E+3	8.06770E+0	1.69941E+2	1.53070E+3
3.00000E+0	0.00000E+0	3.06419E-3	4.74507E-3	5.26488E-4	7.80000E-8	4.52419E+0	6.51200E+3	8.06170E+0	1.69792E+2	1.53029E+3
4.00000E+0	0.00000E+0	3.06413E-3	4.74465E-3	5.26470E-4	7.19000E-8	4.52419E+0	6.51200E+3	8.05560E+0	1.69790E+2	1.53018E+3
5.00000E+0	0.00000E+0	3.06478E-3	4.74452E-3	5.26546E-4	7.41000E-8	4.52419E+0	6.51200E+3	8.04950E+0	1.69778E+2	1.52981E+3
6.00000E+0	0.00000E+0	3.06523E-3	4.74428E-3	5.26021E-4	7.07000E-8	4.52478E+0	6.51100E+3	8.04340E+0	1.69584E+2	1.52951E+3
7.00000E+0	0.00000E+0	3.06566E-3	4.74378E-3	5.25781E-4	8.31000E-8	4.52478E+0	6.51100E+3	8.03710E+0	1.69483E+2	1.52913E+3
8.00000E+0	0.00000E+0	3.06616E-3	4.74362E-3	5.25129E-4	8.03000E-8	4.52478E+0	6.51100E+3	8.02870E+0	1.69245E+2	1.52883E+3
9.00000E+0	0.00000E+0	3.06627E-3	4.74316E-3	5.24886E-4	9.15000E-8	4.52478E+0	6.51100E+3	8.02240E+0	1.69161E+2	1.52863E+3
1.00000E+1	0.00000E+0	3.06683E-3	4.74264E-3	5.24828E-4	9.10000E-8	4.52478E+0	6.51100E+3	8.01570E+0	1.69111E+2	1.52818E+3
1.10000E+1	0.00000E+0	3.06720E-3	4.74234E-3	5.24359E-4	8.82000E-8	4.52478E+0	6.51100E+3	8.00950E+0	1.68940E+2	1.52790E+3
1.20000E+1	0.00000E+0	3.06793E-3	4.74180E-3	5.23892E-4	9.60000E-8	4.52478E+0	6.51100E+3	8.00300E+0	1.68749E+2	1.52736E+3
1.30000E+1	0.00000E+0	3.06854E-3	4.74138E-3	5.23706E-4	9.49000E-8	4.52537E+0	6.51000E+3	7.99650E+0	1.68656E+2	1.52693E+3
1.40000E+1	0.00000E+0	3.06876E-3	4.74141E-3	5.23364E-4	1.11700E-7	4.52537E+0	6.51000E+3	7.99050E+0	1.68533E+2	1.52682E+3
1.50000E+1	0.00000E+0	3.06940E-3	4.74073E-3	5.23170E-4	9.71000E-8	4.52478E+0	6.51100E+3	7.98440E+0	1.68436E+2	1.52629E+3
1.60000E+1	0.00000E+0	3.07018E-3	4.74023E-3	5.22615E-4	9.21000E-8	4.52478E+0	6.51100E+3	7.97780E+0	1.68214E+2	1.52574E+3
1.70000E+1	0.00000E+0	3.07023E-3	4.73980E-3	5.22271E-4	8.76000E-8	4.52478E+0	6.51100E+3	7.97150E+0	1.68101E+2	1.52558E+3
1.80000E+1	0.00000E+0	3.07099E-3	4.73955E-3	5.21584E-4	9.66000E-8	4.52537E+0	6.51000E+3	7.96140E+0	1.67838E+2	1.52512E+3
1.90000E+1	0.00000E+0	3.07146E-3	4.73909E-3	5.21498E-4	9.71000E-8	4.52537E+0	6.51000E+3	7.95480E+0	1.67785E+2	1.52474E+3
2.00000E+1	0.00000E+0	3.07232E-3	4.73867E-3	5.20923E-4	8.25000E-8	4.52537E+0	6.51000E+3	7.94820E+0	1.67553E+2	1.52417E+3
2.10000E+1	0.00000E+0	3.07265E-3	4.73848E-3	5.20100E-4	8.98000E-8	4.52537E+0	6.51000E+3	7.94260E+0	1.67270E+2	1.52395E+3
2.20000E+1	0.00000E+0	3.07318E-3	4.73803E-3	5.20172E-4	8.76000E-8	4.52537E+0	6.51000E+3	7.93600E+0	1.67265E+2	1.52354E+3
2.30000E+1	0.00000E+0	3.07367E-3	4.73749E-3	5.19740E-4	7.97000E-8	4.52537E+0	6.51000E+3	7.92930E+0	1.67099E+2	1.52312E+3
2.40000E+1	0.00000E+0	3.07455E-3	4.73707E-3	5.19232E-4	8.48000E-8	4.52537E+0	6.51000E+3	7.92250E+0	1.66888E+2	1.52255E+3
2.50000E+1	0.00000E+0	3.07520E-3	4.73632E-3	5.18748E-4	7.36000E-8	4.52537E+0	6.51000E+3	7.91590E+0	1.66697E+2	1.52199E+3
2.60000E+1	0.00000E+0	3.07551E-3	4.73631E-3	5.18634E-4	8.37000E-8	4.52596E+0	6.50900E+3	7.90910E+0	1.66644E+2	1.52184E+3
2.70000E+1	0.00000E+0	3.07591E-3	4.73591E-3	5.18502E-4	8.09000E-8	4.52596E+0	6.50900E+3	7.90310E+0	1.66580E+2	1.52151E+3
2.80000E+1	0.00000E+0	3.07642E-3	4.73529E-3	5.17785E-4	9.04000E-8	4.52596E+0	6.50900E+3	7.89700E+0	1.66322E+2	1.52106E+3
2.90000E+1	0.00000E+0	3.07687E-3	4.73453E-3	5.17379E-4	7.80000E-8	4.52596E+0	6.50900E+3	7.88670E+0	1.66167E+2	1.52059E+3
3.00000E+1	0.00000E+0	3.07795E-3	4.73429E-3	5.16983E-4	8.76000E-8	4.52596E+0	6.50900E+3	7.87990E+0	1.65981E+2	1.51998E+3
3.10000E+1	0.00000E+0	3.07820E-3	4.73390E-3	5.16513E-4	8.87000E-8	4.52596E+0	6.50900E+3	7.87340E+0	1.65817E+2	1.51973E+3
3.20000E+1	0.00000E+0	3.07887E-3	4.73374E-3	5.16402E-4	1.02200E-7	4.52596E+0	6.50900E+3	7.86660E+0	1.65746E+2	1.51935E+3
3.30000E+1	0.00000E+0	3.07959E-3	4.73306E-3	5.15698E-4	8.76000E-8	4.52596E+0	6.50900E+3	7.85980E+0	1.65481E+2	1.51878E+3
3.40000E+1	0.00000E+0	3.08010E-3	4.73272E-3	5.15233E-4	9.60000E-8	4.52596E+0	6.50800E+3	7.85410E+0	1.65304E+2	1.51841E+3
3.50000E+1	0.00000E+0	3.08068E-3	4.73237E-3	5.15050E-4	9.60000E-8	4.52656E+0	6.50800E+3	7.84740E+0	1.65214E+2	1.51802E+3
3.60000E+1	0.00000E+0	3.08117E-3	4.73139E-3	5.14762E-4	8.98000E-8	4.52656E+0	6.50800E+3	7.84050E+0	1.65095E+2	1.51746E+3
3.70000E+1	0.00000E+0	3.08174E-3	4.73138E-3	5.13756E-4	9.99000E-8	4.52656E+0	6.50800E+3	7.83400E+0	1.64742E+2	1.51718E+3
3.80000E+1	0.00000E+0	3.08204E-3	4.73104E-3	5.13532E-4	1.03300E-7	4.52656E+0	6.50700E+3	7.82710E+0	1.64655E+2	1.51692E+3
3.90000E+1	0.00000E+0	3.08285E-3	4.73036E-3	5.13363E-4	9.04000E-8	4.52715E+0	6.50700E+3	7.82040E+0	1.64557E+2	1.51631E+3
4.00000E+1	0.00000E+0	3.08325E-3	4.72978E-3	5.12733E-4	9.71000E-8	4.52715E+0	6.50700E+3	7.81070E+0	1.64334E+2	1.51592E+3
4.10000E+1	0.00000E+0	3.08420E-3	4.72920E-3	5.12332E-4	9.26000E-8	4.52715E+0	6.50700E+3	7.80440E+0	1.64155E+2	1.51527E+3
4.20000E+1	0.00000E+0	3.08478E-3	4.72927E-3	5.12135E-4	1.06100E-7	4.52715E+0	6.50700E+3	7.79750E+0	1.64061E+2	1.51501E+3
4.30000E+1	0.00000E+0	3.08540E-3	4.72876E-3	5.11730E-4	9.43000E-8	4.52715E+0	6.50700E+3	7.79070E+0	1.63898E+2	1.51454E+3
4.40000E+1	0.00000E+0	3.08580E-3	4.72816E-3	5.11313E-4	1.12300E-7	4.52715E+0	6.50700E+3	7.78410E+0	1.63744E+2	1.51415E+3
4.50000E+1	0.00000E+0	3.08630E-3	4.72734E-3	5.10743E-4	9.77000E-8	4.52774E+0	6.50700E+3	7.77730E+0	1.63534E+2	1.51364E+3
4.60000E+1	0.00000E+0	3.08696E-3	4.72712E-3	5.10208E-4	1.01100E-7	4.52774E+0	6.50600E+3	7.77110E+0	1.63328E+2	1.51325E+3
4.70000E+1	0.00000E+0	3.08738E-3	4.72709E-3	5.09974E-4	9.94000E-8	4.52774E+0	6.50600E+3	7.76500E+0	1.63231E+2	1.51303E+3
4.80000E+1	0.00000E+0	3.08812E-3	4.72660E-3	5.09465E-4	9.38000E-8	4.52774E+0	6.50600E+3	7.75820E+0	1.63029E+2	1.51251E+3
4.90000E+1	0.00000E+0	3.08860E-3	4.72574E-3	5.09163E-4	8.59000E-8	4.52774E+0	6.50600E+3	7.75130E+0	1.62907E+2	1.51201E+3
5.00000E+1	0.00000E+0	3.08944E-3	4.72559E-3	5.08703E-4	8.20000E-8	4.52774E+0	6.50600E+3	7.74460E+0	1.62716E+2	1.51155E+3
5.10000E+1	0.00000E+0	3.08967E-3	4.72481E-3	5.08276E-4	9.15000E-8	4.52774E+0	6.50600E+3	7.73450E+0	1.62567E+2	1.51118E+3
5.20000E+1	0.00000E+0	3.09033E-3	4.72415E-3	5.07892E-4	8.59000E-8	4.52774E+0	6.50600E+3	7.72760E+0	1.62410E+2	1.51065E+3
5.30000E+1	0.00000E+0	3.09072E-3	4.72391E-3	5.07541E-4	9.21000E-8	4.52774E+0	6.50600E+3	7.72140E+0	1.62277E+2	1.51038E+3
5.40000E+1	0.00000E+0	3.09153E-3	4.72379E-3	5.07178E-4	8.87000E-8	4.52774E+0	6.50600E+3	7.71520E+0	1.62118E+2	1.50995E+3
5.50000E+1	0.00000E+0	3.09215E-3	4.72282E-3	5.06402E-4	8.59000E-8	4.52774E+0	6.50600E+3	7.70840E+0	1.61837E+2	1.50933E+3
5.60000E+1	0.00000E+0	3.09258E-3	4.72275E-3	5.06492E-4	8.37000E-8	4.52834E+0	6.50500E+3	7.70170E+0	1.61844E+2	1.50910E+3
5.70000E+1	0.00000E+0	3.09351E-3	4.72219E-3	5.05797E-4	8.53000E-8	4.52834E+0	6.50500E+3	7.69480E+0	1.61573E+2	1.50847E+3
5.80000E+1	0.00000E+0	3.09395E-3	4.72194E-3	5.05334E-4	9.15000E-8	4.52834E+0	6.50500E+3	7.68820E+0	1.61402E+2	1.50817E+3
5.90000E+1	0.00000E+0	3.09489E-3	4.72129E-3	5.05102E-4	9.43000E-8	4.52834E+0	6.50500E+3	7.68150E+0	1.61279E+2	1.50751E+3
6.00000E+1	0.00000E+0	3.09485E-3	4.72094E-3	5.04469E-4	8.87000E-8	4.52834E+0	6.50500E+3	7.67510E+0	1.61080E+2	1.50742E+3
6.10000E+1	0.00000E+0	3.09548E-3	4.72054E-3	5.04178E-4	8.93000E-8	4.52834E+0	6.50500E+3	7.66890E+0	1.60954E+2	1.50698E+3
6.20000E+1	0.00000E+0	3.09635E-3	4.71997E-3	5.03715E-4	1.03900E-7	4.52834E+0	6.50500E+3	7.66210E+0	1.60760E+2	1.50638E+3
6.30000E+1	0.00000E+0	3.09660E-3	4.71971E-3	5.03206E-4	1.00500E-7	4.52893E+0	6.50400E+3	7.65190E+0	1.60585E+2	1.50618E+3
6.40000E+1	0.00000E+0	3.09731E-3	4.71926E-3	5.02864E-4	1.01100E-7	4.52893E+0	6.50400E+3	7.64520E+0	1.60439E+2	1.50569E+3
6.50000E+1	0.00000E+0	3.09823E-3	4.71854E-3	5.02243E-4	9.99000E-8	4.52893E+0	6.50400E+3	7.63850E+0	1.60193E+2	1.50501E+3
6.60000E+1	0.00000E+0	3.09883E-3	4.71819E-3	5.02181E-4	1.16800E-7	4.52893E+0	6.50400E+3	7.63220E+0	1.60143E+2	1.50461E+3
6.70000E+1	0.00000E+0	3.09925E-3	4.71783E-3	5.01742E-4	1.11700E-7	4.52893E+0	6.50400E+3	7.62620E+0	1.59981E+2	1.50429E+3
6.80000E+1	0.00000E+0	3.09955E-3	4.71709E-3	5.01359E-4	9.94000E-8	4.52893E+0	6.50400E+3	7.61930E+0	1.59844E+2	1.50391E+3
6.90000E+1	0.00000E+0	3.10022E-3	4.71699E-3	5.00536E-4	1.03300E-7	4.52952E+0	6.50300E+3	7.61240E+0	1.59546E+2	1.50355E+3
7.00000E+1	0.00000E+0	3.10111E-3	4.71648E-3	5.00338E-4	1.12900E-7	4.52952E+0	6.50300E+3	7.60570E+0	1.59438E+2	1.50295E+3
7.10000E+1	0.00000E+0	3.10126E-3	4.71585E-3	5.00100E-4	1.03300E-7	4.52952E+0	6.50300E+3	7.59880E+0	1.59354E+2	1.50268E+3
7.20000E+1	0.00000E+0	3.10180E-3	4.71552E-3	4.99259E-4	1.19600E-7	4.52952E+0	6.50300E+3	7.59210E+0	1.59058E+2	1.50231E+3
7.30000E+1	0.00000E+0	3.10216E-3	4.71508E-3	4.99271E-4	1.06700E-7	4.52952E+0	6.50300E+3	7.58550E+0	1.59044E+2	1.50200E+3
7.40000E+1	0.00000E+0	3.10327E-3	4.71468E-3	4.98872E-4	1.08400E-7	4.52952E+0	6.50300E+3	7.57970E+0	1.58860E+2	1.50133E+3
