Name: PST113D1
Sample: 
Measuring Station: 10T
Start Date/Time: 27/09/2016 / 13:29:03
Actual time: 27/09/2016 / 13:29:03

Comment:
I(8,3)Ag1Ch1
R1(7,E) Ag1Ch2
R2(7,5) Ag2Ch1
R3(5,B) Ag2Ch2 
Bsweep 8T 4K kleine Hallbar
Rref = 998.2Ohm

Swept Device: Zeit (Computer) []
Beginvalue: 0.000000E+0; Endvalue: 2.400000E+3
Measurement type: Unidirectional
Step Device: None (value in data file set to '0')
---------										
Zeit (Computer) []	None () []	Voltage (Ag1-Ch1 (sync)) [V]	Voltage (Ag2-Ch1 (sync)) [V]	Voltage (Ag1-Ch2 (sync)) [V]	Voltage (Ag2-Ch2 (sync)) [V]	T cooldown (LS335) [K]	R T-sensor (LS335) [Ohm]	B Field (Mercury IPS) [T]	R1 (Ohm)	R2 (Ohm)
										
0.00000E+0	0.00000E+0	1.50848E-3	2.23949E-3	-2.84277E-4	-2.89384E-4	4.52182E+0	6.51500E+3	-8.07800E+0	-1.86229E+2	1.46708E+3
1.00000E+0	0.00000E+0	1.50893E-3	2.23959E-3	-2.84083E-4	-2.89351E-4	4.52182E+0	6.51600E+3	-8.07230E+0	-1.86046E+2	1.46671E+3
2.00000E+0	0.00000E+0	1.50878E-3	2.23953E-3	-2.83635E-4	-2.89102E-4	4.52241E+0	6.51600E+3	-8.06660E+0	-1.85771E+2	1.46681E+3
3.00000E+0	0.00000E+0	1.50923E-3	2.23952E-3	-2.83862E-4	-2.89172E-4	4.52182E+0	6.51600E+3	-8.06130E+0	-1.85865E+2	1.46637E+3
4.00000E+0	0.00000E+0	1.50947E-3	2.23899E-3	-2.83670E-4	-2.89150E-4	4.52241E+0	6.51500E+3	-8.05530E+0	-1.85710E+2	1.46579E+3
5.00000E+0	0.00000E+0	1.50958E-3	2.23921E-3	-2.83501E-4	-2.88920E-4	4.52241E+0	6.51500E+3	-8.04910E+0	-1.85585E+2	1.46583E+3
6.00000E+0	0.00000E+0	1.50972E-3	2.23925E-3	-2.83395E-4	-2.88771E-4	4.52300E+0	6.51400E+3	-8.04290E+0	-1.85498E+2	1.46572E+3
7.00000E+0	0.00000E+0	1.51006E-3	2.23871E-3	-2.83117E-4	-2.88340E-4	4.52241E+0	6.51500E+3	-8.02130E+0	-1.85275E+2	1.46504E+3
8.00000E+0	0.00000E+0	1.51102E-3	2.23854E-3	-2.82152E-4	-2.87673E-4	4.52241E+0	6.51500E+3	-8.01240E+0	-1.84527E+2	1.46400E+3
9.00000E+0	0.00000E+0	1.51126E-3	2.23827E-3	-2.82581E-4	-2.87793E-4	4.52241E+0	6.51500E+3	-8.00580E+0	-1.84778E+2	1.46359E+3
1.00000E+1	0.00000E+0	1.51148E-3	2.23826E-3	-2.81901E-4	-2.87436E-4	4.52300E+0	6.51400E+3	-7.99940E+0	-1.84306E+2	1.46337E+3
1.10000E+1	0.00000E+0	1.51185E-3	2.23815E-3	-2.81889E-4	-2.87262E-4	4.52300E+0	6.51400E+3	-7.99290E+0	-1.84253E+2	1.46294E+3
1.20000E+1	0.00000E+0	1.51234E-3	2.23785E-3	-2.81756E-4	-2.87386E-4	4.52300E+0	6.51400E+3	-7.98650E+0	-1.84106E+2	1.46226E+3
1.30000E+1	0.00000E+0	1.51240E-3	2.23753E-3	-2.81620E-4	-2.86917E-4	4.52300E+0	6.51400E+3	-7.98040E+0	-1.84010E+2	1.46200E+3
1.40000E+1	0.00000E+0	1.51323E-3	2.23772E-3	-2.81419E-4	-2.86795E-4	4.52300E+0	6.51400E+3	-7.97110E+0	-1.83778E+2	1.46133E+3
1.50000E+1	0.00000E+0	1.51326E-3	2.23760E-3	-2.81050E-4	-2.86495E-4	4.52359E+0	6.51300E+3	-7.96440E+0	-1.83534E+2	1.46122E+3
1.60000E+1	0.00000E+0	1.51371E-3	2.23724E-3	-2.81060E-4	-2.86210E-4	4.52300E+0	6.51400E+3	-7.95770E+0	-1.83486E+2	1.46055E+3
