Name: PST113d1
Sample: 
Measuring Station: 10T
Start Date/Time: 06/12/2016 / 15:53:21
Actual time: 06/12/2016 / 15:53:21

Comment:
I(8,3)Ag1Ch1
R1(5,B) Ag1Ch2
R2(7,5) Ag2Ch1
R3(NC) Ag2Ch2
Bsweep annealed 120K kleine HB
Rref =998.2Ohm

Swept Device: Zeit (Computer) []
Beginvalue: 0.000000E+0; Endvalue: 2.400000E+3
Measurement type: Unidirectional
Step Device: None (value in data file set to '0')
---------										
Zeit (Computer) []	None () []	Voltage (Ag1-Ch1 (sync)) [V]	Voltage (Ag2-Ch1 (sync)) [V]	Voltage (Ag1-Ch2 (sync)) [V]	Voltage (Ag2-Ch2 (sync)) [V]	T cooldown (LS335) [K]	R T-sensor (LS335) [Ohm]	B Field (Mercury IPS) [T]	R1 (Ohm)	R2 (Ohm)
										
0.00000E+0	0.00000E+0	3.52631E-3	1.73558E-3	3.04298E-4	5.05900E-7	1.20421E+2	2.82600E+2	8.07900E+0	8.61383E+1	4.91295E+2
1.00000E+0	0.00000E+0	3.52650E-3	1.73543E-3	3.04332E-4	4.96900E-7	1.20421E+2	2.82600E+2	8.07320E+0	8.61434E+1	4.91226E+2
2.00000E+0	0.00000E+0	3.52653E-3	1.73539E-3	3.04183E-4	4.99700E-7	1.20380E+2	2.82700E+2	8.06730E+0	8.61004E+1	4.91209E+2
3.00000E+0	0.00000E+0	3.52686E-3	1.73564E-3	3.03961E-4	5.11500E-7	1.20421E+2	2.82600E+2	8.06140E+0	8.60294E+1	4.91235E+2
4.00000E+0	0.00000E+0	3.52759E-3	1.73621E-3	3.04012E-4	5.05300E-7	1.20421E+2	2.82600E+2	8.05530E+0	8.60259E+1	4.91293E+2
5.00000E+0	0.00000E+0	3.52758E-3	1.73542E-3	3.04023E-4	5.23300E-7	1.20421E+2	2.82600E+2	8.04660E+0	8.60296E+1	4.91071E+2
6.00000E+0	0.00000E+0	3.52820E-3	1.73531E-3	3.03460E-4	5.03700E-7	1.20421E+2	2.82600E+2	8.04100E+0	8.58550E+1	4.90954E+2
7.00000E+0	0.00000E+0	3.52924E-3	1.73519E-3	3.03579E-4	5.18300E-7	1.20421E+2	2.82600E+2	8.03470E+0	8.58634E+1	4.90775E+2
8.00000E+0	0.00000E+0	3.52887E-3	1.73547E-3	3.03043E-4	5.12100E-7	1.20421E+2	2.82600E+2	8.02820E+0	8.57207E+1	4.90906E+2
