Name: PST113d1
Sample: 
Measuring Station: 10T
Start Date/Time: 06/12/2016 / 11:39:56
Actual time: 06/12/2016 / 11:39:56

Comment:
I(10,1)Ag1Ch1
R1(9,11) Ag1Ch2
R2(11,12) Ag2Ch1
R3(NC) Ag2Ch2
Bsweep annealed groﬂe HB
Rref =998.2Ohm

Swept Device: Zeit (Computer) []
Beginvalue: 0.000000E+0; Endvalue: 2.400000E+3
Measurement type: Unidirectional
Step Device: None (value in data file set to '0')
---------										
Zeit (Computer) []	None () []	Voltage (Ag1-Ch1 (sync)) [V]	Voltage (Ag2-Ch1 (sync)) [V]	Voltage (Ag1-Ch2 (sync)) [V]	Voltage (Ag2-Ch2 (sync)) [V]	T cooldown (LS335) [K]	R T-sensor (LS335) [Ohm]	B Field (Mercury IPS) [T]	R1 (Ohm)	R2 (Ohm)
										
0.00000E+0	0.00000E+0	5.11515E-3	3.51082E-3	4.63859E-4	3.82900E-7	4.63769E+0	6.32500E+3	8.07010E+0	9.05202E+1	6.85123E+2
1.00000E+0	0.00000E+0	5.11567E-3	3.51032E-3	4.63371E-4	3.88000E-7	4.64021E+0	6.32300E+3	8.06490E+0	9.04157E+1	6.84955E+2
2.00000E+0	0.00000E+0	5.11585E-3	3.51020E-3	4.63167E-4	4.01500E-7	4.64021E+0	6.32200E+3	8.05850E+0	9.03726E+1	6.84906E+2
3.00000E+0	0.00000E+0	5.11642E-3	3.50982E-3	4.63381E-4	4.08200E-7	4.64147E+0	6.32000E+3	8.05330E+0	9.04044E+1	6.84755E+2
4.00000E+0	0.00000E+0	5.11690E-3	3.50983E-3	4.62388E-4	3.93600E-7	4.64273E+0	6.31800E+3	8.04650E+0	9.02023E+1	6.84694E+2
5.00000E+0	0.00000E+0	5.11732E-3	3.50963E-3	4.62527E-4	4.03700E-7	4.64525E+0	6.31400E+3	8.04070E+0	9.02220E+1	6.84598E+2
6.00000E+0	0.00000E+0	5.11777E-3	3.50916E-3	4.62013E-4	3.90200E-7	4.64525E+0	6.31400E+3	8.03450E+0	9.01139E+1	6.84447E+2
7.00000E+0	0.00000E+0	5.11816E-3	3.50857E-3	4.61540E-4	3.98100E-7	4.64904E+0	6.30800E+3	8.02840E+0	9.00147E+1	6.84281E+2
8.00000E+0	0.00000E+0	5.11863E-3	3.50841E-3	4.61471E-4	4.02000E-7	4.64904E+0	6.30800E+3	8.01600E+0	8.99928E+1	6.84186E+2
9.00000E+0	0.00000E+0	5.11946E-3	3.50818E-3	4.60506E-4	4.04800E-7	4.65031E+0	6.30600E+3	8.00960E+0	8.97901E+1	6.84030E+2
1.00000E+1	0.00000E+0	5.12027E-3	3.50749E-3	4.60810E-4	3.98100E-7	4.65031E+0	6.30600E+3	8.00340E+0	8.98353E+1	6.83787E+2
1.10000E+1	0.00000E+0	5.12082E-3	3.50739E-3	4.59987E-4	4.00900E-7	4.64715E+0	6.31100E+3	7.99700E+0	8.96651E+1	6.83696E+2
1.20000E+1	0.00000E+0	5.12130E-3	3.50684E-3	4.59687E-4	3.89700E-7	4.64651E+0	6.31200E+3	7.99020E+0	8.95982E+1	6.83523E+2
1.30000E+1	0.00000E+0	5.12192E-3	3.50665E-3	4.59290E-4	4.02600E-7	4.64841E+0	6.30900E+3	7.98450E+0	8.95100E+1	6.83404E+2
1.40000E+1	0.00000E+0	5.12232E-3	3.50596E-3	4.58845E-4	3.97000E-7	4.64778E+0	6.31000E+3	7.97770E+0	8.94163E+1	6.83216E+2
1.50000E+1	0.00000E+0	5.12287E-3	3.50623E-3	4.58289E-4	4.02000E-7	4.64588E+0	6.31300E+3	7.97120E+0	8.92983E+1	6.83195E+2
1.60000E+1	0.00000E+0	5.12375E-3	3.50551E-3	4.57865E-4	4.02000E-7	4.64462E+0	6.31500E+3	7.96460E+0	8.92005E+1	6.82938E+2
1.70000E+1	0.00000E+0	5.12413E-3	3.50504E-3	4.57732E-4	3.92500E-7	4.64462E+0	6.31500E+3	7.95840E+0	8.91679E+1	6.82795E+2
1.80000E+1	0.00000E+0	5.12458E-3	3.50479E-3	4.57035E-4	3.94700E-7	4.64841E+0	6.30900E+3	7.95240E+0	8.90244E+1	6.82687E+2
1.90000E+1	0.00000E+0	5.12528E-3	3.50442E-3	4.56850E-4	3.87400E-7	4.64588E+0	6.31300E+3	7.94570E+0	8.89761E+1	6.82522E+2
2.00000E+1	0.00000E+0	5.12572E-3	3.50422E-3	4.56743E-4	3.98100E-7	4.64588E+0	6.31300E+3	7.93900E+0	8.89476E+1	6.82423E+2
2.10000E+1	0.00000E+0	5.12622E-3	3.50339E-3	4.56357E-4	3.84600E-7	4.64715E+0	6.31100E+3	7.93240E+0	8.88639E+1	6.82196E+2
2.20000E+1	0.00000E+0	5.12685E-3	3.50337E-3	4.55645E-4	3.85700E-7	4.64841E+0	6.30800E+3	7.92240E+0	8.87143E+1	6.82109E+2
2.30000E+1	0.00000E+0	5.12730E-3	3.50254E-3	4.55221E-4	3.80700E-7	4.65031E+0	6.30600E+3	7.91570E+0	8.86239E+1	6.81887E+2
2.40000E+1	0.00000E+0	5.12797E-3	3.50243E-3	4.55025E-4	3.83500E-7	4.64904E+0	6.30800E+3	7.91010E+0	8.85742E+1	6.81775E+2
2.50000E+1	0.00000E+0	5.12880E-3	3.50189E-3	4.54810E-4	3.81800E-7	4.65031E+0	6.30700E+3	7.90320E+0	8.85182E+1	6.81561E+2
