Name: PST113d1
Sample: 
Measuring Station: 10T
Start Date/Time: 06/12/2016 / 13:05:02
Actual time: 06/12/2016 / 13:05:02

Comment:
I(8,3)Ag1Ch1
R1(5,B) Ag1Ch2
R2(7,5) Ag2Ch1
R3(NC) Ag2Ch2
Bsweep annealed kleine HB
Rref =998.2Ohm

Swept Device: Zeit (Computer) []
Beginvalue: 0.000000E+0; Endvalue: 2.400000E+3
Measurement type: Unidirectional
Step Device: None (value in data file set to '0')
---------										
Zeit (Computer) []	None () []	Voltage (Ag1-Ch1 (sync)) [V]	Voltage (Ag2-Ch1 (sync)) [V]	Voltage (Ag1-Ch2 (sync)) [V]	Voltage (Ag2-Ch2 (sync)) [V]	T cooldown (LS335) [K]	R T-sensor (LS335) [Ohm]	B Field (Mercury IPS) [T]	R1 (Ohm)	R2 (Ohm)
										
0.00000E+0	0.00000E+0	3.17487E-3	1.95826E-3	-2.17923E-4	4.26200E-7	4.59049E+0	6.40200E+3	-8.06970E+0	-6.85162E+1	6.15690E+2
1.00000E+0	0.00000E+0	3.17467E-3	1.95819E-3	-2.17305E-4	4.13300E-7	4.59110E+0	6.40100E+3	-8.06420E+0	-6.83266E+1	6.15708E+2
2.00000E+0	0.00000E+0	3.17472E-3	1.95821E-3	-2.17066E-4	4.25600E-7	4.59049E+0	6.40200E+3	-8.05820E+0	-6.82501E+1	6.15704E+2
3.00000E+0	0.00000E+0	3.17508E-3	1.95794E-3	-2.17414E-4	4.30100E-7	4.58987E+0	6.40300E+3	-8.05200E+0	-6.83518E+1	6.15550E+2
4.00000E+0	0.00000E+0	3.17580E-3	1.95752E-3	-2.17398E-4	4.29500E-7	4.58987E+0	6.40300E+3	-8.04600E+0	-6.83312E+1	6.15278E+2
5.00000E+0	0.00000E+0	3.17586E-3	1.95770E-3	-2.16632E-4	4.45300E-7	4.58987E+0	6.40300E+3	-8.03980E+0	-6.80892E+1	6.15322E+2
6.00000E+0	0.00000E+0	3.17632E-3	1.95760E-3	-2.16850E-4	4.30100E-7	4.59171E+0	6.40000E+3	-8.03360E+0	-6.81479E+1	6.15202E+2
7.00000E+0	0.00000E+0	3.17664E-3	1.95717E-3	-2.16332E-4	4.32400E-7	4.59049E+0	6.40200E+3	-8.02710E+0	-6.79783E+1	6.15006E+2
8.00000E+0	0.00000E+0	3.17711E-3	1.95696E-3	-2.16552E-4	4.52000E-7	4.58987E+0	6.40200E+3	-8.02180E+0	-6.80375E+1	6.14848E+2
9.00000E+0	0.00000E+0	3.17703E-3	1.95710E-3	-2.16814E-4	4.35700E-7	4.59110E+0	6.40100E+3	-8.01540E+0	-6.81213E+1	6.14907E+2
