Name: PST119d1
Sample: 
Measuring Station: 10T
Start Date/Time: 28/11/2016 / 15:04:13
Actual time: 28/11/2016 / 15:04:13

Comment:
I(10,1)Ag1Ch1
R1(2,12) Ag1Ch2
R2(9,2) Ag2Ch1
R3(NC) Ag2Ch2
bsweep kleine HB
Rref = 998.2Ohm

Swept Device: Zeit (Computer) []
Beginvalue: 0.000000E+0; Endvalue: 2.400000E+3
Measurement type: Unidirectional
Step Device: None (value in data file set to '0')
---------										
Zeit (Computer) []	None () []	Voltage (Ag1-Ch1 (sync)) [V]	Voltage (Ag2-Ch1 (sync)) [V]	Voltage (Ag1-Ch2 (sync)) [V]	Voltage (Ag2-Ch2 (sync)) [V]	T cooldown (LS335) [K]	R T-sensor (LS335) [Ohm]	B Field (Mercury IPS) [T]	R1 (Ohm)	R2 (Ohm)
										
0.00000E+0	0.00000E+0	1.44498E-3	2.77451E-3	1.94258E-4	3.29000E-7	4.57096E+0	6.43400E+3	8.08140E+0	1.34194E+2	1.91664E+3
1.00000E+0	0.00000E+0	1.44506E-3	2.77480E-3	1.94404E-4	3.26800E-7	4.57217E+0	6.43200E+3	8.07560E+0	1.34288E+2	1.91673E+3
2.00000E+0	0.00000E+0	1.44544E-3	2.77560E-3	1.94466E-4	3.41400E-7	4.57156E+0	6.43300E+3	8.06690E+0	1.34296E+2	1.91679E+3
3.00000E+0	0.00000E+0	1.44574E-3	2.77551E-3	1.94650E-4	3.50400E-7	4.57217E+0	6.43200E+3	8.06200E+0	1.34394E+2	1.91632E+3
4.00000E+0	0.00000E+0	1.44604E-3	2.77518E-3	1.94253E-4	3.48100E-7	4.57217E+0	6.43200E+3	8.05570E+0	1.34093E+2	1.91571E+3
5.00000E+0	0.00000E+0	1.44600E-3	2.77509E-3	1.94430E-4	3.39700E-7	4.57278E+0	6.43100E+3	8.04960E+0	1.34218E+2	1.91569E+3
6.00000E+0	0.00000E+0	1.44568E-3	2.77495E-3	1.94212E-4	3.50900E-7	4.57156E+0	6.43300E+3	8.04350E+0	1.34098E+2	1.91603E+3
7.00000E+0	0.00000E+0	1.44579E-3	2.77512E-3	1.93861E-4	3.27400E-7	4.57278E+0	6.43100E+3	8.03400E+0	1.33845E+2	1.91599E+3
8.00000E+0	0.00000E+0	1.44621E-3	2.77565E-3	1.93616E-4	3.42000E-7	4.57339E+0	6.43000E+3	8.02790E+0	1.33637E+2	1.91580E+3
9.00000E+0	0.00000E+0	1.44596E-3	2.77516E-3	1.93441E-4	3.43100E-7	4.57278E+0	6.43100E+3	8.02200E+0	1.33539E+2	1.91579E+3
1.00000E+1	0.00000E+0	1.44649E-3	2.77520E-3	1.93755E-4	3.39100E-7	4.57156E+0	6.43200E+3	8.01610E+0	1.33708E+2	1.91512E+3
1.10000E+1	0.00000E+0	1.44615E-3	2.77519E-3	1.93151E-4	3.30700E-7	4.57278E+0	6.43100E+3	8.00970E+0	1.33322E+2	1.91556E+3
1.20000E+1	0.00000E+0	1.44633E-3	2.77437E-3	1.92992E-4	3.46400E-7	4.57278E+0	6.43100E+3	8.00330E+0	1.33195E+2	1.91475E+3
1.30000E+1	0.00000E+0	1.44639E-3	2.77466E-3	1.92824E-4	3.36300E-7	4.57278E+0	6.43100E+3	7.99660E+0	1.33074E+2	1.91488E+3
1.40000E+1	0.00000E+0	1.44649E-3	2.77501E-3	1.92819E-4	3.43100E-7	4.57217E+0	6.43200E+3	7.99030E+0	1.33061E+2	1.91498E+3
1.50000E+1	0.00000E+0	1.44649E-3	2.77471E-3	1.92725E-4	3.29600E-7	4.57278E+0	6.43100E+3	7.98370E+0	1.32996E+2	1.91478E+3
1.60000E+1	0.00000E+0	1.44661E-3	2.77503E-3	1.92686E-4	3.20600E-7	4.57339E+0	6.43000E+3	7.97810E+0	1.32959E+2	1.91485E+3
1.70000E+1	0.00000E+0	1.44671E-3	2.77458E-3	1.92628E-4	3.21700E-7	4.57278E+0	6.43100E+3	7.96820E+0	1.32909E+2	1.91440E+3
1.80000E+1	0.00000E+0	1.44661E-3	2.77419E-3	1.92221E-4	3.28500E-7	4.57339E+0	6.43000E+3	7.96150E+0	1.32637E+2	1.91427E+3
