Name: Dominik
Sample: PST177D2
Measuring Station: 10T
Start Date/Time: 28/03/2017 / 14:08:13
Actual time: 28/03/2017 / 14:08:13

Comment:
Rref =998.2 Ohm
I(11,B)Ag1Ch1
R1(12,1) Ag1Ch2
R2(12,10) Ag2Ch1
R3(10,3) Ag2Ch2
Bsweep groﬂe HB

Swept Device: Zeit (Computer) []
Beginvalue: 0.000000E+0; Endvalue: 3.053000E+3
Measurement type: Bidirectional
Step Device: None (value in data file set to '0')
---------										
Zeit (Computer) []	None () []	Voltage (Ag1-Ch1 (sync)) [V]	Voltage (Ag2-Ch1 (sync)) [V]	Voltage (Ag1-Ch2 (sync)) [V]	Voltage (Ag2-Ch2 (sync)) [V]	T cooldown (LS335) [K]	R T-sensor (LS335) [Ohm]	B Field (Mercury IPS) [T]	R1 (Ohm)	R2 (Ohm)
										
0.00000E+0	0.00000E+0	5.08282E-3	3.22056E-3	-1.06627E-4	3.21478E-3	4.56792E+0	6.43900E+3	7.93860E+0	-2.09401E+1	6.32476E+2
1.00000E+0	0.00000E+0	5.08291E-3	3.22021E-3	-1.06686E-4	3.21447E-3	4.56732E+0	6.44000E+3	7.92910E+0	-2.09513E+1	6.32395E+2
2.00000E+0	0.00000E+0	5.08296E-3	3.22025E-3	-1.06183E-4	3.21462E-3	4.56671E+0	6.44100E+3	7.92300E+0	-2.08523E+1	6.32398E+2
3.00000E+0	0.00000E+0	5.08303E-3	3.21999E-3	-1.06135E-4	3.21442E-3	4.56611E+0	6.44200E+3	7.89930E+0	-2.08426E+1	6.32338E+2
4.00000E+0	0.00000E+0	5.08330E-3	3.22014E-3	-1.06036E-4	3.21402E-3	4.56792E+0	6.43900E+3	7.89260E+0	-2.08221E+1	6.32335E+2
5.00000E+0	0.00000E+0	5.08372E-3	3.21977E-3	-1.05741E-4	3.21408E-3	4.56914E+0	6.43700E+3	7.88650E+0	-2.07625E+1	6.32209E+2
6.00000E+0	0.00000E+0	5.08356E-3	3.21979E-3	-1.05670E-4	3.21413E-3	4.56792E+0	6.43900E+3	7.88030E+0	-2.07492E+1	6.32234E+2
7.00000E+0	0.00000E+0	5.08389E-3	3.21957E-3	-1.05695E-4	3.21408E-3	4.56732E+0	6.44000E+3	7.86990E+0	-2.07527E+1	6.32149E+2
8.00000E+0	0.00000E+0	5.08347E-3	3.21976E-3	-1.05817E-4	3.21391E-3	4.56853E+0	6.43800E+3	7.86340E+0	-2.07784E+1	6.32237E+2
9.00000E+0	0.00000E+0	5.08375E-3	3.21915E-3	-1.04989E-4	3.21375E-3	4.56792E+0	6.43900E+3	7.85660E+0	-2.06146E+1	6.32084E+2
1.00000E+1	0.00000E+0	5.08360E-3	3.21881E-3	-1.05615E-4	3.21383E-3	4.56914E+0	6.43700E+3	7.84990E+0	-2.07383E+1	6.32036E+2
1.10000E+1	0.00000E+0	5.08387E-3	3.21906E-3	-1.05214E-4	3.21360E-3	4.56671E+0	6.44000E+3	7.84410E+0	-2.06584E+1	6.32052E+2
1.20000E+1	0.00000E+0	5.08364E-3	3.21915E-3	-1.05359E-4	3.21347E-3	4.56671E+0	6.44100E+3	7.83750E+0	-2.06879E+1	6.32097E+2
1.30000E+1	0.00000E+0	5.08392E-3	3.21857E-3	-1.04805E-4	3.21313E-3	4.56671E+0	6.44100E+3	7.82730E+0	-2.05778E+1	6.31948E+2
1.40000E+1	0.00000E+0	5.08414E-3	3.21932E-3	-1.04794E-4	3.21327E-3	4.56732E+0	6.44000E+3	7.82060E+0	-2.05749E+1	6.32068E+2
1.50000E+1	0.00000E+0	5.08427E-3	3.21876E-3	-1.04551E-4	3.21358E-3	4.56732E+0	6.44000E+3	7.81380E+0	-2.05267E+1	6.31942E+2
1.60000E+1	0.00000E+0	5.08443E-3	3.21896E-3	-1.05078E-4	3.21323E-3	4.56792E+0	6.43900E+3	7.80700E+0	-2.06295E+1	6.31962E+2
1.70000E+1	0.00000E+0	5.08409E-3	3.21897E-3	-1.04644E-4	3.21330E-3	4.56974E+0	6.43600E+3	7.79780E+0	-2.05455E+1	6.32005E+2
1.80000E+1	0.00000E+0	5.08456E-3	3.21842E-3	-1.04287E-4	3.21321E-3	4.57035E+0	6.43500E+3	7.79090E+0	-2.04736E+1	6.31840E+2
1.90000E+1	0.00000E+0	5.08434E-3	3.21822E-3	-1.04400E-4	3.21275E-3	4.56914E+0	6.43700E+3	7.78420E+0	-2.04968E+1	6.31827E+2
2.00000E+1	0.00000E+0	5.08456E-3	3.21863E-3	-1.04096E-4	3.21271E-3	4.56974E+0	6.43500E+3	7.77750E+0	-2.04361E+1	6.31879E+2
2.10000E+1	0.00000E+0	5.08493E-3	3.21870E-3	-1.04130E-4	3.21265E-3	4.57035E+0	6.43500E+3	7.77070E+0	-2.04412E+1	6.31849E+2
2.20000E+1	0.00000E+0	5.08465E-3	3.21816E-3	-1.04004E-4	3.21286E-3	4.57035E+0	6.43500E+3	7.76400E+0	-2.04178E+1	6.31777E+2
2.30000E+1	0.00000E+0	5.08469E-3	3.21810E-3	-1.04151E-4	3.21279E-3	4.56853E+0	6.43800E+3	7.75770E+0	-2.04463E+1	6.31761E+2
2.40000E+1	0.00000E+0	5.08478E-3	3.21809E-3	-1.04006E-4	3.21268E-3	4.56914E+0	6.43700E+3	7.72790E+0	-2.04176E+1	6.31748E+2
2.50000E+1	0.00000E+0	5.08535E-3	3.21766E-3	-1.03456E-4	3.21211E-3	4.57035E+0	6.43500E+3	7.72120E+0	-2.03073E+1	6.31592E+2
2.60000E+1	0.00000E+0	5.08516E-3	3.21785E-3	-1.03517E-4	3.21203E-3	4.56974E+0	6.43700E+3	7.71150E+0	-2.03201E+1	6.31654E+2
2.70000E+1	0.00000E+0	5.08552E-3	3.21785E-3	-1.03381E-4	3.21173E-3	4.56974E+0	6.43600E+3	7.70550E+0	-2.02920E+1	6.31609E+2
2.80000E+1	0.00000E+0	5.08555E-3	3.21757E-3	-1.03010E-4	3.21206E-3	4.56974E+0	6.43600E+3	7.69830E+0	-2.02190E+1	6.31550E+2
2.90000E+1	0.00000E+0	5.08540E-3	3.21759E-3	-1.03244E-4	3.21217E-3	4.57096E+0	6.43400E+3	7.69160E+0	-2.02654E+1	6.31574E+2
3.00000E+1	0.00000E+0	5.08560E-3	3.21749E-3	-1.03332E-4	3.21177E-3	4.57156E+0	6.43300E+3	7.67470E+0	-2.02820E+1	6.31529E+2
3.10000E+1	0.00000E+0	5.08595E-3	3.21699E-3	-1.02798E-4	3.21164E-3	4.56914E+0	6.43700E+3	7.66800E+0	-2.01758E+1	6.31385E+2
3.20000E+1	0.00000E+0	5.08614E-3	3.21710E-3	-1.02386E-4	3.21164E-3	4.57096E+0	6.43400E+3	7.66230E+0	-2.00942E+1	6.31383E+2
3.30000E+1	0.00000E+0	5.08616E-3	3.21717E-3	-1.02488E-4	3.21137E-3	4.56974E+0	6.43600E+3	7.65560E+0	-2.01140E+1	6.31396E+2
3.40000E+1	0.00000E+0	5.08612E-3	3.21721E-3	-1.02386E-4	3.21136E-3	4.57035E+0	6.43500E+3	7.64870E+0	-2.00943E+1	6.31409E+2
3.50000E+1	0.00000E+0	5.08672E-3	3.21691E-3	-1.02294E-4	3.21115E-3	4.57035E+0	6.43500E+3	7.64200E+0	-2.00738E+1	6.31275E+2
3.60000E+1	0.00000E+0	5.08636E-3	3.21686E-3	-1.02225E-4	3.21127E-3	4.57035E+0	6.43500E+3	7.63530E+0	-2.00617E+1	6.31309E+2
3.70000E+1	0.00000E+0	5.08679E-3	3.21716E-3	-1.01926E-4	3.21168E-3	4.57096E+0	6.43400E+3	7.62870E+0	-2.00012E+1	6.31315E+2
3.80000E+1	0.00000E+0	5.08667E-3	3.21701E-3	-1.02125E-4	3.21123E-3	4.56974E+0	6.43600E+3	7.61900E+0	-2.00408E+1	6.31300E+2
