Name: Mohamed
Sample: PST191M1
Measuring Station: 10T
Start Date/Time: 11/04/2017 / 15:55:21
Actual time: 11/04/2017 / 15:55:23

Comment:
Rref=998.2Ohm
Cooldown klein HB
I(7,C) A1ch1
R1(8,3) A2ch1 Rxx
R2(D,8) A1ch2 Rxy


Swept Device: Zeit (Computer) []
Beginvalue: 0.000000E+0; Endvalue: 2.400000E+3
Measurement type: Unidirectional
Step Device: Zeit (Computer) []
Beginvalue: 0.000000E+0; Endvalue: 0.000000E+0
While measuring, the Stepsize or the Delaytime have been changed:
Stepvalue##Stepsize##Delaytime (step)
0.00000E+0##2.50000E-1##0.00000E+0
0.00000E+0##2.50000E-1##0.00000E+0

Voltage (Ag1-Ch1 (sync)) [V] Voltage (Ag2-Ch1 (sync)) [V] Voltage (Ag1-Ch2 (sync)) [V] Voltage (Ag2-Ch2 (sync)) [V] T cooldown (LS335) [K] R T-sensor (LS335) [Ohm] B Field (Mercury IPS) [T]
  Start Value:   Start Value:   Start Value:   Start Value:   Start Value:   Start Value:   Start Value:
4.489807E-3 1.805240E-4 1.809708E-3 9.248000E-7 4.607123E+0 6.375000E+3 8.037600E+0
---------										
Zeit (Computer) []	Zeit (Computer) []	Voltage (Ag1-Ch1 (sync)) [V]	Voltage (Ag2-Ch1 (sync)) [V]	Voltage (Ag1-Ch2 (sync)) [V]	Voltage (Ag2-Ch2 (sync)) [V]	T cooldown (LS335) [K]	R T-sensor (LS335) [Ohm]	B Field (Mercury IPS) [T]	R1 (Ohm)	R2 (Ohm)
										
0.00000E+0	0.00000E+0	4.48973E-3	1.80623E-4	1.80965E-3	9.41600E-7	4.60898E+0	6.37200E+3	8.02530E+0	4.02338E+2	4.01579E+1
1.00000E+0	0.00000E+0	4.48995E-3	1.79997E-4	1.80979E-3	9.34900E-7	4.60774E+0	6.37400E+3	8.01910E+0	4.02351E+2	4.00167E+1
2.00000E+0	0.00000E+0	4.49076E-3	1.80448E-4	1.80946E-3	9.37100E-7	4.60712E+0	6.37500E+3	8.01270E+0	4.02204E+2	4.01098E+1
3.00000E+0	0.00000E+0	4.49069E-3	1.80229E-4	1.80975E-3	9.36000E-7	4.60774E+0	6.37400E+3	8.00300E+0	4.02274E+2	4.00616E+1
4.00000E+0	0.00000E+0	4.49065E-3	1.80118E-4	1.80912E-3	9.25900E-7	4.60712E+0	6.37500E+3	7.99650E+0	4.02138E+2	4.00374E+1
5.00000E+0	0.00000E+0	4.49103E-3	1.80156E-4	1.80959E-3	9.32100E-7	4.60836E+0	6.37300E+3	7.98730E+0	4.02208E+2	4.00425E+1
6.00000E+0	0.00000E+0	4.49102E-3	1.80102E-4	1.80913E-3	9.36000E-7	4.60960E+0	6.37100E+3	7.98130E+0	4.02109E+2	4.00306E+1
7.00000E+0	0.00000E+0	4.49127E-3	1.79901E-4	1.80921E-3	9.28700E-7	4.60836E+0	6.37300E+3	7.97470E+0	4.02103E+2	3.99835E+1
8.00000E+0	0.00000E+0	4.49086E-3	1.79703E-4	1.80938E-3	9.29300E-7	4.60774E+0	6.37400E+3	7.96800E+0	4.02177E+2	3.99431E+1
9.00000E+0	0.00000E+0	4.49167E-3	1.79799E-4	1.80909E-3	9.33800E-7	4.60774E+0	6.37400E+3	7.95820E+0	4.02041E+2	3.99573E+1
1.00000E+1	0.00000E+0	4.49170E-3	1.78960E-4	1.80946E-3	9.25300E-7	4.60712E+0	6.37500E+3	7.95150E+0	4.02121E+2	3.97708E+1
1.10000E+1	0.00000E+0	4.49203E-3	1.78694E-4	1.80895E-3	9.30400E-7	4.60836E+0	6.37300E+3	7.94500E+0	4.01978E+2	3.97085E+1
1.20000E+1	0.00000E+0	4.49210E-3	1.79178E-4	1.80849E-3	9.32100E-7	4.60898E+0	6.37200E+3	7.93890E+0	4.01868E+2	3.98156E+1
1.30000E+1	0.00000E+0	4.49255E-3	1.79467E-4	1.80857E-3	9.29800E-7	4.60836E+0	6.37300E+3	7.93280E+0	4.01846E+2	3.98757E+1
1.40000E+1	0.00000E+0	4.49236E-3	1.79081E-4	1.80906E-3	9.40500E-7	4.60898E+0	6.37200E+3	7.92600E+0	4.01972E+2	3.97918E+1
1.50000E+1	0.00000E+0	4.49272E-3	1.78597E-4	1.80898E-3	9.22000E-7	4.60960E+0	6.37100E+3	7.91940E+0	4.01921E+2	3.96810E+1
