Name: Dominik
Sample: PST177D2
Measuring Station: 10T
Start Date/Time: 31/03/2017 / 13:48:01
Actual time: 31/03/2017 / 13:48:01

Comment:
Rref =998.2 Ohm
I(7,B)Ag1Ch1
R1(8,2) Ag1Ch2
R2(8,5) Ag2Ch1
B sweep groﬂe HB

Swept Device: Zeit (Computer) []
Beginvalue: 0.000000E+0; Endvalue: 2.642000E+3
Measurement type: Bidirectional
Step Device: None (value in data file set to '0')
---------										
Zeit (Computer) []	None () []	Voltage (Ag1-Ch1 (sync)) [V]	Voltage (Ag2-Ch1 (sync)) [V]	Voltage (Ag1-Ch2 (sync)) [V]	Voltage (Ag2-Ch2 (sync)) [V]	T cooldown (LS335) [K]	R T-sensor (LS335) [Ohm]	B Field (Mercury IPS) [T]	R1 (Ohm)	R2 (Ohm)
										
0.00000E+0	0.00000E+0	3.84017E-3	1.21193E-4	-1.03304E-3	3.96400E-7	4.56671E+0	6.44100E+3	8.05550E+0	-2.68526E+2	3.15026E+1
1.00000E+0	0.00000E+0	3.82004E-3	1.20845E-4	-1.03024E-3	3.94700E-7	4.56671E+0	6.44100E+3	8.04340E+0	-2.69207E+2	3.15775E+1
2.00000E+0	0.00000E+0	3.83964E-3	1.21277E-4	-1.03819E-3	3.87400E-7	4.56611E+0	6.44200E+3	8.03800E+0	-2.69901E+2	3.15287E+1
3.00000E+0	0.00000E+0	3.82605E-3	1.20478E-4	-1.03649E-3	3.81300E-7	4.56611E+0	6.44200E+3	8.03120E+0	-2.70417E+2	3.14322E+1
4.00000E+0	0.00000E+0	3.85325E-3	1.21228E-4	-1.03051E-3	3.75100E-7	4.56611E+0	6.44200E+3	8.02560E+0	-2.66958E+2	3.14045E+1
5.00000E+0	0.00000E+0	3.84923E-3	1.20915E-4	-1.03258E-3	3.81800E-7	4.56611E+0	6.44200E+3	8.01560E+0	-2.67774E+2	3.13564E+1
6.00000E+0	0.00000E+0	3.82423E-3	1.20277E-4	-1.02995E-3	3.79000E-7	4.56671E+0	6.44100E+3	8.00990E+0	-2.68838E+2	3.13945E+1
7.00000E+0	0.00000E+0	3.85064E-3	1.21055E-4	-1.03581E-3	3.80700E-7	4.56671E+0	6.44100E+3	8.00020E+0	-2.68512E+2	3.13811E+1
8.00000E+0	0.00000E+0	3.82314E-3	1.19960E-4	-1.03363E-3	3.86300E-7	4.56671E+0	6.44100E+3	7.99390E+0	-2.69874E+2	3.13210E+1
9.00000E+0	0.00000E+0	3.84187E-3	1.19931E-4	-1.03281E-3	3.76200E-7	4.56671E+0	6.44100E+3	7.98740E+0	-2.68346E+2	3.11607E+1
1.00000E+1	0.00000E+0	3.85027E-3	1.20772E-4	-1.03570E-3	3.99800E-7	4.56611E+0	6.44200E+3	7.98100E+0	-2.68509E+2	3.13107E+1
1.10000E+1	0.00000E+0	3.85290E-3	1.20566E-4	-1.03798E-3	3.83500E-7	4.56671E+0	6.44100E+3	7.97470E+0	-2.68917E+2	3.12359E+1
1.20000E+1	0.00000E+0	3.84007E-3	1.20301E-4	-1.03035E-3	3.91900E-7	4.56671E+0	6.44100E+3	7.96830E+0	-2.67832E+2	3.12715E+1
1.30000E+1	0.00000E+0	3.83669E-3	1.19962E-4	-1.03298E-3	3.89100E-7	4.56732E+0	6.44000E+3	7.96180E+0	-2.68752E+2	3.12108E+1
1.40000E+1	0.00000E+0	3.84137E-3	1.19608E-4	-1.03686E-3	3.94700E-7	4.56671E+0	6.44100E+3	7.95180E+0	-2.69433E+2	3.10809E+1
1.50000E+1	0.00000E+0	3.82249E-3	1.19660E-4	-1.03276E-3	3.80700E-7	4.56671E+0	6.44100E+3	7.94600E+0	-2.69694E+2	3.12479E+1
1.60000E+1	0.00000E+0	3.82833E-3	1.19729E-4	-1.03430E-3	3.85200E-7	4.56671E+0	6.44100E+3	7.93890E+0	-2.69684E+2	3.12182E+1
1.70000E+1	0.00000E+0	3.83601E-3	1.19385E-4	-1.03628E-3	3.85700E-7	4.56671E+0	6.44100E+3	7.93310E+0	-2.69660E+2	3.10663E+1
1.80000E+1	0.00000E+0	3.82567E-3	1.19216E-4	-1.03875E-3	3.97000E-7	4.56671E+0	6.44100E+3	7.92590E+0	-2.71033E+2	3.11062E+1
1.90000E+1	0.00000E+0	3.82726E-3	1.18855E-4	-1.03527E-3	3.70000E-7	4.56732E+0	6.44000E+3	7.91950E+0	-2.70014E+2	3.09989E+1
2.00000E+1	0.00000E+0	3.82194E-3	1.18884E-4	-1.03797E-3	3.98700E-7	4.56732E+0	6.44000E+3	7.91300E+0	-2.71092E+2	3.10497E+1
2.10000E+1	0.00000E+0	3.85403E-3	1.20178E-4	-1.03638E-3	3.83500E-7	4.56792E+0	6.43900E+3	7.90650E+0	-2.68424E+2	3.11264E+1
2.20000E+1	0.00000E+0	3.85259E-3	1.19247E-4	-1.03234E-3	3.80700E-7	4.56732E+0	6.44000E+3	7.89990E+0	-2.67477E+2	3.08968E+1
2.30000E+1	0.00000E+0	3.85507E-3	1.19895E-4	-1.03634E-3	3.92500E-7	4.56792E+0	6.43900E+3	7.89330E+0	-2.68342E+2	3.10447E+1
2.40000E+1	0.00000E+0	3.85609E-3	1.19131E-4	-1.03599E-3	3.91900E-7	4.56792E+0	6.43900E+3	7.88690E+0	-2.68179E+2	3.08385E+1
2.50000E+1	0.00000E+0	3.84770E-3	1.19601E-4	-1.03722E-3	3.96400E-7	4.56792E+0	6.43900E+3	7.88030E+0	-2.69083E+2	3.10278E+1
2.60000E+1	0.00000E+0	3.84380E-3	1.19069E-4	-1.02974E-3	4.00300E-7	4.56853E+0	6.43800E+3	7.87020E+0	-2.67414E+2	3.09211E+1
2.70000E+1	0.00000E+0	3.84969E-3	1.19158E-4	-1.03209E-3	3.89100E-7	4.56792E+0	6.43900E+3	7.86430E+0	-2.67613E+2	3.08969E+1
2.80000E+1	0.00000E+0	3.83341E-3	1.19164E-4	-1.02779E-3	4.07100E-7	4.56792E+0	6.43900E+3	7.85720E+0	-2.67633E+2	3.10298E+1
2.90000E+1	0.00000E+0	3.83253E-3	1.18996E-4	-1.03662E-3	3.98700E-7	4.56853E+0	6.43800E+3	7.85070E+0	-2.69991E+2	3.09931E+1
3.00000E+1	0.00000E+0	3.84768E-3	1.18980E-4	-1.03582E-3	3.96400E-7	4.56853E+0	6.43800E+3	7.84390E+0	-2.68721E+2	3.08669E+1
3.10000E+1	0.00000E+0	3.84023E-3	1.18836E-4	-1.03047E-3	4.02600E-7	4.56853E+0	6.43800E+3	7.83740E+0	-2.67853E+2	3.08893E+1
3.20000E+1	0.00000E+0	3.85425E-3	1.18640E-4	-1.03066E-3	3.88600E-7	4.56914E+0	6.43700E+3	7.83080E+0	-2.66927E+2	3.07263E+1
3.30000E+1	0.00000E+0	3.84859E-3	1.18745E-4	-1.02833E-3	4.03700E-7	4.56853E+0	6.43800E+3	7.82420E+0	-2.66714E+2	3.07987E+1
3.40000E+1	0.00000E+0	3.82731E-3	1.18083E-4	-1.03480E-3	3.97500E-7	4.56853E+0	6.43800E+3	7.81790E+0	-2.69887E+2	3.07972E+1
3.50000E+1	0.00000E+0	3.83993E-3	1.18181E-4	-1.02803E-3	4.13800E-7	4.56914E+0	6.43700E+3	7.81100E+0	-2.67241E+2	3.07215E+1
3.60000E+1	0.00000E+0	3.84001E-3	1.18456E-4	-1.03196E-3	4.13300E-7	4.56914E+0	6.43700E+3	7.80430E+0	-2.68255E+2	3.07922E+1
3.70000E+1	0.00000E+0	3.83492E-3	1.17827E-4	-1.02804E-3	3.99800E-7	4.56853E+0	6.43800E+3	7.79740E+0	-2.67591E+2	3.06694E+1
3.80000E+1	0.00000E+0	3.82291E-3	1.17257E-4	-1.02842E-3	4.18300E-7	4.56914E+0	6.43700E+3	7.78720E+0	-2.68530E+2	3.06171E+1
3.90000E+1	0.00000E+0	3.81711E-3	1.16682E-4	-1.02903E-3	4.04800E-7	4.56914E+0	6.43700E+3	7.78070E+0	-2.69098E+2	3.05133E+1
4.00000E+1	0.00000E+0	3.82475E-3	1.17098E-4	-1.02368E-3	3.91400E-7	4.56974E+0	6.43600E+3	7.77390E+0	-2.67166E+2	3.05608E+1
4.10000E+1	0.00000E+0	3.81532E-3	1.17236E-4	-1.02614E-3	3.97500E-7	4.56974E+0	6.43600E+3	7.76770E+0	-2.68468E+2	3.06723E+1
4.20000E+1	0.00000E+0	3.82771E-3	1.16918E-4	-1.02735E-3	3.99800E-7	4.56974E+0	6.43600E+3	7.76120E+0	-2.67915E+2	3.04902E+1
4.30000E+1	0.00000E+0	3.82719E-3	1.17371E-4	-1.02808E-3	4.11600E-7	4.56914E+0	6.43700E+3	7.75490E+0	-2.68141E+2	3.06126E+1
4.40000E+1	0.00000E+0	3.82891E-3	1.16534E-4	-1.02603E-3	4.10500E-7	4.56914E+0	6.43700E+3	7.74840E+0	-2.67487E+2	3.03805E+1
4.50000E+1	0.00000E+0	3.82479E-3	1.16842E-4	-1.02690E-3	4.09300E-7	4.56914E+0	6.43700E+3	7.74170E+0	-2.68003E+2	3.04937E+1
