Name: Mohamed
Sample: PST194M1
Measuring Station: 10T
Start Date/Time: 11/04/2017 / 12:49:43
Actual time: 11/04/2017 / 12:49:45

Comment:
Rref=998.2Ohm
Cooldwon gross HB
I(9,A) A1ch1
R1(E,10) A1ch2 Rxy
R2(E,B) A1ch1 Rxx

Swept Device: Zeit (Computer) []
Beginvalue: 0.000000E+0; Endvalue: 2.803000E+3
Measurement type: Unidirectional
Step Device: Zeit (Computer) []
Beginvalue: 0.000000E+0; Endvalue: 0.000000E+0
While measuring, the Stepsize or the Delaytime have been changed:
Stepvalue##Stepsize##Delaytime (step)
0.00000E+0##2.50000E-1##0.00000E+0
0.00000E+0##2.50000E-1##0.00000E+0

Voltage (Ag1-Ch1 (sync)) [V] Voltage (Ag2-Ch1 (sync)) [V] Voltage (Ag1-Ch2 (sync)) [V] Voltage (Ag2-Ch2 (sync)) [V] T cooldown (LS335) [K] R T-sensor (LS335) [Ohm] B Field (Mercury IPS) [T]
  Start Value:   Start Value:   Start Value:   Start Value:   Start Value:   Start Value:   Start Value:
7.389095E-3 1.934256E-3 1.808208E-4 6.873000E-7 4.643989E+0 6.316000E+3 8.025300E+0
---------										
Zeit (Computer) []	Zeit (Computer) []	Voltage (Ag1-Ch1 (sync)) [V]	Voltage (Ag2-Ch1 (sync)) [V]	Voltage (Ag1-Ch2 (sync)) [V]	Voltage (Ag2-Ch2 (sync)) [V]	T cooldown (LS335) [K]	R T-sensor (LS335) [Ohm]	B Field (Mercury IPS) [T]	R1 (Ohm)	R2 (Ohm)
										
0.00000E+0	0.00000E+0	7.38985E-3	1.93354E-3	1.80042E-4	6.82800E-7	4.64968E+0	6.30800E+3	8.01280E+0	2.43196E+1	2.61177E+2
1.00000E+0	0.00000E+0	7.38969E-3	1.93399E-3	1.79935E-4	6.74900E-7	4.64525E+0	6.31400E+3	8.00320E+0	2.43056E+1	2.61244E+2
2.00000E+0	0.00000E+0	7.38980E-3	1.93369E-3	1.80263E-4	6.78300E-7	4.64651E+0	6.31200E+3	7.99680E+0	2.43496E+1	2.61199E+2
3.00000E+0	0.00000E+0	7.39034E-3	1.93352E-3	1.80186E-4	6.70400E-7	4.64525E+0	6.31400E+3	7.99030E+0	2.43374E+1	2.61157E+2
4.00000E+0	0.00000E+0	7.39043E-3	1.93369E-3	1.79682E-4	6.88400E-7	4.64336E+0	6.31700E+3	7.98370E+0	2.42691E+1	2.61177E+2
5.00000E+0	0.00000E+0	7.39084E-3	1.93326E-3	1.79841E-4	6.70400E-7	4.64336E+0	6.31700E+3	7.97490E+0	2.42892E+1	2.61104E+2
6.00000E+0	0.00000E+0	7.39087E-3	1.93301E-3	1.79014E-4	6.85000E-7	4.64588E+0	6.31300E+3	7.96820E+0	2.41774E+1	2.61069E+2
7.00000E+0	0.00000E+0	7.39077E-3	1.93316E-3	1.79761E-4	6.79400E-7	4.64588E+0	6.31300E+3	7.96170E+0	2.42785E+1	2.61093E+2
8.00000E+0	0.00000E+0	7.39152E-3	1.93354E-3	1.78739E-4	6.72700E-7	4.64715E+0	6.31100E+3	7.95510E+0	2.41381E+1	2.61118E+2
9.00000E+0	0.00000E+0	7.39095E-3	1.93240E-3	1.79480E-4	6.77700E-7	4.64841E+0	6.31000E+3	7.94850E+0	2.42401E+1	2.60985E+2
1.00000E+1	0.00000E+0	7.39173E-3	1.93293E-3	1.79165E-4	6.71000E-7	4.64715E+0	6.31100E+3	7.94190E+0	2.41949E+1	2.61029E+2
1.10000E+1	0.00000E+0	7.39196E-3	1.93293E-3	1.79015E-4	6.60900E-7	4.64904E+0	6.30800E+3	7.93610E+0	2.41740E+1	2.61021E+2
