Name: Mohamed
Sample: PST195M1
Measuring Station: 10T
Start Date/Time: 10/04/2017 / 14:14:35
Actual time: 10/04/2017 / 14:14:37

Comment:
Rref=998.2Ohm
Bsweep gross HB
I(E,2) A1ch1
R1(8,10) A1ch2 Rxy
R2(10,11) A1ch1 Rxx

Swept Device: Zeit (Computer) []
Beginvalue: 0.000000E+0; Endvalue: 2.400000E+3
Measurement type: Unidirectional
Step Device: Zeit (Computer) []
Beginvalue: 0.000000E+0; Endvalue: 0.000000E+0
While measuring, the Stepsize or the Delaytime have been changed:
Stepvalue##Stepsize##Delaytime (step)
0.00000E+0##2.50000E-1##0.00000E+0
0.00000E+0##2.50000E-1##0.00000E+0

Voltage (Ag1-Ch1 (sync)) [V] Voltage (Ag2-Ch1 (sync)) [V] Voltage (Ag1-Ch2 (sync)) [V] Voltage (Ag2-Ch2 (sync)) [V] T cooldown (LS335) [K] R T-sensor (LS335) [Ohm] B Field (Mercury IPS) [T]
  Start Value:   Start Value:   Start Value:   Start Value:   Start Value:   Start Value:   Start Value:
7.368002E-3 1.926604E-3 1.933530E-4 6.530000E-7 4.599095E+0 6.388000E+3 8.034400E+0
---------										
Zeit (Computer) []	Zeit (Computer) []	Voltage (Ag1-Ch1 (sync)) [V]	Voltage (Ag2-Ch1 (sync)) [V]	Voltage (Ag1-Ch2 (sync)) [V]	Voltage (Ag2-Ch2 (sync)) [V]	T cooldown (LS335) [K]	R T-sensor (LS335) [Ohm]	B Field (Mercury IPS) [T]	R1 (Ohm)	R2 (Ohm)
										
0.00000E+0	0.00000E+0	7.36827E-3	1.92562E-3	1.93674E-4	6.56400E-7	4.59786E+0	6.39000E+3	8.02200E+0	2.62375E+1	2.60869E+2
1.00000E+0	0.00000E+0	7.36862E-3	1.92633E-3	1.93278E-4	6.52500E-7	4.59848E+0	6.38900E+3	8.01580E+0	2.61826E+1	2.60952E+2
2.00000E+0	0.00000E+0	7.36889E-3	1.92586E-3	1.93208E-4	6.48000E-7	4.60033E+0	6.38600E+3	8.00940E+0	2.61723E+1	2.60879E+2
3.00000E+0	0.00000E+0	7.36930E-3	1.92615E-3	1.93381E-4	6.58600E-7	4.59848E+0	6.39000E+3	8.00300E+0	2.61941E+1	2.60905E+2
4.00000E+0	0.00000E+0	7.36932E-3	1.92601E-3	1.92877E-4	6.66500E-7	4.60033E+0	6.38600E+3	7.99690E+0	2.61259E+1	2.60885E+2
5.00000E+0	0.00000E+0	7.37003E-3	1.92547E-3	1.93010E-4	6.58600E-7	4.60094E+0	6.38500E+3	7.99040E+0	2.61413E+1	2.60787E+2
6.00000E+0	0.00000E+0	7.36982E-3	1.92514E-3	1.93025E-4	6.44600E-7	4.59971E+0	6.38700E+3	7.98110E+0	2.61441E+1	2.60750E+2
7.00000E+0	0.00000E+0	7.36965E-3	1.92498E-3	1.92498E-4	6.53600E-7	4.59848E+0	6.38800E+3	7.96830E+0	2.60734E+1	2.60734E+2
8.00000E+0	0.00000E+0	7.37047E-3	1.92511E-3	1.92321E-4	6.52500E-7	4.59909E+0	6.38800E+3	7.96130E+0	2.60464E+1	2.60722E+2
