Name: Mohamed
Sample: PST196M1
Measuring Station: 10T
Start Date/Time: 13/04/2017 / 12:38:13
Actual time: 13/04/2017 / 12:38:15

Comment:
Rref=998.2Ohm
Bsweep gross HB
I(8,C) A1Ch1
R1(7,E) A1Ch2 Rxy
R1(E,3) A2Ch1 Rxx

Swept Device: Zeit (Computer) []
Beginvalue: 0.000000E+0; Endvalue: 2.400000E+3
Measurement type: Unidirectional
Step Device: Zeit (Computer) []
Beginvalue: 0.000000E+0; Endvalue: 0.000000E+0
While measuring, the Stepsize or the Delaytime have been changed:
Stepvalue##Stepsize##Delaytime (step)
0.00000E+0##2.50000E-1##0.00000E+0
0.00000E+0##2.50000E-1##0.00000E+0

Voltage (Ag1-Ch1 (sync)) [V] Voltage (Ag2-Ch1 (sync)) [V] Voltage (Ag1-Ch2 (sync)) [V] Voltage (Ag2-Ch2 (sync)) [V] T cooldown (LS335) [K] R T-sensor (LS335) [Ohm] B Field (Mercury IPS) [T]
  Start Value:   Start Value:   Start Value:   Start Value:   Start Value:   Start Value:   Start Value:
7.244899E-3 2.054590E-3 1.971068E-4 8.114000E-7 4.609600E+0 6.371000E+3 8.040800E+0
---------										
Zeit (Computer) []	Zeit (Computer) []	Voltage (Ag1-Ch1 (sync)) [V]	Voltage (Ag2-Ch1 (sync)) [V]	Voltage (Ag1-Ch2 (sync)) [V]	Voltage (Ag2-Ch2 (sync)) [V]	T cooldown (LS335) [K]	R T-sensor (LS335) [Ohm]	B Field (Mercury IPS) [T]	R1 (Ohm)	R2 (Ohm)
										
0.00000E+0	0.00000E+0	7.24512E-3	2.05537E-3	1.97071E-4	8.16400E-7	4.60960E+0	6.37100E+3	8.02880E+0	2.71516E+1	2.83179E+2
1.00000E+0	0.00000E+0	7.24556E-3	2.05484E-3	1.97094E-4	8.27100E-7	4.60960E+0	6.37100E+3	8.01990E+0	2.71531E+1	2.83090E+2
2.00000E+0	0.00000E+0	7.24597E-3	2.05490E-3	1.96209E-4	8.15300E-7	4.60898E+0	6.37200E+3	8.01310E+0	2.70296E+1	2.83082E+2
3.00000E+0	0.00000E+0	7.24621E-3	2.05507E-3	1.96809E-4	8.09700E-7	4.60898E+0	6.37200E+3	8.00380E+0	2.71113E+1	2.83096E+2
4.00000E+0	0.00000E+0	7.24626E-3	2.05445E-3	1.96654E-4	8.25400E-7	4.60960E+0	6.37100E+3	7.99760E+0	2.70898E+1	2.83009E+2
5.00000E+0	0.00000E+0	7.24647E-3	2.05462E-3	1.96738E-4	8.07400E-7	4.60960E+0	6.37100E+3	7.99120E+0	2.71006E+1	2.83023E+2
6.00000E+0	0.00000E+0	7.24684E-3	2.05477E-3	1.96018E-4	8.20300E-7	4.60898E+0	6.37200E+3	7.98490E+0	2.70000E+1	2.83029E+2
7.00000E+0	0.00000E+0	7.24756E-3	2.05446E-3	1.95891E-4	8.17000E-7	4.60898E+0	6.37200E+3	7.97850E+0	2.69799E+1	2.82959E+2
8.00000E+0	0.00000E+0	7.24725E-3	2.05380E-3	1.96654E-4	8.09700E-7	4.60898E+0	6.37300E+3	7.97170E+0	2.70862E+1	2.82881E+2
9.00000E+0	0.00000E+0	7.24729E-3	2.05379E-3	1.95743E-4	8.36600E-7	4.60898E+0	6.37200E+3	7.96610E+0	2.69605E+1	2.82878E+2
1.00000E+1	0.00000E+0	7.24819E-3	2.05394E-3	1.95774E-4	8.15900E-7	4.60836E+0	6.37300E+3	7.95280E+0	2.69614E+1	2.82862E+2
1.10000E+1	0.00000E+0	7.24665E-3	2.05064E-3	1.92750E-4	6.53600E-7	4.60960E+0	6.37200E+3	7.94620E+0	2.65507E+1	2.82468E+2
1.20000E+1	0.00000E+0	7.24806E-3	2.05337E-3	1.95149E-4	7.96800E-7	4.60898E+0	6.37200E+3	7.93940E+0	2.68758E+1	2.82789E+2
1.30000E+1	0.00000E+0	7.24853E-3	2.05278E-3	1.95065E-4	8.01300E-7	4.60960E+0	6.37100E+3	7.92940E+0	2.68625E+1	2.82689E+2
1.40000E+1	0.00000E+0	7.24824E-3	2.05326E-3	1.94888E-4	8.13000E-7	4.60960E+0	6.37100E+3	7.92340E+0	2.68392E+1	2.82768E+2
1.50000E+1	0.00000E+0	7.24838E-3	2.05285E-3	1.94883E-4	7.92800E-7	4.60960E+0	6.37100E+3	7.91710E+0	2.68380E+1	2.82705E+2
1.60000E+1	0.00000E+0	7.24577E-3	2.04676E-3	1.92015E-4	6.73200E-7	4.60527E+0	6.37700E+3	7.91050E+0	2.64526E+1	2.81968E+2
1.70000E+1	0.00000E+0	7.24562E-3	2.04630E-3	1.88191E-4	5.17700E-7	4.61767E+0	6.36700E+3	7.90370E+0	2.59264E+1	2.81910E+2
1.80000E+1	0.00000E+0	7.24842E-3	2.05028E-3	1.92506E-4	7.21000E-7	4.61022E+0	6.37000E+3	7.89720E+0	2.65105E+1	2.82349E+2
1.90000E+1	0.00000E+0	7.24672E-3	2.04757E-3	1.92068E-4	6.97900E-7	4.60898E+0	6.37200E+3	7.89050E+0	2.64565E+1	2.82042E+2
2.00000E+1	0.00000E+0	7.24666E-3	2.04504E-3	1.89834E-4	6.08700E-7	4.60774E+0	6.37400E+3	7.88380E+0	2.61489E+1	2.81697E+2
2.10000E+1	0.00000E+0	7.24586E-3	2.04406E-3	1.90509E-4	6.71000E-7	4.61084E+0	6.36700E+3	7.87770E+0	2.62447E+1	2.81592E+2
2.20000E+1	0.00000E+0	7.24735E-3	2.04539E-3	1.93352E-4	7.88300E-7	4.61084E+0	6.36900E+3	7.87150E+0	2.66310E+1	2.81718E+2
2.30000E+1	0.00000E+0	7.25064E-3	2.05174E-3	1.93689E-4	7.97900E-7	4.61146E+0	6.36800E+3	7.86450E+0	2.66653E+1	2.82465E+2
2.40000E+1	0.00000E+0	7.25074E-3	2.05184E-3	1.93443E-4	7.88900E-7	4.61084E+0	6.36900E+3	7.85780E+0	2.66310E+1	2.82473E+2
2.50000E+1	0.00000E+0	7.24976E-3	2.04820E-3	1.90088E-4	6.48000E-7	4.61084E+0	6.36900E+3	7.85110E+0	2.61728E+1	2.82011E+2
2.60000E+1	0.00000E+0	7.24804E-3	2.04540E-3	1.87111E-4	5.36800E-7	4.60589E+0	6.37700E+3	7.84100E+0	2.57689E+1	2.81693E+2
2.70000E+1	0.00000E+0	7.24935E-3	2.04741E-3	1.89890E-4	6.55800E-7	4.61208E+0	6.37200E+3	7.83450E+0	2.61469E+1	2.81919E+2
2.80000E+1	0.00000E+0	7.24666E-3	2.04060E-3	1.86559E-4	5.18800E-7	4.61146E+0	6.36800E+3	7.82810E+0	2.56978E+1	2.81085E+2
