Name: Mohamed
Sample: PST197M1
Measuring Station: 10T
Start Date/Time: 07/04/2017 / 12:33:23
Actual time: 07/04/2017 / 12:33:27

Comment:
Rref=998.2
I(7,3)
R1(5,B) A1Ch2
R2(6,5)A2Ch1
Bsweep Gross HB


Swept Device: Zeit (Computer) []
Beginvalue: 0.000000E+0; Endvalue: 2.400000E+3
Measurement type: Unidirectional
Step Device: Zeit (Computer) []
Beginvalue: 0.000000E+0; Endvalue: 0.000000E+0
While measuring, the Stepsize or the Delaytime have been changed:
Stepvalue##Stepsize##Delaytime (step)
0.00000E+0##2.50000E-1##0.00000E+0
0.00000E+0##2.50000E-1##0.00000E+0

Voltage (Ag1-Ch1 (sync)) [V] Voltage (Ag2-Ch1 (sync)) [V] Voltage (Ag1-Ch2 (sync)) [V] Voltage (Ag2-Ch2 (sync)) [V] T cooldown (LS335) [K] R T-sensor (LS335) [Ohm] B Field (Mercury IPS) [T]
  Start Value:   Start Value:   Start Value:   Start Value:   Start Value:   Start Value:   Start Value:
7.395067E-3 1.886846E-3 1.715105E-4 5.840000E-7 4.577648E+0 6.423000E+3 8.052800E+0
---------										
Zeit (Computer) []	Zeit (Computer) []	Voltage (Ag1-Ch1 (sync)) [V]	Voltage (Ag2-Ch1 (sync)) [V]	Voltage (Ag1-Ch2 (sync)) [V]	Voltage (Ag2-Ch2 (sync)) [V]	T cooldown (LS335) [K]	R T-sensor (LS335) [Ohm]	B Field (Mercury IPS) [T]	R1 (Ohm)	R2 (Ohm)
										
0.00000E+0	0.00000E+0	7.39552E-3	1.88715E-3	1.70804E-4	5.79500E-7	4.57826E+0	6.42200E+3	8.04040E+0	2.30540E+1	2.54715E+2
1.00000E+0	0.00000E+0	7.39546E-3	1.88712E-3	1.71193E-4	5.93500E-7	4.57887E+0	6.42000E+3	8.03420E+0	2.31067E+1	2.54713E+2
2.00000E+0	0.00000E+0	7.39584E-3	1.88737E-3	1.70885E-4	5.90100E-7	4.57887E+0	6.42100E+3	8.02780E+0	2.30640E+1	2.54734E+2
3.00000E+0	0.00000E+0	7.39574E-3	1.88682E-3	1.70649E-4	5.84500E-7	4.57948E+0	6.42000E+3	8.02160E+0	2.30324E+1	2.54663E+2
4.00000E+0	0.00000E+0	7.39623E-3	1.88701E-3	1.71110E-4	5.93500E-7	4.57765E+0	6.42300E+3	8.01570E+0	2.30932E+1	2.54672E+2
5.00000E+0	0.00000E+0	7.39622E-3	1.88683E-3	1.71007E-4	5.85100E-7	4.57765E+0	6.42300E+3	8.00970E+0	2.30793E+1	2.54649E+2
6.00000E+0	0.00000E+0	7.39602E-3	1.88671E-3	1.70714E-4	5.96900E-7	4.57887E+0	6.42100E+3	8.00340E+0	2.30403E+1	2.54639E+2
7.00000E+0	0.00000E+0	7.39662E-3	1.88638E-3	1.70900E-4	5.80600E-7	4.57887E+0	6.42100E+3	7.99650E+0	2.30636E+1	2.54574E+2
8.00000E+0	0.00000E+0	7.39639E-3	1.88665E-3	1.70296E-4	5.78300E-7	4.57887E+0	6.42100E+3	7.98040E+0	2.29828E+1	2.54619E+2
9.00000E+0	0.00000E+0	7.39698E-3	1.88669E-3	1.69965E-4	5.91800E-7	4.57887E+0	6.42100E+3	7.97450E+0	2.29363E+1	2.54603E+2
