Name: Ryan
measurement station: King Louie
Sample: PST 380 I2
date: Monday, July 01, 2019
time: 6:12 PM
Comment: 
PST380 I2
8-Terminal Hall Bar
July 1st, 2019

Pushing current from 5 to 12
Measuring Vxx from 8 to 9 using Agilent, GPIB 23
Measuring Vxy from 8 to 3 using Keysight 1, GPIB 22

Pushing a voltage of 100.0 mV at frequency 37.37Hz
Through divider of 1224:12
Reference resistance of 4.9582 Kilohms
Ref. resistance voltage measured using Keysight 2, GPIB 24

Ref. resistance:Rxx:Rxy sensitivities are 1:1:0.01
Sweeping magnetic field from -14 to 14T at 0.1 T/min
Start Value B: -14.000000
End Value B: 14.000000
---------						
B field / T	Temperature (Ohm)	I-Keysight 01	Uxx-Keysight 02	Uxy- Ag1 Ch1	Rxx	Rxy
						
-1.39992E+1	2.13920E+4	-1.02301E+1	2.66651E+0	1.78449E+0	-2.59743E+2	-1.73825E+2
-1.39972E+1	2.13930E+4	-1.02096E+1	2.66660E+0	1.78451E+0	-2.60274E+2	-1.74177E+2
-1.39909E+1	2.13930E+4	-1.02124E+1	2.66670E+0	1.78446E+0	-2.60213E+2	-1.74125E+2
-1.39837E+1	2.13920E+4	-1.02070E+1	2.66671E+0	1.78445E+0	-2.60350E+2	-1.74216E+2
-1.39759E+1	2.13900E+4	-1.01937E+1	2.66664E+0	1.78438E+0	-2.60684E+2	-1.74436E+2
-1.39676E+1	2.13890E+4	-1.01938E+1	2.66669E+0	1.78428E+0	-2.60685E+2	-1.74424E+2
-1.39595E+1	2.13940E+4	-1.01909E+1	2.66673E+0	1.78429E+0	-2.60764E+2	-1.74475E+2
-1.39514E+1	2.13940E+4	-1.01698E+1	2.66682E+0	1.78427E+0	-2.61315E+2	-1.74836E+2
-1.39427E+1	2.13920E+4	-1.01736E+1	2.66686E+0	1.78419E+0	-2.61221E+2	-1.74763E+2
-1.39345E+1	2.13940E+4	-1.01672E+1	2.66690E+0	1.78416E+0	-2.61390E+2	-1.74870E+2
-1.39263E+1	2.13930E+4	-1.01736E+1	2.66693E+0	1.78413E+0	-2.61227E+2	-1.74756E+2
-1.39181E+1	2.13940E+4	-1.01573E+1	2.66697E+0	1.78414E+0	-2.61649E+2	-1.75037E+2
-1.39093E+1	2.13930E+4	-1.01560E+1	2.66698E+0	1.78406E+0	-2.61684E+2	-1.75052E+2
-1.39011E+1	2.13900E+4	-1.01454E+1	2.66705E+0	1.78405E+0	-2.61965E+2	-1.75234E+2
-1.38929E+1	2.13950E+4	-1.01372E+1	2.66708E+0	1.78398E+0	-2.62179E+2	-1.75369E+2
-1.38842E+1	2.13950E+4	-1.01285E+1	2.66719E+0	1.78402E+0	-2.62416E+2	-1.75524E+2
-1.38759E+1	2.13910E+4	-1.01270E+1	2.66722E+0	1.78400E+0	-2.62459E+2	-1.75549E+2
-1.38676E+1	2.13920E+4	-1.01309E+1	2.66742E+0	1.78406E+0	-2.62377E+2	-1.75486E+2
-1.38593E+1	2.13930E+4	-1.01159E+1	2.66746E+0	1.78400E+0	-2.62770E+2	-1.75741E+2
-1.38506E+1	2.13940E+4	-1.01050E+1	2.66750E+0	1.78394E+0	-2.63058E+2	-1.75925E+2
-1.38423E+1	2.13920E+4	-1.00952E+1	2.66760E+0	1.78398E+0	-2.63322E+2	-1.76099E+2
-1.38340E+1	2.13940E+4	-1.00978E+1	2.66766E+0	1.78396E+0	-2.63262E+2	-1.76052E+2
-1.38253E+1	2.13900E+4	-1.00807E+1	2.66774E+0	1.78392E+0	-2.63715E+2	-1.76346E+2
-1.38170E+1	2.13930E+4	-1.00922E+1	2.66779E+0	1.78390E+0	-2.63418E+2	-1.76143E+2
-1.38088E+1	2.13940E+4	-1.00730E+1	2.66789E+0	1.78389E+0	-2.63932E+2	-1.76479E+2
-1.38000E+1	2.13920E+4	-1.00849E+1	2.66786E+0	1.78380E+0	-2.63616E+2	-1.76261E+2
-1.37917E+1	2.13920E+4	-1.00781E+1	2.66795E+0	1.78383E+0	-2.63804E+2	-1.76383E+2
-1.37835E+1	2.13920E+4	-1.00635E+1	2.66792E+0	1.78369E+0	-2.64184E+2	-1.76625E+2
-1.37751E+1	2.13930E+4	-1.00623E+1	2.66806E+0	1.78370E+0	-2.64229E+2	-1.76647E+2
-1.37664E+1	2.13960E+4	-1.00472E+1	2.66818E+0	1.78376E+0	-2.64637E+2	-1.76918E+2
-1.37581E+1	2.13950E+4	-1.00306E+1	2.66812E+0	1.78363E+0	-2.65070E+2	-1.77198E+2
-1.37497E+1	2.13910E+4	-1.00179E+1	2.66818E+0	1.78359E+0	-2.65413E+2	-1.77419E+2
-1.37410E+1	2.13960E+4	-1.00251E+1	2.66819E+0	1.78359E+0	-2.65223E+2	-1.77292E+2
-1.37328E+1	2.13950E+4	-1.00185E+1	2.66825E+0	1.78353E+0	-2.65404E+2	-1.77403E+2
-1.37245E+1	2.13950E+4	-1.00076E+1	2.66831E+0	1.78354E+0	-2.65697E+2	-1.77597E+2
-1.37161E+1	2.13930E+4	-1.00044E+1	2.66846E+0	1.78356E+0	-2.65798E+2	-1.77655E+2
