Name: Ryan
measurement station: King Louie
Sample: PST 441 G2
date: Tuesday, July 09, 2019
time: 12:46 PM
Comment: 
PST442 H2
8-Terminal Hall Bar
July 9th, 2019

Pushing current from 6 to A
Measuring Vxx from E to 9 using Agilent, GPIB 23
Measuring Vxy from 9 to B using Keysight 1, GPIB 22

Pushing a voltage of 100.0 mV at frequency 37.37Hz
Through divider of 1224:12
Reference resistance of 996.51 Kilohms
Ref. resistance voltage measured using Keysight 2, GPIB 24

Ref. resistance:Rxx:Rxy sensitivities are 1:1:0.05
Sweeping magnetic field from -14 to 14T at 0.05 T/min
Start Value B: -14.000000
End Value B: 14.000000
---------						
B field / T	Temperature (Ohm)	I-Keysight 01	Uxx-Keysight 02	Uxy- Ag1 Ch1	Rxx	Rxy
						
-1.39992E+1	2.21100E+4	-3.26154E+0	5.29577E+0	2.15205E+0	-1.61803E+3	-6.57522E+2
-1.39951E+1	2.21160E+4	-3.25370E+0	5.29399E+0	2.15148E+0	-1.62139E+3	-6.58935E+2
-1.39908E+1	2.21160E+4	-3.25281E+0	5.29394E+0	2.15028E+0	-1.62182E+3	-6.58747E+2
-1.39867E+1	2.21120E+4	-3.26784E+0	5.29814E+0	2.15151E+0	-1.61564E+3	-6.56091E+2
-1.39826E+1	2.21150E+4	-3.25983E+0	5.29745E+0	2.15259E+0	-1.61940E+3	-6.58033E+2
-1.39783E+1	2.21110E+4	-3.26088E+0	5.29720E+0	2.15070E+0	-1.61880E+3	-6.57245E+2
-1.39742E+1	2.21160E+4	-3.25039E+0	5.29421E+0	2.15059E+0	-1.62311E+3	-6.59331E+2
-1.39701E+1	2.21150E+4	-3.24654E+0	5.29413E+0	2.15003E+0	-1.62500E+3	-6.59942E+2
-1.39661E+1	2.21120E+4	-3.24605E+0	5.29511E+0	2.15022E+0	-1.62555E+3	-6.60100E+2
-1.39618E+1	2.21150E+4	-3.23609E+0	5.29319E+0	2.14845E+0	-1.62997E+3	-6.61586E+2
-1.39576E+1	2.21110E+4	-3.24088E+0	5.29522E+0	2.14991E+0	-1.62818E+3	-6.61057E+2
-1.39535E+1	2.21160E+4	-3.26217E+0	5.29939E+0	2.15146E+0	-1.61883E+3	-6.57216E+2
-1.39492E+1	2.21110E+4	-3.23179E+0	5.29427E+0	2.14976E+0	-1.63247E+3	-6.62872E+2
-1.39450E+1	2.21110E+4	-3.25511E+0	5.29915E+0	2.15081E+0	-1.62227E+3	-6.58443E+2
