         9811367 function calls (9663333 primitive calls) in 344.576 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       96  196.432    2.046  196.432    2.046 {built-in method _tkinter.create}
       48   64.603    1.346   64.603    1.346 {built-in method matplotlib._png.write_png}
9748/9556   46.297    0.005   67.005    0.007 {method 'call' of '_tkinter.tkapp' objects}
       48   14.626    0.305   14.626    0.305 {built-in method matplotlib.backends._tkagg.blit}
     1684    3.616    0.002    3.633    0.002 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       48    2.728    0.057    2.731    0.057 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\backends\backend_agg.py:80(__init__)
      800    2.434    0.003    2.442    0.003 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     1876    0.709    0.000    0.713    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
   262431    0.684    0.000    0.685    0.000 {built-in method numpy.array}
      409    0.587    0.001    0.587    0.001 {built-in method nt.stat}
    28166    0.573    0.000    0.581    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\contextlib.py:81(__init__)
     4552    0.573    0.000    0.573    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
       48    0.559    0.012    0.559    0.012 {method 'clear' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    19831    0.417    0.000    0.417    0.000 C:/Users/ryank/Desktop/Personal Files/Github/PythonCodes/EP3/Mobility and Carrier Density/Test.py:1050(ParishLittlewoodModel)
       16    0.343    0.021    0.343    0.021 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\axes\_axes.py:1194(<listcomp>)
       96    0.288    0.003    0.326    0.003 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       73    0.278    0.004    0.279    0.004 {built-in method io.open}
       16    0.260    0.016    0.799    0.050 {built-in method scipy.optimize._minpack._lmdif}
       96    0.259    0.003    0.422    0.004 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\cbook\__init__.py:444(open_file_cm)
   485656    0.232    0.000    0.304    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\__init__.py:798(__getitem__)
407344/338248    0.216    0.000    0.377    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:219(stale)
    50260    0.213    0.000    0.213    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1876    0.185    0.000    0.185    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
     8622    0.172    0.000    1.338    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\lines.py:273(__init__)
       32    0.170    0.005    0.200    0.006 {built-in method matplotlib._path.get_path_collection_extents}
   204408    0.155    0.000    0.173    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\lib\npyio.py:771(floatconv)
       25    0.155    0.006    0.155    0.006 {method 'close' of '_io.TextIOWrapper' objects}
    19767    0.125    0.000    0.539    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\scipy\optimize\minpack.py:460(func_wrapped)
    19692    0.113    0.000    0.174    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:74(__init__)
     8688    0.100    0.000    0.125    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\cbook\__init__.py:1673(normalize_kwargs)
       48    0.093    0.002    0.093    0.002 {built-in method gc.collect}
    24466    0.092    0.000    0.911    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:925(update)
   387801    0.081    0.000    0.115    0.000 {built-in method builtins.isinstance}
     4398    0.077    0.000    0.297    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\lines.py:667(recache)
    36852    0.075    0.000    0.244    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
    36684    0.075    0.000    0.087    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:164(set_children)
      192    0.075    0.000    0.121    0.001 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\legend.py:887(_auto_legend_data)
   485752    0.072    0.000    0.072    0.000 {function RcParams.__getitem__ at 0x000001C57A4B30D0}
    33602    0.068    0.000    0.068    0.000 {built-in method numpy.dot}
    50564    0.064    0.000    0.122    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\cbook\__init__.py:2012(_setattr_cm)
   176673    0.063    0.000    0.070    0.000 {built-in method builtins.getattr}
     3688    0.063    0.000    1.647    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\text.py:655(draw)
2826/2442    0.058    0.000    3.113    0.001 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\axis.py:56(__init__)
     4572    0.056    0.000    1.418    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\lines.py:751(draw)
    40128    0.056    0.000    0.056    0.000 {method 'copy' of 'numpy.ndarray' objects}
43002/28438    0.055    0.000    0.064    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:137(_invalidate_internal)
    43925    0.055    0.000    0.222    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\path.py:96(__init__)
     5628    0.055    0.000    0.506    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\text.py:270(_get_layout)
