         31178916 function calls (30742562 primitive calls) in 1076.752 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      282  593.897    2.106  593.897    2.106 {built-in method _tkinter.create}
      141  203.780    1.445  203.780    1.445 {built-in method matplotlib._png.write_png}
28619/28055  140.512    0.005  209.426    0.007 {method 'call' of '_tkinter.tkapp' objects}
      141   43.397    0.308   43.397    0.308 {built-in method matplotlib.backends._tkagg.blit}
     4806   12.951    0.003   13.002    0.003 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      282   12.465    0.044   12.617    0.045 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      141    7.995    0.057    8.005    0.057 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\backends\backend_agg.py:80(__init__)
     2350    7.469    0.003    7.494    0.003 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    87729    4.434    0.000    4.444    0.000 {built-in method builtins.max}
    40265    4.412    0.000    4.412    0.000 {built-in method builtins.min}
   902105    2.255    0.000    2.256    0.000 {built-in method numpy.array}
     5558    2.213    0.000    2.225    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    29183    2.105    0.000    8.569    0.000 C:/Users/ryank/Desktop/Personal Files/Github/PythonCodes/EP3/Mobility and Carrier Density/Test.py:368(topiecewise)
    82903    1.954    0.000    1.979    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\contextlib.py:81(__init__)
    13466    1.869    0.000    1.869    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      141    1.738    0.012    1.738    0.012 {method 'clear' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      214    1.691    0.008    1.692    0.008 {built-in method io.open}
     1201    1.625    0.001    1.625    0.001 {built-in method nt.stat}
   238791    0.976    0.000    0.976    0.000 {built-in method numpy.where}
   194030    0.840    0.000    0.840    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  1474410    0.706    0.000    0.925    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\__init__.py:798(__getitem__)
     5327    0.690    0.000    7.733    0.001 {built-in method scipy.optimize._minpack._lmdif}
1200353/996722    0.655    0.000    1.142    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:219(stale)
     5558    0.597    0.000    0.597    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
       94    0.583    0.006    0.685    0.007 {built-in method matplotlib._path.get_path_collection_extents}
       47    0.574    0.012    0.575    0.012 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\axes\_axes.py:1194(<listcomp>)
    25398    0.511    0.000    4.008    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\lines.py:273(__init__)
   619749    0.492    0.000    0.548    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\lib\npyio.py:771(floatconv)
    50450    0.435    0.000    7.977    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\scipy\optimize\minpack.py:460(func_wrapped)
      282    0.430    0.002    1.960    0.007 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\cbook\__init__.py:444(open_file_cm)
    57987    0.335    0.000    0.520    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:74(__init__)
    25521    0.300    0.000    0.376    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\cbook\__init__.py:1673(normalize_kwargs)
   128226    0.276    0.000    0.908    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
    71987    0.275    0.000    2.976    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:925(update)
      564    0.269    0.000    0.423    0.001 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\legend.py:887(_auto_legend_data)
      141    0.263    0.002    0.265    0.002 {built-in method gc.collect}
  1227052    0.260    0.000    0.361    0.000 {built-in method builtins.isinstance}
    31968    0.242    0.000    0.242    0.000 C:/Users/ryank/Desktop/Personal Files/Github/PythonCodes/EP3/Mobility and Carrier Density/Test.py:152(tolinear)
   109056    0.234    0.000    0.234    0.000 {built-in method numpy.dot}
    12990    0.231    0.000    0.889    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\lines.py:667(recache)
   107862    0.225    0.000    0.264    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:164(set_children)
  1474692    0.220    0.000    0.220    0.000 {function RcParams.__getitem__ at 0x000001C57A4B30D0}
   588526    0.214    0.000    0.235    0.000 {built-in method builtins.getattr}
     5327    0.201    0.000   10.440    0.002 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\scipy\optimize\minpack.py:506(curve_fit)
   148768    0.193    0.000    0.373    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\cbook\__init__.py:2012(_setattr_cm)
    10928    0.193    0.000    5.199    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\text.py:655(draw)
   151166    0.181    0.000    0.745    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\path.py:96(__init__)
8325/7197    0.172    0.000    9.554    0.001 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\axis.py:56(__init__)
   117272    0.170    0.000    0.170    0.000 {method 'copy' of 'numpy.ndarray' objects}
     5327    0.167    0.000    9.668    0.002 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\scipy\optimize\minpack.py:266(leastsq)
    16674    0.167    0.000    1.571    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\text.py:270(_get_layout)
   297516    0.166    0.000    0.166    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:82(__init__)
    59408    0.165    0.000    0.427    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:726(__init__)
    13572    0.164    0.000    4.585    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\lines.py:751(draw)
126125/83343    0.164    0.000    0.195    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:137(_invalidate_internal)
   151166    0.161    0.000    0.331    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\path.py:188(_update_values)
  1202374    0.157    0.000    0.157    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:757(get_animated)
   519268    0.152    0.000    1.764    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\core\numeric.py:469(asarray)
