         2715317 function calls (2570908 primitive calls) in 2.384 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      175    0.453    0.003    0.454    0.003 {built-in method io.open}
       50    0.425    0.009    0.597    0.012 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\lib\npyio.py:1193(savetxt)
   658269    0.340    0.000    0.400    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\lib\npyio.py:771(floatconv)
       50    0.203    0.004    1.129    0.023 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\lib\npyio.py:1041(read_data)
    72183    0.142    0.000    0.542    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\lib\npyio.py:1068(<listcomp>)
    72333    0.136    0.000    0.136    0.000 {built-in method _codecs.charmap_encode}
144366/72183    0.101    0.000    0.142    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\lib\npyio.py:1012(pack_items)
    72333    0.092    0.000    0.248    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    72208    0.074    0.000    0.170    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\lib\npyio.py:1029(split_line)
144391/72208    0.066    0.000    0.176    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\core\_internal.py:926(__call__)
   658322    0.060    0.000    0.060    0.000 {method 'lower' of 'str' objects}
      125    0.048    0.000    0.048    0.000 {built-in method numpy.array}
    72508    0.036    0.000    0.036    0.000 {method 'split' of 'str' objects}
    72208    0.033    0.000    0.033    0.000 {method 'split' of 're.Pattern' objects}
     1898    0.028    0.000    0.028    0.000 {built-in method _codecs.charmap_decode}
   217633    0.021    0.000    0.021    0.000 {method 'append' of 'list' objects}
    72333    0.020    0.000    0.156    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\encodings\cp1252.py:18(encode)
219383/219382    0.018    0.000    0.018    0.000 {built-in method builtins.len}
