         8222702 function calls (7918045 primitive calls) in 51.092 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20   26.552    1.328   26.552    1.328 {built-in method matplotlib._png.write_png}
       20    6.080    0.304    6.080    0.304 {built-in method matplotlib.backends._tkagg.blit}
4060/3980    4.976    0.001   13.310    0.003 {method 'call' of '_tkinter.tkapp' objects}
       40    3.151    0.079    3.151    0.079 {built-in method _tkinter.create}
      376    1.140    0.003    1.145    0.003 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       20    1.113    0.056    1.115    0.056 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\backends\backend_agg.py:80(__init__)
73208/120    0.616    0.000    1.402    0.012 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\pyparsing.py:1714(_parseCache)
      508    0.416    0.001    0.417    0.001 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     1239    0.235    0.000    0.235    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
       20    0.232    0.012    0.232    0.012 {method 'clear' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
   133908    0.210    0.000    0.211    0.000 {built-in method numpy.array}
337486/278282    0.176    0.000    0.306    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:219(stale)
    42074    0.165    0.000    0.165    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   338278    0.159    0.000    0.208    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\__init__.py:798(__getitem__)
       20    0.144    0.007    0.144    0.007 {built-in method io.open}
     7029    0.139    0.000    1.078    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\lines.py:273(__init__)
67551/120    0.121    0.000    1.400    0.012 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\pyparsing.py:1530(_parseNoCache)
    11996    0.115    0.000    0.237    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\scale.py:294(transform_non_affine)
    15066    0.083    0.000    0.131    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:74(__init__)
    67551    0.083    0.000    0.149    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\pyparsing.py:1659(set)
      310    0.074    0.000    0.074    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
   381258    0.073    0.000    0.107    0.000 {built-in method builtins.isinstance}
    33218    0.067    0.000    0.209    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
    15887    0.062    0.000    0.276    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:925(update)
       13    0.062    0.005    0.150    0.012 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\pyparsing.py:5054(oneOf)
    35152    0.058    0.000    0.131    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\core\numeric.py:2656(seterr)
   140759    0.055    0.000    0.084    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\pyparsing.py:2395(__hash__)
     3015    0.051    0.000    0.200    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\lines.py:667(recache)
   135372    0.049    0.000    0.053    0.000 {built-in method builtins.getattr}
   338318    0.049    0.000    0.049    0.000 {function RcParams.__getitem__ at 0x000001C57A4B30D0}
    35152    0.047    0.000    0.051    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\core\numeric.py:2758(geterr)
2291/2131    0.046    0.000    2.039    0.001 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\axis.py:56(__init__)
     7591    0.046    0.000    0.219    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\font_manager.py:620(__init__)
    18541    0.045    0.000    0.095    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\pyparsing.py:889(copy)
    20044    0.043    0.000    0.050    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:164(set_children)
     3652    0.042    0.000    0.053    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\cbook\__init__.py:1673(normalize_kwargs)
   337806    0.042    0.000    0.042    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:757(get_animated)
    32454    0.041    0.000    0.074    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\cbook\__init__.py:2012(_setattr_cm)
