         31398947 function calls (30938067 primitive calls) in 1084.706 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      300  590.925    1.970  590.925    1.970 {built-in method _tkinter.create}
      150  215.154    1.434  215.154    1.434 {built-in method matplotlib._png.write_png}
30442/29842  140.418    0.005  216.578    0.007 {method 'call' of '_tkinter.tkapp' objects}
      150   47.879    0.319   47.879    0.319 {built-in method matplotlib.backends._tkagg.blit}
      300   14.196    0.047   14.370    0.048 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     5018   14.161    0.003   14.217    0.003 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      150    8.811    0.059    8.822    0.059 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\backends\backend_agg.py:80(__init__)
     2500    8.281    0.003    8.309    0.003 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
   865897    2.675    0.000    2.677    0.000 {built-in method numpy.array}
      225    2.613    0.012    2.614    0.012 {built-in method io.open}
     5818    2.427    0.000    2.440    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     1275    2.285    0.002    2.285    0.002 {built-in method nt.stat}
    14136    2.019    0.000    2.019    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
    87863    1.914    0.000    1.940    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\contextlib.py:81(__init__)
      150    1.880    0.013    1.880    0.013 {method 'clear' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
  1562915    0.799    0.000    1.040    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\__init__.py:798(__getitem__)
       75    0.795    0.011    0.795    0.011 {method 'close' of '_io.TextIOWrapper' objects}
1269390/1054088    0.726    0.000    1.263    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:219(stale)
       50    0.710    0.014    0.711    0.014 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\axes\_axes.py:1194(<listcomp>)
   155574    0.708    0.000    0.708    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      100    0.670    0.007    0.790    0.008 {built-in method matplotlib._path.get_path_collection_extents}
     5818    0.649    0.000    0.649    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
    26877    0.564    0.000    4.392    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\lines.py:273(__init__)
   649647    0.561    0.000    0.623    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\lib\npyio.py:771(floatconv)
      300    0.482    0.002    2.373    0.008 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\cbook\__init__.py:444(open_file_cm)
    61404    0.372    0.000    0.574    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:74(__init__)
    27150    0.342    0.000    0.426    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\cbook\__init__.py:1673(normalize_kwargs)
      600    0.304    0.001    0.472    0.001 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\legend.py:887(_auto_legend_data)
      150    0.296    0.002    0.299    0.002 {built-in method gc.collect}
    76345    0.295    0.000    3.021    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:925(update)
  1230499    0.264    0.000    0.375    0.000 {built-in method builtins.isinstance}
    13677    0.250    0.000    0.972    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\lines.py:667(recache)
   113304    0.248    0.000    0.803    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
   114464    0.247    0.000    0.290    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:164(set_children)
  1563215    0.241    0.000    0.241    0.000 {function RcParams.__getitem__ at 0x000001C57A4B30D0}
   104167    0.225    0.000    0.225    0.000 {built-in method numpy.dot}
   162063    0.214    0.000    0.981    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\path.py:96(__init__)
   157790    0.210    0.000    0.406    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\cbook\__init__.py:2012(_setattr_cm)
    11436    0.209    0.000    5.668    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\text.py:655(draw)
   552597    0.208    0.000    0.232    0.000 {built-in method builtins.getattr}
8809/7609    0.191    0.000   10.251    0.001 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\axis.py:56(__init__)
   162063    0.187    0.000    0.389    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\path.py:188(_update_values)
   124270    0.185    0.000    0.185    0.000 {method 'copy' of 'numpy.ndarray' objects}
   314978    0.184    0.000    0.184    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:82(__init__)
    63139    0.181    0.000    0.472    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:726(__init__)
    17454    0.179    0.000    1.700    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\text.py:270(_get_layout)
133755/88337    0.179    0.000    0.213    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:137(_invalidate_internal)
    14154    0.179    0.000    5.045    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\lines.py:751(draw)
  1271540    0.173    0.000    0.173    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:757(get_animated)
    25186    0.168    0.000    0.775    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\font_manager.py:620(__init__)
   266229    0.158    0.000    0.197    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\cbook\__init__.py:2147(_check_in_list)
   174943    0.158    0.000    0.270    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:1683(__init__)
    59862    0.158    0.000    0.255    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\font_manager.py:660(__hash__)
   514810    0.153    0.000    2.192    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\core\numeric.py:469(asarray)
   260902    0.144    0.000    0.177    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:321(pchanged)
      225    0.142    0.001    0.765    0.003 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\lib\npyio.py:1068(<listcomp>)
   198154    0.132    0.000    0.510    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\cbook\__init__.py:1382(_to_unmasked_float_array)
    15800    0.127    0.000    1.768    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:692(set_clip_path)
    18859    0.126    0.000    0.248    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:1914(rotate)
    34054    0.125    0.000    0.867    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\markers.py:292(set_marker)
    20568    0.124    0.000    2.648    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\text.py:121(__init__)
     2400    0.123    0.000    2.675    0.001 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\ticker.py:2016(_raw_ticks)
    27027    0.122    0.000    0.277    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\lines.py:1145(set_linestyle)
   132026    0.122    0.000    0.554    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:49(_stale_axes_callback)
   812164    0.121    0.000    0.121    0.000 {method 'pop' of 'dict' objects}
   894009    0.119    0.000    0.119    0.000 {method 'items' of 'dict' objects}
35908/300    0.117    0.000   56.226    0.187 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:30(draw_wrapper)
    25336    0.109    0.000    0.123    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\font_manager.py:776(set_weight)
   182401    0.108    0.000    3.033    0.000 {built-in method builtins.next}
  1448001    0.108    0.000    0.108    0.000 {method 'append' of 'list' objects}
      150    0.107    0.001    1.337    0.009 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\collections.py:1335(set_segments)
    78235    0.106    0.000    0.290    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:1819(__init__)
   620314    0.102    0.000    0.102    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\path.py:197(vertices)
      600    0.101    0.000    2.295    0.004 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\legend.py:623(_findoffset)
    87863    0.096    0.000    0.774    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\contextlib.py:116(__exit__)
   834288    0.095    0.000    0.095    0.000 {method 'lower' of 'str' objects}
    51000    0.095    0.000    0.095    0.000 {method 'getint' of '_tkinter.tkapp' objects}
    52268    0.093    0.000    0.248    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:2299(__init__)
    22727    0.091    0.000    0.091    0.000 {built-in method numpy.concatenate}
    88337    0.091    0.000    0.304    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:126(invalidate)
     2488    0.087    0.000    1.322    0.001 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:627(count_contains)
    29172    0.087    0.000    0.087    0.000 {built-in method matplotlib._path.affine_transform}
    15950    0.087    0.000    1.132    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\patches.py:728(_update_patch_transform)
     8009    0.086    0.000    0.086    0.000 {method 'split' of 'str' objects}
     5818    0.086    0.000    4.640    0.001 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\backends\backend_agg.py:164(draw_text)
   558090    0.084    0.000    0.084    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:194(axes)
    67958    0.084    0.000    0.611    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\markers.py:245(_recache)
    14136    0.084    0.000    0.361    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\font_manager.py:1179(findfont)
37036/30436    0.078    0.000    1.558    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\spines.py:487(get_spine_transform)
    53904    0.078    0.000    0.134    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\lines.py:1112(_split_drawstyle_linestyle)
    56318    0.077    0.000    0.368    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:2470(composite_transform_factory)
    28004    0.076    0.000    0.376    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:1976(scale)
22054/17354    0.074    0.000    0.280    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:2395(get_affine)
    25336    0.074    0.000    0.102    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\font_manager.py:812(set_size)
     1200    0.074    0.000    6.209    0.005 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\axis.py:1075(_update_ticks)
     9736    0.074    0.000    1.766    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\text.py:852(get_window_extent)
14750/14650    0.073    0.000    0.124    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:413(bounds)
    14477    0.073    0.000    0.194    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\lib\shape_base.py:599(column_stack)
    87863    0.073    0.000    2.399    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\contextlib.py:107(__enter__)
