         15485407 function calls (15255153 primitive calls) in 183.199 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       75   97.670    1.302   97.670    1.302 {built-in method matplotlib._png.write_png}
       74   22.102    0.299   22.102    0.299 {built-in method matplotlib.backends._tkagg.blit}
15200/14903   18.539    0.001   50.629    0.003 {method 'call' of '_tkinter.tkapp' objects}
      150   11.463    0.076   11.463    0.076 {built-in method _tkinter.create}
     2506    6.640    0.003    6.665    0.003 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       75    4.175    0.056    4.180    0.056 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\backends\backend_agg.py:80(__init__)
     1241    3.784    0.003    3.796    0.003 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     2903    1.104    0.000    1.111    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
   432095    1.065    0.000    1.066    0.000 {built-in method numpy.array}
    43904    0.942    0.000    0.955    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\contextlib.py:81(__init__)
     7065    0.922    0.000    0.922    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
       74    0.866    0.012    0.866    0.012 {method 'clear' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      148    0.817    0.006    0.882    0.006 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      100    0.592    0.006    0.592    0.006 {built-in method io.open}
   782134    0.356    0.000    0.465    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\__init__.py:798(__getitem__)
634385/526830    0.328    0.000    0.568    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:219(stale)
       25    0.325    0.013    0.325    0.013 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\axes\_axes.py:1194(<listcomp>)
    76988    0.316    0.000    0.316    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       50    0.305    0.006    0.357    0.007 {built-in method matplotlib._path.get_path_collection_extents}
     2903    0.288    0.000    0.288    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
