         449496487 function calls (448778293 primitive calls) in 3528.629 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
330696093 2794.787    0.000 2794.787    0.000 C:/Users/ryank/Desktop/Personal Files/Github/PythonCodes/Muon Flux Simulations/ReducedSimulation.py:36(bethefunction)
   244342  380.751    0.002 3520.403    0.014 C:/Users/ryank/Desktop/Personal Files/Github/PythonCodes/Muon Flux Simulations/ReducedSimulation.py:45(momentadecay)
 15747433  177.778    0.000 2972.565    0.000 {built-in method scipy.integrate._quadpack._qagse}
 15991547   62.092    0.000   62.092    0.000 {method 'poisson' of 'mtrand.RandomState' objects}
 15747433   35.838    0.000 3060.856    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\PokemonGo\venv\lib\site-packages\scipy\integrate\quadpack.py:44(quad)
 15747433   34.513    0.000 3007.078    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\PokemonGo\venv\lib\site-packages\scipy\integrate\quadpack.py:435(_quad)
 15747433    8.430    0.000    8.430    0.000 {built-in method builtins.min}
   988689    8.228    0.000    8.228    0.000 C:/Users/ryank/Desktop/Personal Files/Github/PythonCodes/Muon Flux Simulations/ReducedSimulation.py:83(sphericaldistance)
 15747433    6.251    0.000    6.251    0.000 {built-in method builtins.max}
 15991843    3.417    0.000    3.417    0.000 {built-in method builtins.isinstance}
   977505    2.763    0.000    3.361    0.000 {built-in method numpy.array}
244352/244347    2.475    0.000    9.742    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\PokemonGo\venv\lib\site-packages\numpy\lib\function_base.py:2093(_get_ufunc_and_otypes)
   729505    2.139    0.000    2.139    0.000 {method 'normal' of 'mtrand.RandomState' objects}
244352/10    1.963    0.000 3524.082  352.408 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\PokemonGo\venv\lib\site-packages\numpy\lib\function_base.py:2154(_vectorize_call)
729505/500000    1.213    0.000    3.352    0.000 C:/Users/ryank/Desktop/Personal Files/Github/PythonCodes/Muon Flux Simulations/ReducedSimulation.py:66(posnormal)
244352/10    0.864    0.000 3524.124  352.412 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\PokemonGo\venv\lib\site-packages\numpy\lib\function_base.py:2063(__call__)
   244352    0.844    0.000    0.844    0.000 {built-in method numpy.frompyfunc}
   500025    0.710    0.000    0.710    0.000 {method 'append' of 'list' objects}
   244357    0.598    0.000    0.598    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\PokemonGo\venv\lib\site-packages\numpy\core\_internal.py:886(npy_ctypes_check)
   244352    0.559    0.000    0.559    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\PokemonGo\venv\lib\site-packages\numpy\lib\function_base.py:2120(<listcomp>)
   244352    0.497    0.000    0.948    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\PokemonGo\venv\lib\site-packages\numpy\lib\function_base.py:2144(<listcomp>)
   244352    0.411    0.000    1.237    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\PokemonGo\venv\lib\site-packages\numpy\lib\function_base.py:2115(<listcomp>)
        5    0.327    0.065    4.131    0.826 C:/Users/ryank/Desktop/Personal Files/Github/PythonCodes/Muon Flux Simulations/ReducedSimulation.py:71(posnormalarray)
