         40237279 function calls (39517907 primitive calls) in 462.461 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   244346  254.705    0.001  456.079    0.002 C:/Users/ryank/Desktop/Personal Files/Github/PythonCodes/Muon Flux Simulations/ReducedSimulation.py:44(momentadecay)
 15833247  149.753    0.000  149.753    0.000 C:/Users/ryank/Desktop/Personal Files/Github/PythonCodes/Muon Flux Simulations/ReducedSimulation.py:35(bethefunction)
 16077347   40.519    0.000   40.519    0.000 {method 'poisson' of 'mtrand.RandomState' objects}
   988697    6.703    0.000    6.703    0.000 C:/Users/ryank/Desktop/Personal Files/Github/PythonCodes/Muon Flux Simulations/ReducedSimulation.py:82(sphericaldistance)
   730675    1.814    0.000    1.814    0.000 {method 'normal' of 'mtrand.RandomState' objects}
   977521    1.777    0.000    2.099    0.000 {built-in method numpy.array}
244356/244351    1.527    0.000    6.244    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\PokemonGo\venv\lib\site-packages\numpy\lib\function_base.py:2093(_get_ufunc_and_otypes)
244356/10    1.292    0.000  459.156   45.916 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\PokemonGo\venv\lib\site-packages\numpy\lib\function_base.py:2154(_vectorize_call)
730675/500000    1.050    0.000    2.864    0.000 C:/Users/ryank/Desktop/Personal Files/Github/PythonCodes/Muon Flux Simulations/ReducedSimulation.py:65(posnormal)
244356/10    0.505    0.000  459.190   45.919 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\PokemonGo\venv\lib\site-packages\numpy\lib\function_base.py:2063(__call__)
   244356    0.478    0.000    0.478    0.000 {built-in method numpy.frompyfunc}
   244361    0.322    0.000    0.322    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\PokemonGo\venv\lib\site-packages\numpy\core\_internal.py:886(npy_ctypes_check)
   244356    0.296    0.000    0.296    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\PokemonGo\venv\lib\site-packages\numpy\lib\function_base.py:2120(<listcomp>)
   244356    0.292    0.000    0.624    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\PokemonGo\venv\lib\site-packages\numpy\lib\function_base.py:2144(<listcomp>)
        5    0.277    0.055    3.219    0.644 C:/Users/ryank/Desktop/Personal Files/Github/PythonCodes/Muon Flux Simulations/ReducedSimulation.py:70(posnormalarray)
