         553099058 function calls (547131983 primitive calls) in 919.988 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 60000/50  185.746    0.003  274.046    5.481 C:\Users\ryank\Desktop\Work\Python\PHYS210\Project 2-Animation\ising.py:32(Convergence)
 30000000   73.539    0.000   73.539    0.000 {method 'randint' of 'mtrand.RandomState' objects}
     7200   54.509    0.008   63.482    0.009 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
 18567650   52.381    0.000  127.696    0.000 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\path.py:212(_update_values)
 21984047   51.943    0.000   52.833    0.000 {built-in method numpy.core.multiarray.array}
 19908293   43.999    0.000   43.999    0.000 {method 'reduce' of 'numpy.ufunc' objects}
 18567650   32.908    0.000  210.173    0.000 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\path.py:103(__init__)
     7203   25.716    0.004  225.794    0.031 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\collections.py:963(<listcomp>)
 43764651   25.593    0.000   25.593    0.000 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\__init__.py:934(__getitem__)
     7200   20.739    0.003   21.454    0.003 {built-in method matplotlib._image.resample}
     7200   18.357    0.003   71.979    0.010 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\image.py:275(_make_image)
 20811661   12.271    0.000   12.271    0.000 {method 'random_sample' of 'mtrand.RandomState' objects}
   173008   10.818    0.000   10.818    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
    86407    8.071    0.000    8.376    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
  2610783    7.654    0.000   11.137    0.000 C:\Program Files\Anaconda3\lib\weakref.py:102(__init__)
    39612    7.311    0.000    7.311    0.000 {method 'take' of 'numpy.ndarray' objects}
 18582133    7.197    0.000   52.573    0.000 {method 'all' of 'numpy.ndarray' objects}
   273706    6.220    0.000   54.924    0.000 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\text.py:739(draw)
 26231249    5.865    0.000    6.086    0.000 {built-in method builtins.isinstance}
 19444182    5.788    0.000    9.922    0.000 C:\Program Files\Anaconda3\lib\site-packages\numpy\ma\core.py:6064(isMaskedArray)
   158446    5.429    0.000    6.168    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
 20224606    5.297    0.000   45.419    0.000 C:\Program Files\Anaconda3\lib\site-packages\numpy\core\numeric.py:463(asarray)
   158494    5.260    0.000   45.911    0.000 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\lines.py:769(draw)
 18582133    4.709    0.000   45.376    0.000 C:\Program Files\Anaconda3\lib\site-packages\numpy\core\_methods.py:40(_all)
     7203    4.654    0.001  230.624    0.032 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\collections.py:941(set_verts)
  1227048    4.072    0.000    4.072    0.000 {built-in method numpy.core.multiarray.dot}
2105724/470901    4.006    0.000   13.251    0.000 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\transforms.py:139(_invalidate_internal)
5679478/4445250    3.965    0.000    7.315    0.000 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\artist.py:268(stale)
    10800    3.794    0.000   19.399    0.002 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\colors.py:440(__call__)
  3020482    3.706    0.000    7.420    0.000 C:\Program Files\Anaconda3\lib\weakref.py:242(values)
30000422/30000037    3.500    0.000    3.500    0.000 {built-in method builtins.len}
     7203    3.491    0.000    9.266    0.001 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\quiver.py:625(_make_verts)
   187672    3.417    0.000    9.763    0.000 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\lines.py:670(recache)
  2610783    3.320    0.000   14.457    0.000 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\transforms.py:87(__init__)
   172809    3.302    0.000    3.302    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
821120/14402    3.216    0.000  620.676    0.043 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\artist.py:61(draw_wrapper)
 19325613    3.057    0.000    3.057    0.000 C:\Program Files\Anaconda3\lib\site-packages\matplotlib\path.py:221(vertices)
   172814    3.047    0.000    3.341    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
