         51384866 function calls (51301263 primitive calls) in 294.583 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 60000/50  216.929    0.004  294.179    5.884 C:/Users/ryank/Desktop/Work/Classes/Coding Projects/Python/PHYS210/Project 2-Animation/ising.py:32(Convergence)
 30000000   64.310    0.000   64.310    0.000 {method 'randint' of 'mtrand.RandomState' objects}
 20862619   11.397    0.000   11.397    0.000 {method 'random_sample' of 'mtrand.RandomState' objects}
    18000    1.540    0.000    1.540    0.000 {method 'tolist' of 'numpy.ndarray' objects}
  6476/10    0.017    0.000    0.084    0.008 C:\Users\ryank\Anaconda3\lib\site-packages\pyparsing.py:1520(_parseCache)
     7484    0.013    0.000    0.013    0.000 {built-in method numpy.core.multiarray.array}
    21304    0.011    0.000    0.011    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\__init__.py:825(__getitem__)
  5964/10    0.011    0.000    0.084    0.008 C:\Users\ryank\Anaconda3\lib\site-packages\pyparsing.py:1347(_parseNoCache)
      460    0.010    0.000    0.075    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\lines.py:295(__init__)
      955    0.009    0.000    0.012    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\artist.py:87(__init__)
     2217    0.008    0.000    0.008    0.000 {method 'reduce' of 'numpy.ufunc' objects}
15141/13671    0.008    0.000    0.011    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\artist.py:230(stale)
       64    0.007    0.000    0.007    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
     5964    0.007    0.000    0.013    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\pyparsing.py:1465(set)
  3240/10    0.007    0.000    0.084    0.008 C:\Users\ryank\Anaconda3\lib\site-packages\pyparsing.py:3715(parseImpl)
      323    0.006    0.000    0.010    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\scale.py:97(transform_non_affine)
    25012    0.006    0.000    0.011    0.000 {built-in method builtins.isinstance}
      308    0.005    0.000    0.005    0.000 {method 'load_char' of 'matplotlib.ft2font.FT2Font' objects}
    12440    0.005    0.000    0.007    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\pyparsing.py:2182(__hash__)
      246    0.004    0.000    0.020    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\lines.py:655(recache)
      923    0.004    0.000    0.019    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\font_manager.py:661(__init__)
     1699    0.004    0.000    0.006    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\font_manager.py:707(__hash__)
    20269    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
  639/329    0.004    0.000    0.020    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:2229(transform_non_affine)
     8003    0.004    0.000    0.014    0.000 {method 'get' of 'dict' objects}
      985    0.004    0.000    0.004    0.000 {built-in method numpy.core.multiarray.dot}
       94    0.003    0.000    0.047    0.001 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\lines.py:737(draw)
     2467    0.003    0.000    0.005    0.000 C:\Users\ryank\Anaconda3\lib\abc.py:178(__instancecheck__)
     2984    0.003    0.000    0.003    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\pyparsing.py:349(__init__)
     1019    0.003    0.000    0.003    0.000 {built-in method numpy.core.multiarray.concatenate}
      811    0.003    0.000    0.007    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\artist.py:868(update)
      599    0.003    0.000    0.004    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\lib\twodim_base.py:140(eye)
      236    0.003    0.000    0.005    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\backends\backend_pdf.py:626(<listcomp>)
 1216/799    0.003    0.000    0.004    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:135(_invalidate_internal)
     1408    0.002    0.000    0.007    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\pyparsing.py:732(copy)
 1104/604    0.002    0.000    0.005    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\backends\backend_pdf.py:141(pdfRepr)
     5380    0.002    0.000    0.002    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\pyparsing.py:186(__init__)
  153/137    0.002    0.000    0.135    0.001 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\axis.py:68(__init__)
     3184    0.002    0.000    0.005    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\artist.py:288(pchanged)
     7133    0.002    0.000    0.003    0.000 {built-in method builtins.getattr}
     3006    0.002    0.000    0.002    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:83(__init__)
     3702    0.002    0.000    0.003    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\six.py:586(iteritems)
20367/20125    0.002    0.000    0.002    0.000 {built-in method builtins.len}
15660/14504    0.002    0.000    0.006    0.000 {built-in method builtins.hash}
     2184    0.002    0.000    0.004    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:1757(__init__)
       50    0.002    0.000    0.118    0.002 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\text.py:284(_get_layout)
   390/20    0.002    0.000    0.079    0.004 C:\Users\ryank\Anaconda3\lib\site-packages\pyparsing.py:3525(parseImpl)
      718    0.002    0.000    0.023    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\markers.py:251(set_marker)
    15153    0.002    0.000    0.002    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\artist.py:723(get_animated)
      990    0.002    0.000    0.002    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\transforms.py:162(set_children)
     3454    0.002    0.000    0.002    0.000 C:\Users\ryank\Anaconda3\lib\_weakrefset.py:70(__contains__)
  1198/10    0.002    0.000    0.084    0.008 C:\Users\ryank\Anaconda3\lib\site-packages\pyparsing.py:3375(parseImpl)
     2984    0.002    0.000    0.003    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\pyparsing.py:340(__new__)
     1436    0.002    0.000    0.018    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\markers.py:200(_recache)
     6476    0.002    0.000    0.008    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\pyparsing.py:1462(get)
     1670    0.002    0.000    0.005    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\font_manager.py:981(_normalize_font_family)
       10    0.002    0.000    0.002    0.000 {built-in method nt.stat}
      259    0.002    0.000    0.004    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\path.py:204(_update_values)
      430    0.002    0.000    0.003    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\artist.py:979(update_from)
      321    0.002    0.000    0.008    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\text.py:136(__init__)
