X,CH1
Second,Volt,
-3.32e-03,-9.40e-01
-3.32e-03,-9.40e-01
-3.31e-03,-9.40e-01
-3.31e-03,-9.40e-01
-3.30e-03,-9.40e-01
-3.30e-03,-9.80e-01
-3.30e-03,-9.60e-01
-3.29e-03,-9.00e-01
-3.29e-03,-9.60e-01
-3.28e-03,-9.60e-01
-3.28e-03,-1.00e+00
-3.28e-03,-9.80e-01
-3.27e-03,-1.00e+00
-3.27e-03,-1.02e+00
-3.26e-03,-1.00e+00
-3.26e-03,-1.02e+00
-3.26e-03,-1.00e+00
-3.25e-03,-9.80e-01
-3.25e-03,-9.80e-01
-3.24e-03,-1.00e+00
-3.24e-03,-1.00e+00
-3.24e-03,-9.80e-01
-3.23e-03,-9.60e-01
-3.23e-03,-9.80e-01
-3.22e-03,-1.00e+00
-3.22e-03,-1.00e+00
-3.22e-03,-9.40e-01
-3.21e-03,-9.80e-01
-3.21e-03,-9.60e-01
-3.20e-03,-9.00e-01
-3.20e-03,-8.80e-01
-3.20e-03,-9.20e-01
-3.19e-03,-9.00e-01
-3.19e-03,-9.00e-01
-3.18e-03,-8.80e-01
-3.18e-03,-9.00e-01
-3.18e-03,-8.80e-01
-3.17e-03,-8.20e-01
-3.17e-03,-8.20e-01
-3.16e-03,-8.80e-01
-3.16e-03,-8.40e-01
-3.16e-03,-8.20e-01
-3.15e-03,-7.80e-01
-3.15e-03,-7.60e-01
-3.14e-03,-7.40e-01
-3.14e-03,-7.60e-01
-3.14e-03,-7.20e-01
-3.13e-03,-7.00e-01
-3.13e-03,-7.00e-01
-3.12e-03,-6.60e-01
-3.12e-03,-6.40e-01
-3.12e-03,-6.00e-01
-3.11e-03,-6.40e-01
-3.11e-03,-5.60e-01
-3.10e-03,-6.00e-01
-3.10e-03,-5.60e-01
-3.10e-03,-5.40e-01
-3.09e-03,-5.20e-01
-3.09e-03,-5.00e-01
-3.08e-03,-4.80e-01
-3.08e-03,-4.40e-01
-3.08e-03,-4.20e-01
-3.07e-03,-4.00e-01
-3.07e-03,-3.60e-01
-3.06e-03,-3.40e-01
-3.06e-03,-3.20e-01
-3.06e-03,-3.00e-01
-3.05e-03,-2.80e-01
-3.05e-03,-2.80e-01
-3.04e-03,-2.40e-01
-3.04e-03,-2.00e-01
-3.04e-03,-2.00e-01
-3.03e-03,-1.60e-01
-3.03e-03,-1.20e-01
-3.02e-03,-1.40e-01
-3.02e-03,-7.99e-02
-3.02e-03,-7.99e-02
-3.01e-03,-4.00e-02
-3.01e-03,-2.00e-02
-3.00e-03,2.00e-02
-3.00e-03,4.00e-02
-3.00e-03,7.99e-02
-2.99e-03,1.20e-01
-2.99e-03,1.20e-01
-2.98e-03,1.40e-01
-2.98e-03,1.60e-01
-2.98e-03,1.80e-01
-2.97e-03,2.00e-01
-2.97e-03,2.60e-01
-2.96e-03,2.60e-01
-2.96e-03,3.00e-01
-2.96e-03,3.00e-01
-2.95e-03,3.40e-01
-2.95e-03,3.60e-01
-2.94e-03,3.80e-01
-2.94e-03,4.20e-01
-2.94e-03,4.40e-01
-2.93e-03,4.20e-01
-2.93e-03,4.60e-01
-2.92e-03,5.20e-01
-2.92e-03,5.20e-01
-2.92e-03,5.40e-01
-2.91e-03,5.40e-01
-2.91e-03,6.00e-01
-2.90e-03,6.20e-01
-2.90e-03,6.40e-01
-2.90e-03,6.40e-01
-2.89e-03,6.20e-01
-2.89e-03,7.00e-01
-2.88e-03,7.00e-01
-2.88e-03,7.00e-01
-2.88e-03,7.40e-01
-2.87e-03,7.00e-01
-2.87e-03,7.80e-01
-2.86e-03,8.00e-01
-2.86e-03,8.20e-01
-2.86e-03,8.00e-01
-2.85e-03,8.20e-01
-2.85e-03,8.20e-01
-2.84e-03,8.40e-01
-2.84e-03,8.40e-01
-2.84e-03,9.00e-01
-2.83e-03,8.80e-01
-2.83e-03,9.20e-01
-2.82e-03,9.20e-01
-2.82e-03,9.20e-01
-2.82e-03,9.20e-01
-2.81e-03,9.00e-01
-2.81e-03,9.00e-01
-2.80e-03,9.20e-01
-2.80e-03,9.60e-01
-2.80e-03,9.60e-01
-2.79e-03,9.60e-01
-2.79e-03,9.80e-01
-2.78e-03,9.60e-01
-2.78e-03,9.80e-01
