#X,#CH1,#CH2
#Second,#Volt,#Volt
-6.00E-02,4.80E-01,0.00E+00
-5.98E-02,4.40E-01,-4.00E-02
-5.96E-02,4.40E-01,0.00E+00
-5.94E-02,4.20E-01,-4.00E-02
-5.92E-02,4.00E-01,0.00E+00
-5.90E-02,3.80E-01,-4.00E-02
-5.88E-02,3.80E-01,0.00E+00
-5.86E-02,3.40E-01,-4.00E-02
-5.84E-02,3.40E-01,0.00E+00
-5.82E-02,3.00E-01,2.00E-02
-5.80E-02,3.20E-01,0.00E+00
-5.78E-02,2.80E-01,-4.00E-02
-5.76E-02,3.00E-01,2.00E-02
-5.74E-02,2.60E-01,-4.00E-02
-5.72E-02,2.60E-01,0.00E+00
-5.70E-02,2.40E-01,-4.00E-02
-5.68E-02,2.60E-01,0.00E+00
-5.66E-02,2.20E-01,-4.00E-02
-5.64E-02,2.20E-01,0.00E+00
-5.62E-02,2.00E-01,-4.00E-02
-5.60E-02,2.20E-01,0.00E+00
-5.58E-02,1.80E-01,0.00E+00
-5.56E-02,1.80E-01,0.00E+00
-5.54E-02,1.80E-01,-4.00E-02
-5.52E-02,1.80E-01,0.00E+00
-5.50E-02,1.60E-01,0.00E+00
-5.48E-02,1.40E-01,0.00E+00
-5.46E-02,1.60E-01,-4.00E-02
-5.44E-02,1.20E-01,0.00E+00
-5.42E-02,1.40E-01,-4.00E-02
-5.40E-02,1.40E-01,-4.00E-02
-5.38E-02,1.20E-01,0.00E+00
-5.36E-02,1.20E-01,2.00E-02
-5.34E-02,1.20E-01,-4.00E-02
-5.32E-02,1.20E-01,-4.00E-02
-5.30E-02,1.00E-01,0.00E+00
-5.28E-02,1.00E-01,0.00E+00
-5.26E-02,1.20E-01,0.00E+00
-5.24E-02,1.00E-01,0.00E+00
-5.22E-02,6.00E-02,-4.00E-02
-5.20E-02,7.99E-02,0.00E+00
-5.18E-02,6.00E-02,-4.00E-02
-5.16E-02,7.99E-02,0.00E+00
-5.14E-02,6.00E-02,-4.00E-02
