#X,#CH1,#CH2
#Second,#Volt,#Volt
-4.98E-04,-5.60E-03,0.00E+00
-4.97E-04,-1.08E-02,0.00E+00
-4.96E-04,-1.36E-02,0.00E+00
-4.95E-04,-1.72E-02,0.00E+00
-4.94E-04,-1.96E-02,0.00E+00
-4.93E-04,-2.16E-02,0.00E+00
-4.92E-04,-2.16E-02,0.00E+00
-4.91E-04,-2.12E-02,0.00E+00
-4.90E-04,-1.96E-02,0.00E+00
-4.89E-04,-1.72E-02,0.00E+00
-4.88E-04,-1.32E-02,0.00E+00
-4.87E-04,-9.60E-03,0.00E+00
-4.86E-04,-5.60E-03,0.00E+00
-4.85E-04,-8.00E-04,0.00E+00
-4.84E-04,3.60E-03,0.00E+00
-4.83E-04,8.00E-03,-2.00E-02
-4.82E-04,1.20E-02,-2.00E-02
-4.81E-04,1.48E-02,-2.00E-02
-4.80E-04,1.72E-02,-2.00E-02
-4.79E-04,1.88E-02,-2.00E-02
-4.78E-04,1.92E-02,-2.00E-02
-4.77E-04,1.88E-02,-2.00E-02
-4.76E-04,1.72E-02,-2.00E-02
-4.75E-04,1.52E-02,-2.00E-02
-4.74E-04,1.20E-02,-2.00E-02
-4.73E-04,8.80E-03,-2.00E-02
-4.72E-04,4.80E-03,-2.00E-02
-4.71E-04,4.00E-04,-2.00E-02
-4.70E-04,-3.20E-03,0.00E+00
-4.69E-04,-7.20E-03,0.00E+00
-4.68E-04,-1.12E-02,0.00E+00
-4.67E-04,-1.40E-02,0.00E+00
-4.66E-04,-1.64E-02,0.00E+00
-4.65E-04,-1.88E-02,0.00E+00
-4.64E-04,-1.92E-02,0.00E+00
-4.63E-04,-1.92E-02,0.00E+00
-4.62E-04,-1.80E-02,0.00E+00
-4.61E-04,-1.60E-02,0.00E+00
-4.60E-04,-1.32E-02,0.00E+00
-4.59E-04,-9.20E-03,0.00E+00
-4.58E-04,-5.60E-03,0.00E+00
-4.57E-04,-2.00E-03,-2.00E-02
-4.56E-04,2.00E-03,-2.00E-02
-4.55E-04,5.60E-03,-2.00E-02
-4.54E-04,9.20E-03,0.00E+00
-4.53E-04,1.24E-02,-2.00E-02
-4.52E-04,1.40E-02,-2.00E-02
-4.51E-04,1.60E-02,-2.00E-02
-4.50E-04,1.68E-02,-2.00E-02
-4.49E-04,1.68E-02,-2.00E-02
-4.48E-04,1.56E-02,-2.00E-02
-4.47E-04,1.44E-02,-2.00E-02
-4.46E-04,1.20E-02,-2.00E-02
-4.45E-04,8.40E-03,-2.00E-02
-4.44E-04,5.20E-03,-2.00E-02
-4.43E-04,2.40E-03,-2.00E-02
-4.42E-04,-2.00E-03,-2.00E-02
-4.41E-04,-5.60E-03,-2.00E-02
-4.40E-04,-8.80E-03,0.00E+00
-4.39E-04,-1.20E-02,0.00E+00
