#Frequency,#Ratio,#Uncertainty
#Hz,#None,#None
100,4.6323,0.00001
1000,4.63555,0.00001
2000,4.63405,0.00001
3000,4.63095,0.00001
3500,4.6296,0.00001
4500,4.62695,0.00001
5000,4.62615,0.00001
5500,4.62515,0.00003
6000,4.62445,0.00001
7000,4.6233,0.00001
8000,4.62285,0.00001
9000,4.6222,0.00001
10000,4.6218,0.00001
10500,4.6202,0.00001
11000,4.61865,0.00001
12000,4.61515,0.00001
13000,4.61155,0.00001
14000,4.6078,0.00001
16000,4.6002,0.00001
17500,4.594,0.00001
19000,4.5868,0.00001
21000,4.57695,0.00001
24500,4.55615,0.00001
28000,4.53105,0.000005
31500,4.50085,0.00001
35000,4.464,0.00001
38500,4.4211,0.00001
42000,4.37075,0.00001
45500,4.31315,0.00001
49000,4.24845,0.00001
52500,4.17625,0.00001
56000,4.0976,0.00001
59500,4.01265,0.000005
63000,3.92305,0.00001
66500,3.83,0.000005
70000,3.7348,0.000005
73500,3.63885,0.00001
77000,3.54255,0.00001
80500,3.4473,0.00001
84000,3.0532,0.00001
87500,3.26115,0.000005
91000,3.17145,0.000005
94500,3.0845,0.000005
98000,3.0006,0.00001
100000,2.95395,0.00001
