Source,CH1,CH2
Second,Volt,Volt
-0.02048,-5.6,0.02
-0.020477998,-5.2,0.02
-0.020475998,-5.2,0.02
-0.020473998,-5.2,0.02
-0.020472,-5.2,0.02
-0.020469998,-5.2,0.02
-0.020467998,-5.2,0.016
-0.020465998,-5.2,0.02
-0.020464,-4.8,0.016
-0.020461998,-5.2,0.016
-0.020459998,-5.2,0.016
-0.020458,-5.2,0.016
-0.020456,-5.2,0.02
-0.020453998,-5.2,0.016
-0.020451998,-4.8,0.016
-0.02045,-5.2,0.016
-0.020448,-4.8,0.016
-0.020445998,-4.4,0.016
-0.020443998,-4.8,0.016
-0.020442,-5.2,0.016
-0.020439998,-4.8,0.016
-0.020437998,-5.2,0.016
-0.020435998,-4.4,0.016
-0.020434,-4.8,0.016
-0.020431998,-4.4,0.016
-0.020429998,-4.8,0.016
-0.020427998,-4.8,0.016
-0.020426,-4.4,0.016
-0.020423998,-4.4,0.016
-0.020421998,-4.4,0.016
-0.020419998,-4.8,0.016
-0.020418,-4.4,0.016
-0.020415998,-4.8,0.016
-0.020413998,-4.4,0.016
-0.020411998,-4.4,0.016
-0.02041,-4.4,0.016
-0.020407998,-4.8,0.016
-0.020405998,-4.4,0.012
-0.020403998,-4.4,0.012
-0.020402,-4.4,0.016
-0.020399998,-4.4,0.016
-0.020397998,-4.4,0.016
-0.020396,-4.4,0.012
-0.020394,-4.4,0.012
-0.020391998,-4.4,0.012
-0.020389998,-4.4,0.012
-0.020388,-4.4,0.012
-0.020386,-4.4,0.012
-0.020383998,-4,0.008
-0.020381998,-4,0.012
-0.02038,-4,0.012
-0.020377998,-4.4,0.008
-0.020375998,-4.4,0.012
-0.020373998,-4,0.008
-0.020372,-4.4,0.012
-0.020369998,-4,0.012
-0.020367998,-4,0.008
-0.020365998,-4,0.008
-0.020364,-4,0.008
-0.020361998,-4,0.008
-0.020359998,-4,0.008
-0.020358,-4,0.008
-0.020356,-4,0.008
-0.020353998,-4,0.008
-0.020351998,-4,0.008
-0.02035,-3.6,0.008
-0.020348,-4,0.008
-0.020345998,-3.6,0.008
-0.020343998,-4,0.008
-0.020342,-3.6,0.008
-0.02034,-3.6,0.008
-0.020337998,-3.6,0.008
-0.020335998,-3.6,0.008
-0.020334,-3.6,0.008
-0.020332,-3.6,0.008
-0.020329998,-3.6,0.008
-0.020327998,-3.6,0.008
-0.020326,-3.6,0.008
-0.020324,-3.6,0.004
-0.020321998,-3.6,0.008
-0.020319998,-3.2,0.004
-0.020318,-2.8,0.008
-0.020315998,-3.6,0.004
-0.020313998,-3.6,0.004
-0.020311998,-2.8,0.008
-0.02031,-3.2,0.004
-0.020307998,-3.2,0.004
-0.020305998,-3.2,0.004
-0.020303998,-2.8,0.004
-0.020302,-3.2,0.004
-0.020299998,-3.2,0.004
-0.020297998,-3.2,0.004
-0.020296,-3.2,0.004
-0.020294,-3.2,0
-0.020291998,-3.2,0.004
-0.020289998,-3.2,0.004
-0.020288,-3.2,0.004
-0.020286,-3.2,0
-0.020283998,-3.2,0
-0.020281998,-3.2,0.004
-0.02028,-3.2,0
-0.020278,-3.2,0
-0.020275998,-3.2,0.004
-0.020273998,-3.2,0.004
-0.020272,-2.8,0.004
-0.02027,-3.2,0
-0.020267998,-3.2,0
-0.020265998,-2.8,0
-0.020264,-2.8,0
-0.020262,-2.8,0.004
-0.020259998,-2.8,0
-0.020258,-2.8,0
-0.020256,-2.8,0
-0.020253998,-2.8,0
-0.020251998,-2.8,0
-0.02025,-2.8,0
-0.020248,-2.8,0
-0.020245998,-2.8,0
-0.020243998,-2.8,0
-0.020242,-2.8,0
-0.02024,-2.8,0
-0.020237998,-2.8,0
-0.020235998,-2.8,0
-0.020234,-2.8,0
-0.020232,-2.8,0
-0.020229998,-2.8,0
-0.020227998,-2.8,0
-0.020226,-2.8,-0.004
-0.020224,-2.8,0
-0.020221998,-3.2,0
-0.020219998,-2.4,0
-0.020218,-2.4,0
-0.020216,-2.8,-0.004
-0.020213998,-2.4,-0.004
-0.020211998,-2.8,0
-0.02021,-2.4,-0.004
-0.020208,-2.8,-0.004
-0.020205998,-2.8,-0.004
-0.020203998,-2.8,-0.004
-0.020202,-2.8,-0.004
-0.020199998,-2.8,-0.004
-0.020197998,-2.8,-0.004
-0.020196,-2.8,-0.008
-0.020194,-2.8,-0.008
-0.020191998,-2.8,-0.008
-0.020189998,-2.8,-0.008
-0.020188,-2.8,-0.008
-0.020186,-2.8,-0.008
-0.020183998,-2.8,-0.008
-0.020181998,-2.4,-0.008
-0.02018,-2.8,-0.008
-0.020178,-2.4,-0.008
-0.020175998,-2.4,-0.008
-0.020173998,-2.4,-0.008
-0.020172,-2.4,-0.008
-0.02017,-2.4,-0.008
-0.020167998,-2.4,-0.008
-0.020165998,-2.4,-0.008
-0.020164,-2.4,-0.008
-0.020162,-2.4,-0.008
-0.020159998,-2.4,-0.008
-0.020158,-2.4,-0.008
-0.020156,-2.4,-0.008
-0.020154,-2.4,-0.008
-0.020151998,-2.4,-0.008
-0.02015,-2.4,-0.008
-0.020148,-2.4,-0.008
-0.020146,-2.4,-0.008
-0.020143998,-2.4,-0.008
-0.020142,-2.4,-0.008
-0.02014,-2.4,-0.008
-0.020137998,-2.4,-0.008
-0.020135998,-2.4,-0.008
-0.020134,-2.4,-0.012
-0.020132,-2.4,-0.012
-0.020129998,-2.4,-0.012
-0.020127998,-2,-0.012
