Source,CH1,CH2
Second,Volt,Volt
-0.02048,-4,0.008
-0.020477998,-4,0.008
-0.020475998,-4,0.008
-0.020473998,-4,0.008
-0.020472,-4,0.008
-0.020469998,-4,0.008
-0.020467998,-4,0.008
-0.020465998,-4,0.008
-0.020464,-4,0.008
-0.020461998,-3.6,0.008
-0.020459998,-4,0.008
-0.020458,-4,0.008
-0.020456,-3.6,0.008
-0.020453998,-3.6,0.008
-0.020451998,-4,0.008
-0.02045,-3.6,0.008
-0.020448,-4,0.008
-0.020445998,-4,0.008
-0.020443998,-3.6,0.008
-0.020442,-3.6,0.008
-0.020439998,-3.6,0.008
-0.020437998,-3.6,0.008
-0.020435998,-3.6,0.008
-0.020434,-3.6,0.008
-0.020431998,-3.6,0.008
-0.020429998,-3.6,0.008
-0.020427998,-3.6,0.008
-0.020426,-3.6,0.008
-0.020423998,-3.6,0.008
-0.020421998,-3.6,0.008
-0.020419998,-3.6,0.008
-0.020418,-3.6,0.008
-0.020415998,-3.2,0.004
-0.020413998,-3.6,0.004
-0.020411998,-3.6,0.008
-0.02041,-3.6,0.008
-0.020407998,-3.2,0.004
-0.020405998,-3.2,0.008
-0.020403998,-3.2,0.008
-0.020402,-3.6,0.008
-0.020399998,-3.2,0.004
-0.020397998,-3.6,0.004
-0.020396,-3.2,0.004
-0.020394,-3.2,0.004
-0.020391998,-3.2,0.004
-0.020389998,-3.2,0.004
-0.020388,-3.2,0.004
-0.020386,-3.2,0.004
-0.020383998,-3.2,0.004
-0.020381998,-3.2,0.004
-0.02038,-3.6,0.004
-0.020377998,-3.2,0.004
-0.020375998,-2.8,0.004
-0.020373998,-3.2,0.004
-0.020372,-3.2,0.004
-0.020369998,-3.2,0.004
-0.020367998,-3.2,0.004
-0.020365998,-3.2,0
-0.020364,-3.2,0.004
-0.020361998,-3.2,0.004
-0.020359998,-3.2,0.004
-0.020358,-3.2,0
-0.020356,-3.2,0.004
-0.020353998,-3.2,0
-0.020351998,-3.2,0
-0.02035,-3.2,0
-0.020348,-3.2,0
-0.020345998,-3.2,0
-0.020343998,-3.2,0
-0.020342,-2.8,0.004
-0.02034,-3.2,0
-0.020337998,-3.2,0
-0.020335998,-2.8,0
-0.020334,-2.8,0
-0.020332,-3.2,0
-0.020329998,-2.8,0
-0.020327998,-2.8,0
-0.020326,-2.8,0
-0.020324,-2.8,0
-0.020321998,-2.8,0
-0.020319998,-2.8,0
-0.020318,-2.8,0
-0.020315998,-2.8,0
-0.020313998,-2.8,0
-0.020311998,-2.8,0
-0.02031,-2.8,0
-0.020307998,-2.8,0
-0.020305998,-2.8,0
-0.020303998,-2.8,0
-0.020302,-2.8,0
-0.020299998,-2.8,0
-0.020297998,-2.8,0
-0.020296,-2.8,0
-0.020294,-2.8,0
-0.020291998,-2.8,0
-0.020289998,-2.8,0
-0.020288,-2.8,-0.004
-0.020286,-2.4,0
-0.020283998,-2.8,0
-0.020281998,-2.8,-0.004
-0.02028,-2.4,-0.004
-0.020278,-2.8,0
-0.020275998,-2.8,0
-0.020273998,-2.8,-0.004
-0.020272,-2.4,0
-0.02027,-2.8,-0.004
-0.020267998,-2,-0.004
-0.020265998,-2.8,-0.004
-0.020264,-2.4,-0.004
-0.020262,-2.8,-0.004
-0.020259998,-2.8,-0.004
-0.020258,-2.8,-0.004
-0.020256,-2.8,-0.004
-0.020253998,-2.8,-0.008
-0.020251998,-2.8,-0.008
-0.02025,-2.8,-0.004
-0.020248,-2.8,-0.004
-0.020245998,-2.8,-0.004
-0.020243998,-2.8,-0.004
-0.020242,-2.8,-0.004
-0.02024,-2.8,-0.008
-0.020237998,-2.8,-0.008
-0.020235998,-2.8,-0.004
-0.020234,-2.8,-0.008
-0.020232,-2.4,-0.008
-0.020229998,-2.4,-0.004
-0.020227998,-2.4,-0.004
-0.020226,-2.8,-0.008
-0.020224,-2.4,-0.008
-0.020221998,-2.8,-0.008
-0.020219998,-2.4,-0.008
-0.020218,-2.4,-0.008
-0.020216,-2.8,-0.008
-0.020213998,-2.4,-0.008
-0.020211998,-2.4,-0.008
-0.02021,-2.4,-0.008
-0.020208,-2.8,-0.008
-0.020205998,-2.4,-0.008
-0.020203998,-2.4,-0.008
-0.020202,-2.4,-0.008
-0.020199998,-2.4,-0.008
-0.020197998,-2.4,-0.008
-0.020196,-2.4,-0.008
-0.020194,-2.4,-0.008
-0.020191998,-2.4,-0.008
-0.020189998,-2.4,-0.008
-0.020188,-2.4,-0.008
-0.020186,-2.4,-0.008
-0.020183998,-2.4,-0.012
-0.020181998,-2.4,-0.008
-0.02018,-2.4,-0.008
-0.020178,-2.4,-0.008
-0.020175998,-2.4,-0.008
-0.020173998,-2,-0.008
-0.020172,-2,-0.008
-0.02017,-2.4,-0.008
-0.020167998,-2.4,-0.012
-0.020165998,-2.4,-0.008
-0.020164,-2.4,-0.012
-0.020162,-2,-0.012
-0.020159998,-2.4,-0.012
-0.020158,-2.4,-0.012
-0.020156,-2.4,-0.008
-0.020154,-2,-0.012
-0.020151998,-2,-0.012
-0.02015,-2.4,-0.012
-0.020148,-2,-0.012
-0.020146,-2,-0.012
-0.020143998,-2,-0.012
-0.020142,-2,-0.012
-0.02014,-2,-0.012
-0.020137998,-2.4,-0.012
-0.020135998,-2,-0.012
-0.020134,-2,-0.016
-0.020132,-2,-0.012
-0.020129998,-2,-0.012
-0.020127998,-1.6,-0.012
-0.020126,-2,-0.012
-0.020124,-2,-0.012
-0.020121998,-1.6,-0.016
-0.020119998,-1.6,-0.016
-0.020118,-1.6,-0.016
-0.020116,-1.6,-0.016
-0.020113998,-2,-0.016
-0.020111998,-1.6,-0.012
-0.02011,-1.6,-0.016
-0.020108,-1.6,-0.016
-0.020105998,-2,-0.016
-0.020103998,-1.6,-0.016
-0.020102,-2,-0.016
-0.0201,-1.6,-0.016
-0.020097998,-1.6,-0.016
-0.020096,-1.6,-0.016
-0.020094,-1.6,-0.016
-0.020092,-1.6,-0.016
-0.020089998,-1.6,-0.016
-0.020088,-1.6,-0.016
-0.020086,-1.6,-0.016
-0.020084,-1.6,-0.016
-0.020081998,-1.6,-0.016
-0.02008,-1.6,-0.016
-0.020078,-1.6,-0.016
-0.020075998,-1.6,-0.016
-0.020073998,-1.6,-0.016
-0.020072,-1.6,-0.016
-0.02007,-1.6,-0.016
-0.020067998,-1.6,-0.016
-0.020065998,-1.6,-0.016
-0.020064,-1.6,-0.016
-0.020062,-1.6,-0.02
-0.020059998,-1.6,-0.016
-0.020058,-1.6,-0.016
-0.020056,-1.2,-0.016
-0.020054,-1.6,-0.02
-0.020051998,-1.2,-0.016
-0.02005,-1.2,-0.016
-0.020048,-1.2,-0.016
-0.020046,-1.6,-0.02
-0.020043998,-1.6,-0.02
-0.020042,-1.2,-0.016
-0.02004,-1.6,-0.02
-0.020038,-1.6,-0.02
-0.020035998,-0.8,-0.024
-0.020034,-1.2,-0.02
-0.020032,-1.2,-0.02
-0.02003,-1.2,-0.02
-0.020027998,-1.2,-0.02
-0.020026,-1.2,-0.02
-0.020024,-1.2,-0.02
-0.020022,-0.8,-0.02
-0.020019998,-0.8,-0.02
-0.020018,-0.8,-0.024
-0.020016,-0.8,-0.02
-0.020013998,-0.8,-0.02
-0.020011998,-1.2,-0.024
-0.02001,-0.8,-0.02
-0.020008,-0.8,-0.02
-0.020005998,-0.8,-0.024
-0.020003998,-0.8,-0.024
-0.020002,-0.8,-0.024
-0.02,-0.8,-0.024
-0.019997998,-0.8,-0.024
-0.019996,-0.8,-0.024
-0.019994,-0.8,-0.024
-0.019992,-0.8,-0.024
-0.019989998,-0.8,-0.024
-0.019988,-0.8,-0.024
-0.019986,-0.8,-0.024
-0.019984,-0.8,-0.024
-0.019981998,-0.8,-0.024
-0.01998,-0.8,-0.024
-0.019978,-0.8,-0.024
-0.019976,-0.8,-0.024
-0.019973998,-0.8,-0.024
-0.019972,-0.8,-0.028
-0.01997,-0.8,-0.028
-0.019968,-0.8,-0.024
-0.019965998,-0.4,-0.024
-0.019964,-0.8,-0.028
-0.019962,-0.8,-0.028
-0.01996,-0.8,-0.024
-0.019958,0,-0.028
-0.019956,-0.4,-0.028
-0.019954,-0.4,-0.028
-0.019951998,0,-0.028
-0.01995,-0.4,-0.024
-0.019948,-0.4,-0.028
-0.019946,-0.4,-0.028
-0.019943998,-0.4,-0.028
-0.019942,0,-0.028
-0.01994,-0.4,-0.028
-0.019938,-0.4,-0.028
-0.019935998,0,-0.028
-0.019934,0,-0.028
-0.019932,0,-0.028
-0.01993,0,-0.028
-0.019927998,0,-0.028
-0.019926,0,-0.028
-0.019924,0,-0.032
-0.019922,0,-0.028
-0.019919998,0,-0.032
-0.019918,0,-0.032
-0.019916,0,-0.032
-0.019914,0,-0.032
-0.019911998,0,-0.032
-0.01991,0,-0.032
-0.019908,0,-0.032
-0.019906,0,-0.032
-0.019903998,0,-0.032
-0.019902,0,-0.032
-0.0199,0,-0.032
-0.019898,0,-0.032
-0.019896,0,-0.032
-0.019894,0,-0.032
-0.019892,0,-0.032
-0.019889998,0,-0.032
-0.019888,0,-0.032
-0.019886,0,-0.032
-0.019884,0,-0.032
-0.019881998,0,-0.032
-0.01988,0,-0.032
-0.019878,0,-0.032
-0.019876,0,-0.032
-0.019873998,0,-0.032
-0.019872,0,-0.032
-0.01987,0,-0.032
-0.019868,0,-0.032
-0.019865998,0,-0.032
-0.019864,0.4,-0.032
-0.019862,0.8,-0.032
-0.01986,0.4,-0.032
-0.019858002,0.8,-0.036
