#1/RC,#Ratio,#Uncertainty
#Hertz,#Seconds,#Seconds
4.814735247,1.66E-05,8.32E-06
10.47329007,9.55E-06,3.83E-06
86.82984078,0.000148566,5.13E-06
94.24075875,6.39E-05,2.92E-06
967.5325115,7.41E-05,2.33E-06
978.2469189,7.77E-05,2.45E-06
9708.096941,7.78E-05,2.45E-06
10693.78039,7.44E-05,2.37E-06
19276.64765,7.79E-05,2.45E-06
20614.40832,7.78E-05,2.45E-06
25068.13519,7.78E-05,2.45E-06
32354.33432,7.75E-05,2.44E-06
48791.7218,7.68E-05,2.42E-06
97683.57087,7.47E-05,2.36E-06
97683.57087,7.62E-05,2.40E-06
976835.7087,7.41E-05,2.34E-06
984325.5992,4.91E-05,1.55E-06
1899297.716,3.63E-05,1.14E-06
9527729.504,1.14E-05,3.61E-07
