#Source,#CH1,#CH2
#Second,#Volt,#Volt
-0.02048,-0.76,-0.0024
-0.020477998,-0.74,-0.0016
-0.020475998,-0.74,-0.0008
-0.020473998,-0.76,-0.0024
-0.020472,-0.76,-0.0008
-0.020469998,-0.74,-0.0016
-0.020467998,-0.74,-0.0024
-0.020465998,-0.74,-0.0032
-0.020464,-0.76,-0.0008
-0.020461998,-0.76,-0.0016
-0.020459998,-0.76,-0.0016
-0.020458,-0.74,-0.0016
-0.020456,-0.76,-0.0024
-0.020453998,-0.76,-0.0024
-0.020451998,-0.76,-0.0024
-0.02045,-0.76,-0.0024
-0.020448,-0.76,-0.0016
-0.020445998,-0.76,-0.0024
-0.020443998,-0.76,-0.0032
-0.020442,-0.74,-0.0024
-0.020439998,-0.74,-0.0032
-0.020437998,-0.76,-0.004
-0.020435998,-0.74,-0.0032
-0.020434,-0.76,-0.0024
-0.020431998,-0.76,-0.0032
-0.020429998,-0.76,-0.0032
-0.020427998,-0.76,-0.0032
-0.020426,-0.76,-0.0024
-0.020423998,-0.76,-0.0048
-0.020421998,-0.74,-0.0032
-0.020419998,-0.74,-0.0032
-0.020418,-0.74,-0.0024
-0.020415998,-0.76,-0.0032
-0.020413998,-0.76,-0.0032
-0.020411998,-0.74,-0.0024
-0.02041,-0.76,-0.0032
-0.020407998,-0.74,-0.0048
-0.020405998,-0.74,-0.0032
-0.020403998,-0.74,-0.0032
-0.020402,-0.74,-0.004
-0.020399998,-0.74,-0.004
-0.020397998,-0.76,-0.004
-0.020396,-0.76,-0.0032
-0.020394,-0.74,-0.0032
-0.020391998,-0.74,-0.004
-0.020389998,-0.74,-0.0032
-0.020388,-0.74,-0.0048
-0.020386,-0.74,-0.0032
-0.020383998,-0.74,-0.0048
-0.020381998,-0.74,-0.0064
-0.02038,-0.74,-0.0032
-0.020377998,-0.74,-0.0048
-0.020375998,-0.74,-0.0032
-0.020373998,-0.74,-0.0048
-0.020372,-0.74,-0.0048
-0.020369998,-0.74,-0.0032
-0.020367998,-0.74,-0.0048
-0.020365998,-0.74,-0.0032
-0.020364,-0.74,-0.0048
-0.020361998,-0.74,-0.0048
-0.020359998,-0.74,-0.0056
-0.020358,-0.74,-0.004
-0.020356,-0.74,-0.0048
-0.020353998,-0.74,-0.0032
-0.020351998,-0.76,-0.0032
-0.02035,-0.74,-0.0064
-0.020348,-0.74,-0.004
-0.020345998,-0.74,-0.0048
-0.020343998,-0.74,-0.0048
-0.020342,-0.74,-0.0056
-0.02034,-0.74,-0.0056
-0.020337998,-0.74,-0.0056
-0.020335998,-0.74,-0.0064
-0.020334,-0.74,-0.0056
-0.020332,-0.74,-0.0064
-0.020329998,-0.74,-0.0056
-0.020327998,-0.74,-0.0048
-0.020326,-0.74,-0.0072
-0.020324,-0.74,-0.0048
-0.020321998,-0.74,-0.0064
-0.020319998,-0.74,-0.0056
-0.020318,-0.74,-0.0064
-0.020315998,-0.74,-0.0056
-0.020313998,-0.74,-0.0064
-0.020311998,-0.74,-0.0064
-0.02031,-0.74,-0.0064
-0.020307998,-0.74,-0.0064
-0.020305998,-0.74,-0.0064
-0.020303998,-0.74,-0.008
-0.020302,-0.74,-0.0064
-0.020299998,-0.72,-0.008
-0.020297998,-0.74,-0.0072
-0.020296,-0.74,-0.0064
-0.020294,-0.74,-0.0064
-0.020291998,-0.74,-0.0064
-0.020289998,-0.74,-0.0072
-0.020288,-0.74,-0.0064
-0.020286,-0.74,-0.0072
-0.020283998,-0.74,-0.0072
-0.020281998,-0.72,-0.0064
-0.02028,-0.74,-0.0064
-0.020278,-0.74,-0.0088
-0.020275998,-0.72,-0.0064
-0.020273998,-0.74,-0.0064
-0.020272,-0.74,-0.0064
-0.02027,-0.72,-0.0072
-0.020267998,-0.74,-0.008
-0.020265998,-0.74,-0.0088
-0.020264,-0.74,-0.0072
-0.020262,-0.74,-0.008
-0.020259998,-0.74,-0.0088
-0.020258,-0.74,-0.0072
-0.020256,-0.72,-0.0088
-0.020253998,-0.74,-0.008
-0.020251998,-0.74,-0.0072
-0.02025,-0.74,-0.0072
-0.020248,-0.74,-0.008
-0.020245998,-0.74,-0.008
-0.020243998,-0.72,-0.008
-0.020242,-0.74,-0.008
-0.02024,-0.74,-0.0088
-0.020237998,-0.74,-0.0096
-0.020235998,-0.74,-0.0088
-0.020234,-0.74,-0.008
-0.020232,-0.74,-0.008
-0.020229998,-0.74,-0.0088
-0.020227998,-0.74,-0.008
-0.020226,-0.74,-0.0088
-0.020224,-0.72,-0.0096
-0.020221998,-0.74,-0.0072
-0.020219998,-0.74,-0.0096
-0.020218,-0.74,-0.0088
-0.020216,-0.74,-0.0096
-0.020213998,-0.72,-0.0096
-0.020211998,-0.74,-0.0088
-0.02021,-0.74,-0.0096
-0.020208,-0.74,-0.0096
-0.020205998,-0.74,-0.0096
