#Source,#CH1,#CH2
#Second,#Volt,#Volt
-0.0008192,0.196,-0.068
-0.00081912,0.196,-0.068
-0.00081904,0.192,-0.068
-0.00081896,0.196,-0.072
-0.00081888,0.196,-0.068
-0.0008188,0.196,-0.072
-0.00081872,0.192,-0.068
-0.00081864,0.192,-0.068
-0.00081856,0.192,-0.068
-0.00081848,0.192,-0.068
-0.0008184,0.192,-0.064
-0.00081832,0.196,-0.068
-0.00081824,0.196,-0.064
-0.00081816,0.196,-0.068
-0.00081808,0.192,-0.064
-0.000818,0.192,-0.068
-0.00081792,0.196,-0.064
-0.00081784,0.196,-0.064
-0.00081776,0.196,-0.064
-0.00081768,0.196,-0.064
-0.0008176,0.196,-0.064
-0.00081752,0.196,-0.064
-0.00081744,0.192,-0.064
-0.00081736,0.196,-0.06
-0.00081728,0.196,-0.064
-0.0008172,0.196,-0.06
-0.00081712,0.196,-0.06
-0.00081704,0.2,-0.06
-0.00081696,0.196,-0.064
-0.00081688,0.192,-0.064
-0.0008168,0.196,-0.06
-0.00081672,0.196,-0.06
-0.00081664,0.196,-0.06
-0.00081656,0.196,-0.06
-0.00081648,0.196,-0.06
-0.0008164,0.196,-0.06
-0.00081632,0.196,-0.06
-0.00081624,0.196,-0.06
-0.00081616,0.2,-0.06
-0.00081608,0.196,-0.06
-0.000816,0.196,-0.056
-0.00081592,0.196,-0.06
-0.00081584,0.196,-0.06
-0.00081576,0.2,-0.06
-0.00081568,0.196,-0.06
-0.0008156,0.196,-0.06
-0.00081552,0.196,-0.06
-0.00081544,0.196,-0.056
-0.00081536,0.196,-0.056
-0.00081528,0.196,-0.06
-0.0008152,0.196,-0.056
-0.00081512,0.2,-0.056
-0.00081504,0.2,-0.06
-0.00081496,0.2,-0.056
-0.00081488,0.2,-0.056
-0.0008148,0.196,-0.056
-0.00081472,0.196,-0.056
-0.00081464,0.2,-0.056
-0.00081456,0.2,-0.06
-0.00081448,0.2,-0.056
-0.0008144,0.196,-0.056
-0.00081432,0.2,-0.056
-0.00081424,0.196,-0.056
-0.00081416,0.2,-0.056
-0.00081408,0.196,-0.056
-0.000814,0.196,-0.056
-0.00081392,0.196,-0.056
-0.00081384,0.2,-0.056
-0.00081376,0.196,-0.056
-0.00081368,0.196,-0.056
-0.0008136,0.196,-0.052
-0.00081352,0.2,-0.052
-0.00081344,0.2,-0.052
-0.00081336,0.2,-0.052
-0.00081328,0.2,-0.052
-0.0008132,0.2,-0.052
-0.00081312,0.2,-0.052
-0.00081304,0.2,-0.056
-0.00081296,0.196,-0.052
-0.00081288,0.2,-0.052
-0.0008128,0.2,-0.052
-0.00081272,0.196,-0.052
-0.00081264,0.196,-0.052
-0.00081256,0.2,-0.052
-0.00081248,0.196,-0.052
-0.0008124,0.2,-0.052
-0.00081232,0.2,-0.052
-0.00081224,0.2,-0.048
-0.00081216,0.196,-0.052
-0.00081208,0.2,-0.052
-0.000812,0.2,-0.048
-0.00081192,0.2,-0.048
-0.00081184,0.2,-0.048
-0.00081176,0.2,-0.048
-0.00081168,0.2,-0.048
-0.0008116,0.196,-0.044
-0.00081152,0.196,-0.048
-0.00081144,0.2,-0.048
-0.00081136,0.2,-0.048
-0.00081128,0.2,-0.044
-0.0008112,0.2,-0.044
-0.00081112,0.2,-0.044
-0.00081104,0.2,-0.044
-0.00081096,0.2,-0.044
-0.00081088,0.2,-0.044
-0.0008108,0.2,-0.044
-0.00081072,0.2,-0.044
-0.00081064,0.2,-0.044
-0.00081056,0.2,-0.044
-0.00081048,0.2,-0.044
-0.0008104,0.2,-0.044
-0.00081032,0.2,-0.044
-0.00081024,0.2,-0.044
-0.00081016,0.2,-0.044
-0.00081008,0.2,-0.044
-0.00081,0.2,-0.044
-0.00080992,0.2,-0.044
-0.00080984,0.2,-0.044
-0.00080976,0.2,-0.044
-0.00080968,0.2,-0.04
-0.0008096,0.2,-0.04
-0.00080952,0.2,-0.044
-0.00080944,0.2,-0.044
-0.00080936,0.2,-0.044
-0.00080928,0.2,-0.04
-0.0008092,0.2,-0.04
-0.00080912,0.2,-0.04
-0.00080904,0.2,-0.04
-0.00080896,0.2,-0.04
-0.00080888,0.2,-0.04
-0.0008088,0.2,-0.04
-0.00080872,0.2,-0.04
-0.00080864,0.2,-0.04
-0.00080856,0.2,-0.044
-0.00080848,0.2,-0.04
-0.0008084,0.2,-0.04
-0.00080832,0.2,-0.036
-0.00080824,0.2,-0.04
-0.00080816,0.2,-0.04
-0.00080808,0.2,-0.036
-0.000808,0.2,-0.04
-0.00080792,0.2,-0.036
-0.00080784,0.2,-0.04
-0.00080776,0.2,-0.036
-0.00080768,0.2,-0.036
-0.0008076,0.204,-0.04
-0.00080752,0.2,-0.036
-0.00080744,0.2,-0.036
-0.00080736,0.204,-0.036
-0.00080728,0.2,-0.036
-0.0008072,0.204,-0.036
-0.00080712,0.204,-0.036
-0.00080704,0.2,-0.036
-0.00080696,0.2,-0.036
-0.00080688,0.2,-0.036
-0.0008068,0.2,-0.036
-0.00080672,0.2,-0.036
-0.00080664,0.2,-0.036
-0.00080656,0.2,-0.036
-0.00080648,0.204,-0.036
-0.0008064,0.2,-0.036
-0.00080632,0.2,-0.036
-0.00080624,0.2,-0.032
-0.00080616,0.204,-0.036
-0.00080608,0.2,-0.036
-0.000806,0.2,-0.036
-0.00080592,0.208,-0.036
-0.00080584,0.2,-0.036
-0.00080576,0.2,-0.032
-0.00080568,0.2,-0.032
-0.0008056,0.204,-0.032
-0.00080552,0.2,-0.032
-0.00080544,0.2,-0.036
-0.00080536,0.2,-0.032
-0.00080528,0.2,-0.032
-0.0008052,0.2,-0.032
-0.00080512,0.2,-0.032
-0.00080504,0.2,-0.032
-0.00080496,0.2,-0.032
-0.00080488,0.2,-0.032
-0.0008048,0.2,-0.032
-0.00080472,0.208,-0.032
-0.00080464,0.2,-0.032
-0.00080456,0.204,-0.032
-0.00080448,0.204,-0.032
-0.0008044,0.204,-0.032
-0.00080432,0.2,-0.032
-0.00080424,0.2,-0.032
-0.00080416,0.2,-0.028
-0.00080408,0.2,-0.032
-0.000804,0.2,-0.032
-0.00080392,0.204,-0.032
-0.00080384,0.2,-0.028
-0.00080376,0.204,-0.032
-0.00080368,0.2,-0.032
-0.0008036,0.204,-0.032
-0.00080352,0.204,-0.028
-0.00080344,0.204,-0.028
-0.00080336,0.204,-0.028
-0.00080328,0.2,-0.028
-0.0008032,0.2,-0.028
-0.00080312,0.204,-0.024
-0.00080304,0.2,-0.028
-0.00080296,0.204,-0.028
-0.00080288,0.204,-0.028
-0.0008028,0.204,-0.024
-0.00080272,0.208,-0.024
-0.00080264,0.204,-0.028
-0.00080256,0.204,-0.028
-0.00080248,0.204,-0.028
-0.0008024,0.2,-0.028
-0.00080232,0.208,-0.024
-0.00080224,0.204,-0.024
-0.00080216,0.2,-0.024
-0.00080208,0.208,-0.024
-0.000802,0.2,-0.024
-0.00080192,0.2,-0.024
-0.00080184,0.204,-0.024
-0.00080176,0.208,-0.024
-0.00080168,0.2,-0.02
-0.0008016,0.204,-0.024
-0.00080152,0.204,-0.024
-0.00080144,0.2,-0.02
-0.00080136,0.2,-0.02
-0.00080128,0.208,-0.02
-0.0008012,0.204,-0.02
-0.00080112,0.2,-0.02
-0.00080104,0.2,-0.02
-0.00080096,0.208,-0.02
-0.00080088,0.204,-0.016
-0.0008008,0.204,-0.016
-0.00080072,0.208,-0.016
