#Source,#CH1,#CH2
#Second,#Volt,#Volt
-0.00012534,-0.296,-0.2
-0.00012532,-0.296,-0.2
-0.0001253,-0.296,-0.192
-0.00012528,-0.296,-0.192
-0.00012526,-0.296,-0.192
-0.00012524,-0.288,-0.192
-0.00012522,-0.296,-0.2
-0.0001252,-0.296,-0.2
-0.00012518,-0.296,-0.2
-0.00012516,-0.296,-0.192
-0.00012514,-0.288,-0.2
-0.00012512,-0.296,-0.2
-0.0001251,-0.296,-0.192
-0.00012508,-0.288,-0.2
-0.00012506,-0.296,-0.2
-0.00012504,-0.296,-0.2
-0.00012502,-0.296,-0.2
-0.000125,-0.296,-0.2
-0.00012498,-0.296,-0.2
-0.00012496,-0.296,-0.2
-0.00012494,-0.296,-0.192
-0.00012492,-0.296,-0.2
-0.0001249,-0.296,-0.2
-0.00012488,-0.288,-0.2
-0.00012486,-0.296,-0.192
-0.00012484,-0.296,-0.2
-0.00012482,-0.296,-0.2
-0.0001248,-0.296,-0.2
-0.00012478,-0.296,-0.2
-0.00012476,-0.288,-0.2
-0.00012474,-0.288,-0.2
-0.00012472,-0.296,-0.2
-0.0001247,-0.296,-0.2
-0.00012468,-0.296,-0.2
-0.00012466,-0.296,-0.2
-0.00012464,-0.296,-0.2
-0.00012462,-0.296,-0.2
-0.0001246,-0.288,-0.2
-0.00012458,-0.296,-0.2
-0.00012456,-0.288,-0.2
-0.00012454,-0.296,-0.2
-0.00012452,-0.288,-0.2
-0.0001245,-0.288,-0.2
-0.00012448,-0.296,-0.2
-0.00012446,-0.288,-0.2
-0.00012444,-0.296,-0.2
-0.00012442,-0.296,-0.2
-0.0001244,-0.288,-0.2
-0.00012438,-0.296,-0.2
-0.00012436,-0.296,-0.2
-0.00012434,-0.296,-0.2
-0.00012432,-0.288,-0.2
-0.0001243,-0.296,-0.2
-0.00012428,-0.288,-0.2
-0.00012426,-0.296,-0.2
-0.00012424,-0.288,-0.2
-0.00012422,-0.296,-0.2
-0.0001242,-0.288,-0.2
-0.00012418,-0.288,-0.2
-0.00012416,-0.288,-0.2
-0.00012414,-0.296,-0.2
-0.00012412,-0.296,-0.2
-0.0001241,-0.288,-0.2
-0.00012408,-0.288,-0.2
-0.00012406,-0.288,-0.2
-0.00012404,-0.296,-0.2
-0.00012402,-0.288,-0.2
-0.000124,-0.288,-0.2
-0.00012398,-0.296,-0.2
-0.00012396,-0.296,-0.2
-0.00012394,-0.288,-0.2
-0.00012392,-0.288,-0.2
-0.0001239,-0.288,-0.2
-0.00012388,-0.296,-0.2
-0.00012386,-0.296,-0.2
-0.00012384,-0.288,-0.2
-0.00012382,-0.296,-0.2
-0.0001238,-0.288,-0.2
-0.00012378,-0.288,-0.2
-0.00012376,-0.288,-0.2
-0.00012374,-0.296,-0.2
-0.00012372,-0.288,-0.2
-0.0001237,-0.288,-0.2
-0.00012368,-0.288,-0.2
-0.00012366,-0.296,-0.2
-0.00012364,-0.288,-0.2
-0.00012362,-0.288,-0.2
-0.0001236,-0.288,-0.2
-0.00012358,-0.288,-0.2
-0.00012356,-0.288,-0.2
-0.00012354,-0.288,-0.2
-0.00012352,-0.288,-0.2
-0.0001235,-0.288,-0.2
-0.00012348,-0.288,-0.2
-0.00012346,-0.288,-0.2
-0.00012344,-0.296,-0.2
-0.00012342,-0.288,-0.2
-0.0001234,-0.288,-0.2
-0.00012338,-0.288,-0.2
-0.00012336,-0.288,-0.2
-0.00012334,-0.288,-0.2
-0.00012332,-0.288,-0.2
-0.0001233,-0.288,-0.2
-0.00012328,-0.288,-0.2
-0.00012326,-0.288,-0.2
-0.00012324,-0.288,-0.208
-0.00012322,-0.288,-0.2
-0.0001232,-0.288,-0.2
-0.00012318,-0.288,-0.2
-0.00012316,-0.288,-0.2
-0.00012314,-0.288,-0.2
-0.00012312,-0.288,-0.2
-0.0001231,-0.288,-0.2
-0.00012308,-0.288,-0.208
-0.00012306,-0.288,-0.2
-0.00012304,-0.288,-0.2
-0.00012302,-0.288,-0.2
-0.000123,-0.288,-0.2
-0.00012298,-0.288,-0.2
-0.00012296,-0.288,-0.2
-0.00012294,-0.288,-0.2
-0.00012292,-0.288,-0.2
-0.0001229,-0.288,-0.2
-0.00012288,-0.288,-0.2
-0.00012286,-0.288,-0.2
-0.00012284,-0.288,-0.2
-0.00012282,-0.288,-0.2
-0.0001228,-0.288,-0.2
-0.00012278,-0.28,-0.2
-0.00012276,-0.288,-0.2
-0.00012274,-0.288,-0.2
-0.00012272,-0.288,-0.208
-0.0001227,-0.288,-0.2
-0.00012268,-0.288,-0.2
-0.00012266,-0.288,-0.2
-0.00012264,-0.288,-0.2
-0.00012262,-0.288,-0.2
-0.0001226,-0.288,-0.2
-0.00012258,-0.288,-0.2
-0.00012256,-0.288,-0.2
-0.00012254,-0.288,-0.2
-0.00012252,-0.288,-0.2
-0.0001225,-0.288,-0.2
-0.00012248,-0.288,-0.2
-0.00012246,-0.288,-0.2
-0.00012244,-0.288,-0.2
-0.00012242,-0.288,-0.2
-0.0001224,-0.28,-0.208
-0.00012238,-0.288,-0.208
-0.00012236,-0.288,-0.2
-0.00012234,-0.288,-0.208
-0.00012232,-0.288,-0.2
-0.0001223,-0.288,-0.2
-0.00012228,-0.288,-0.2
-0.00012226,-0.288,-0.2
-0.00012224,-0.288,-0.2
-0.00012222,-0.288,-0.2
-0.0001222,-0.288,-0.2
-0.00012218,-0.288,-0.2
-0.00012216,-0.288,-0.208
-0.00012214,-0.288,-0.208
-0.00012212,-0.288,-0.2
-0.0001221,-0.288,-0.208
-0.00012208,-0.288,-0.2
-0.00012206,-0.288,-0.208
-0.00012204,-0.288,-0.2
-0.00012202,-0.288,-0.2
-0.000122,-0.288,-0.2
-0.00012198,-0.288,-0.2
-0.00012196,-0.288,-0.208
-0.00012194,-0.288,-0.208
-0.00012192,-0.288,-0.208
-0.0001219,-0.288,-0.208
-0.00012188,-0.288,-0.208
-0.00012186,-0.288,-0.2
-0.00012184,-0.288,-0.208
-0.00012182,-0.288,-0.208
-0.0001218,-0.288,-0.2
-0.00012178,-0.288,-0.2
-0.00012176,-0.288,-0.2
-0.00012174,-0.288,-0.208
-0.00012172,-0.28,-0.208
-0.0001217,-0.288,-0.208
-0.00012168,-0.288,-0.2
-0.00012166,-0.288,-0.2
-0.00012164,-0.288,-0.208
-0.00012162,-0.288,-0.2
-0.0001216,-0.288,-0.2
-0.00012158,-0.288,-0.2
-0.00012156,-0.288,-0.2
-0.00012154,-0.288,-0.2
-0.00012152,-0.28,-0.208
-0.0001215,-0.288,-0.208
-0.00012148,-0.288,-0.208
-0.00012146,-0.288,-0.208
-0.00012144,-0.288,-0.208
-0.00012142,-0.288,-0.2
-0.0001214,-0.288,-0.208
-0.00012138,-0.28,-0.208
-0.00012136,-0.288,-0.208
-0.00012134,-0.288,-0.2
-0.00012132,-0.288,-0.2
-0.0001213,-0.288,-0.2
-0.00012128,-0.28,-0.208
-0.00012126,-0.28,-0.208
-0.00012124,-0.288,-0.208
-0.00012122,-0.288,-0.2
-0.0001212,-0.288,-0.208
-0.00012118,-0.288,-0.208
-0.00012116,-0.288,-0.208
-0.00012114,-0.288,-0.2
-0.00012112,-0.288,-0.2
-0.0001211,-0.288,-0.2
-0.00012108,-0.28,-0.2
-0.00012106,-0.288,-0.208
-0.00012104,-0.28,-0.208
-0.00012102,-0.288,-0.2
-0.000121,-0.288,-0.208
-0.00012098,-0.28,-0.208
-0.00012096,-0.288,-0.208
-0.00012094,-0.288,-0.208
-0.00012092,-0.28,-0.208
-0.0001209,-0.288,-0.208
-0.00012088,-0.288,-0.208
-0.00012086,-0.28,-0.208
-0.00012084,-0.288,-0.208
-0.00012082,-0.28,-0.208
-0.0001208,-0.28,-0.2
-0.00012078,-0.288,-0.208
-0.00012076,-0.288,-0.2
-0.00012074,-0.288,-0.208
-0.00012072,-0.28,-0.208
-0.0001207,-0.28,-0.208
-0.00012068,-0.288,-0.208
-0.00012066,-0.28,-0.216
-0.00012064,-0.288,-0.208
-0.00012062,-0.28,-0.208
-0.0001206,-0.288,-0.208
-0.00012058,-0.28,-0.208
-0.00012056,-0.288,-0.208
-0.00012054,-0.28,-0.208
-0.00012052,-0.288,-0.208
-0.0001205,-0.288,-0.208
-0.00012048,-0.28,-0.208
-0.00012046,-0.288,-0.216
-0.00012044,-0.288,-0.208
-0.00012042,-0.28,-0.208
-0.0001204,-0.288,-0.208
-0.00012038,-0.288,-0.208
-0.00012036,-0.28,-0.208
-0.00012034,-0.288,-0.2
-0.00012032,-0.288,-0.208
-0.0001203,-0.28,-0.208
-0.00012028,-0.28,-0.208
-0.00012026,-0.288,-0.208
-0.00012024,-0.288,-0.208
-0.00012022,-0.28,-0.2
-0.0001202,-0.28,-0.208
-0.00012018,-0.28,-0.208
-0.00012016,-0.288,-0.208
-0.00012014,-0.28,-0.208
-0.00012012,-0.28,-0.208
-0.0001201,-0.28,-0.208
-0.00012008,-0.28,-0.208
-0.00012006,-0.28,-0.208
-0.00012004,-0.28,-0.208
-0.00012002,-0.28,-0.208
-0.00012,-0.28,-0.208
-0.00011998,-0.28,-0.208
-0.00011996,-0.288,-0.208
-0.00011994,-0.28,-0.208
-0.00011992,-0.28,-0.208
-0.0001199,-0.28,-0.208
-0.00011988,-0.28,-0.216
-0.00011986,-0.288,-0.208
-0.00011984,-0.28,-0.208
-0.00011982,-0.28,-0.208
-0.0001198,-0.28,-0.208
-0.00011978,-0.28,-0.208
-0.00011976,-0.28,-0.208
-0.00011974,-0.28,-0.208
-0.00011972,-0.28,-0.208
-0.0001197,-0.28,-0.208
-0.00011968,-0.28,-0.208
-0.00011966,-0.288,-0.2
-0.00011964,-0.28,-0.208
-0.00011962,-0.28,-0.208
-0.0001196,-0.28,-0.216
-0.00011958,-0.28,-0.208
-0.00011956,-0.28,-0.208
-0.00011954,-0.28,-0.216
-0.00011952,-0.28,-0.208
-0.0001195,-0.28,-0.208
-0.00011948,-0.28,-0.208
-0.00011946,-0.288,-0.208
-0.00011944,-0.288,-0.208
-0.00011942,-0.28,-0.208
-0.0001194,-0.28,-0.208
-0.00011938,-0.28,-0.216
-0.00011936,-0.28,-0.208
-0.00011934,-0.28,-0.208
-0.00011932,-0.28,-0.208
-0.0001193,-0.28,-0.216
-0.00011928,-0.28,-0.208
