#Source,#CH1,#CH2
#Second,#Volt,#Volt
-0.004096,-0.58,0.044
-0.0040956,-0.58,0.0448
-0.0040952,-0.58,0.0456
-0.0040948,-0.56,0.0448
-0.0040944,-0.58,0.0448
-0.004094,-0.56,0.044
-0.0040936,-0.58,0.044
-0.0040932,-0.58,0.0448
-0.0040928,-0.56,0.0448
-0.0040924,-0.58,0.0456
-0.004092,-0.56,0.044
-0.0040916,-0.58,0.0456
-0.0040912,-0.56,0.0456
-0.0040908,-0.56,0.0448
-0.0040904,-0.58,0.044
-0.00409,-0.58,0.0464
-0.0040896,-0.58,0.0448
-0.0040892,-0.58,0.0448
-0.0040888,-0.58,0.044
-0.0040884,-0.58,0.0448
-0.004088,-0.58,0.0448
-0.0040876,-0.56,0.0456
-0.0040872,-0.58,0.0456
-0.0040868,-0.58,0.0456
-0.0040864,-0.58,0.044
-0.004086,-0.58,0.0448
-0.0040856,-0.58,0.0448
-0.0040852,-0.6,0.0448
-0.0040848,-0.56,0.0456
-0.0040844,-0.58,0.044
-0.004084,-0.6,0.0448
-0.0040836,-0.58,0.0456
-0.0040832,-0.6,0.044
-0.0040828,-0.6,0.0448
-0.0040824,-0.58,0.0456
-0.004082,-0.56,0.0464
-0.0040816,-0.56,0.044
-0.0040812,-0.6,0.044
-0.0040808,-0.58,0.044
-0.0040804,-0.58,0.0448
-0.00408,-0.58,0.0456
-0.0040796,-0.58,0.0464
-0.0040792,-0.58,0.0448
-0.0040788,-0.58,0.0456
-0.0040784,-0.56,0.044
-0.004078,-0.58,0.0456
-0.0040776,-0.58,0.044
-0.0040772,-0.6,0.0456
-0.0040768,-0.58,0.0448
-0.0040764,-0.58,0.044
-0.004076,-0.58,0.044
-0.0040756,-0.58,0.0456
-0.0040752,-0.58,0.0448
-0.0040748,-0.58,0.0448
-0.0040744,-0.6,0.0448
-0.004074,-0.58,0.044
-0.0040736,-0.58,0.0448
-0.0040732,-0.6,0.0456
-0.0040728,-0.56,0.0456
-0.0040724,-0.56,0.0456
-0.004072,-0.58,0.0456
-0.0040716,-0.58,0.0448
-0.0040712,-0.6,0.0448
-0.0040708,-0.58,0.044
-0.0040704,-0.58,0.0456
-0.00407,-0.58,0.044
-0.0040696,-0.6,0.0456
-0.0040692,-0.6,0.0448
-0.0040688,-0.6,0.044
-0.0040684,-0.58,0.0432
-0.004068,-0.6,0.0448
-0.0040676,-0.6,0.0464
-0.0040672,-0.58,0.044
-0.0040668,-0.6,0.044
-0.0040664,-0.58,0.0448
-0.004066,-0.6,0.044
-0.0040656,-0.56,0.0456
-0.0040652,-0.58,0.044
-0.0040648,-0.58,0.044
-0.0040644,-0.58,0.044
-0.004064,-0.58,0.0464
-0.0040636,-0.6,0.0456
-0.0040632,-0.58,0.0456
-0.0040628,-0.56,0.0448
-0.0040624,-0.58,0.0456
-0.004062,-0.6,0.0448
-0.0040616,-0.6,0.0456
-0.0040612,-0.58,0.0456
-0.0040608,-0.6,0.0448
-0.0040604,-0.6,0.0448
-0.00406,-0.58,0.0448
-0.004059601,-0.6,0.0464
-0.004059201,-0.6,0.0464
-0.004058801,-0.58,0.044
-0.004058401,-0.6,0.0456
-0.004058001,-0.6,0.0448
-0.004057601,-0.6,0.0456
-0.004057201,-0.6,0.0464
-0.004056801,-0.58,0.044
-0.004056401,-0.6,0.044
-0.004056001,-0.6,0.0448
-0.004055601,-0.6,0.044
-0.004055201,-0.6,0.0456
-0.004054801,-0.6,0.0456
-0.004054401,-0.6,0.044
-0.004054001,-0.6,0.0456
-0.004053601,-0.58,0.044
-0.004053201,-0.6,0.0456
-0.004052801,-0.6,0.0472
-0.004052401,-0.6,0.0448
-0.004052001,-0.6,0.0456
-0.004051601,-0.6,0.0448
-0.004051201,-0.6,0.044
-0.004050801,-0.6,0.0448
-0.004050401,-0.6,0.044
-0.004050001,-0.6,0.0456
-0.004049601,-0.6,0.0448
-0.004049201,-0.6,0.0456
