#Source,#CH1,#CH2
#Second,#Volt,#Volt
-0.0002048,-0.0184,0.048
-0.00020478,-0.0184,0.048
-0.00020476,-0.0168,0.0488
-0.00020474,-0.0184,0.0472
-0.00020472,-0.0176,0.0472
-0.0002047,-0.0184,0.0472
-0.00020468,-0.0184,0.048
-0.00020466,-0.0192,0.0472
-0.00020464,-0.0184,0.0472
-0.00020462,-0.0168,0.0488
-0.0002046,-0.0168,0.048
-0.00020458,-0.0184,0.0472
-0.00020456,-0.0176,0.048
-0.00020454,-0.0168,0.0472
-0.00020452,-0.0168,0.048
-0.0002045,-0.0168,0.0472
-0.00020448,-0.0192,0.0472
-0.00020446,-0.0184,0.048
-0.00020444,-0.0184,0.048
-0.00020442,-0.0192,0.048
-0.0002044,-0.0192,0.0472
-0.00020438,-0.0192,0.0472
-0.00020436,-0.0184,0.0472
-0.00020434,-0.0192,0.048
-0.00020432,-0.0184,0.048
-0.0002043,-0.0192,0.048
-0.00020428,-0.0192,0.048
-0.00020426,-0.0168,0.0472
-0.00020424,-0.0184,0.0472
-0.00020422,-0.0184,0.0472
-0.0002042,-0.0184,0.0472
-0.00020418,-0.0176,0.0472
-0.00020416,-0.0184,0.0472
-0.00020414,-0.0184,0.0464
-0.00020412,-0.0184,0.0472
-0.0002041,-0.0184,0.0472
-0.00020408,-0.0184,0.048
-0.00020406,-0.0192,0.048
-0.00020404,-0.0184,0.0472
-0.00020402,-0.0176,0.0472
-0.000204,-0.0168,0.0464
-0.00020398,-0.0184,0.0456
-0.00020396,-0.0184,0.0464
-0.00020394,-0.0184,0.048
-0.00020392,-0.0192,0.048
-0.0002039,-0.0184,0.048
-0.00020388,-0.0184,0.048
-0.00020386,-0.0176,0.0472
-0.00020384,-0.0192,0.0472
-0.00020382,-0.0184,0.0472
-0.0002038,-0.0192,0.0472
-0.00020378,-0.0176,0.0472
-0.00020376,-0.0184,0.0472
-0.00020374,-0.0184,0.0472
-0.00020372,-0.0184,0.0488
-0.0002037,-0.0192,0.0472
-0.00020368,-0.0184,0.0472
-0.00020366,-0.0184,0.0472
-0.00020364,-0.0192,0.0472
-0.00020362,-0.0192,0.0472
-0.0002036,-0.0192,0.0472
-0.00020358,-0.02,0.048
-0.00020356,-0.0192,0.0472
-0.00020354,-0.0176,0.0472
-0.00020352,-0.0184,0.0472
-0.0002035,-0.0184,0.0472
-0.00020348,-0.0192,0.048
-0.00020346,-0.0176,0.0472
-0.00020344,-0.0192,0.048
-0.00020342,-0.0192,0.0472
-0.0002034,-0.0184,0.048
-0.00020338,-0.0184,0.0472
-0.00020336,-0.0192,0.0472
-0.00020334,-0.0192,0.0472
-0.00020332,-0.0192,0.048
-0.0002033,-0.02,0.0488
-0.00020328,-0.0184,0.0472
-0.00020326,-0.0184,0.048
-0.00020324,-0.0192,0.048
-0.00020322,-0.0192,0.048
-0.0002032,-0.0184,0.0472
-0.00020318,-0.0184,0.048
-0.00020316,-0.0184,0.0472
-0.00020314,-0.0184,0.0472
-0.00020312,-0.0192,0.0472
-0.0002031,-0.0184,0.0488
-0.00020308,-0.0184,0.048
-0.00020306,-0.0184,0.0472
-0.00020304,-0.0176,0.0472
-0.00020302,-0.0192,0.0472
-0.000203,-0.0192,0.0472
-0.00020298,-0.0184,0.048
-0.00020296,-0.0184,0.048
-0.00020294,-0.0192,0.0464
-0.00020292,-0.0184,0.048
-0.0002029,-0.0184,0.048
-0.00020288,-0.0184,0.048
-0.00020286,-0.0192,0.0472
-0.00020284,-0.0192,0.048
-0.00020282,-0.02,0.0472
-0.0002028,-0.0208,0.0472
-0.00020278,-0.02,0.0472
-0.00020276,-0.0192,0.0472
-0.00020274,-0.0192,0.0472
-0.00020272,-0.02,0.0472
-0.0002027,-0.0184,0.0472
-0.00020268,-0.0184,0.048
-0.00020266,-0.0192,0.048
-0.00020264,-0.0192,0.048
-0.00020262,-0.0192,0.048
-0.0002026,-0.0192,0.0472
-0.00020258,-0.0192,0.0464
-0.00020256,-0.0184,0.0472
-0.00020254,-0.02,0.048
-0.00020252,-0.0192,0.0472
-0.0002025,-0.0192,0.0472
-0.00020248,-0.0192,0.048
-0.00020246,-0.0192,0.048
-0.00020244,-0.0192,0.0472
-0.00020242,-0.0184,0.0472
-0.0002024,-0.02,0.0472
-0.00020238,-0.0192,0.0472
-0.00020236,-0.02,0.0472
-0.00020234,-0.02,0.0472
-0.00020232,-0.02,0.0472
-0.0002023,-0.02,0.048
-0.00020228,-0.02,0.0472
-0.00020226,-0.0192,0.0472
-0.00020224,-0.0192,0.0472
-0.00020222,-0.02,0.0472
-0.0002022,-0.0192,0.0488
-0.00020218,-0.0192,0.048
-0.00020216,-0.0192,0.0472
-0.00020214,-0.0192,0.0472
-0.00020212,-0.0184,0.0464
-0.0002021,-0.0184,0.0472
-0.00020208,-0.0192,0.0472
-0.00020206,-0.0184,0.0472
-0.00020204,-0.0192,0.0472
-0.00020202,-0.0192,0.0472
