#Source,#CH1,#CH2
#Second,#Volt,#Volt
-0.0004096,-0.0264,0.0336
-0.00040956,-0.0272,0.0336
-0.00040952,-0.0264,0.0344
-0.00040948,-0.0264,0.0344
-0.00040944,-0.0264,0.0328
-0.0004094,-0.0272,0.0336
-0.00040936,-0.0264,0.0344
-0.00040932,-0.0264,0.0328
-0.00040928,-0.0272,0.0336
-0.00040924,-0.0272,0.0328
-0.0004092,-0.0264,0.0336
-0.00040916,-0.0264,0.0336
-0.00040912,-0.0264,0.0328
-0.00040908,-0.0272,0.0336
-0.00040904,-0.0264,0.0328
-0.000409,-0.0264,0.0328
-0.00040896,-0.0264,0.0328
-0.00040892,-0.0264,0.0336
-0.00040888,-0.0264,0.0336
-0.00040884,-0.0272,0.0328
-0.0004088,-0.0264,0.0336
-0.00040876,-0.0272,0.0344
-0.00040872,-0.028,0.0336
-0.00040868,-0.0264,0.0336
-0.00040864,-0.0264,0.0328
-0.0004086,-0.0264,0.0336
-0.00040856,-0.0264,0.0336
-0.00040852,-0.0264,0.0336
-0.00040848,-0.0264,0.032
-0.00040844,-0.0272,0.0328
-0.0004084,-0.0264,0.0328
-0.00040836,-0.0272,0.0336
-0.00040832,-0.0264,0.0328
-0.00040828,-0.0264,0.0336
-0.00040824,-0.0264,0.0336
-0.0004082,-0.0272,0.0328
-0.00040816,-0.0272,0.0328
-0.00040812,-0.0264,0.0328
-0.00040808,-0.0272,0.0336
-0.00040804,-0.0264,0.0336
-0.000408,-0.0272,0.0336
-0.00040796,-0.0264,0.0336
-0.00040792,-0.0272,0.0336
-0.00040788,-0.0288,0.0328
-0.00040784,-0.028,0.0344
-0.0004078,-0.0264,0.0328
-0.00040776,-0.0272,0.0336
-0.00040772,-0.0264,0.0336
-0.00040768,-0.0272,0.032
-0.00040764,-0.0272,0.0336
-0.0004076,-0.0272,0.0328
-0.00040756,-0.0272,0.0336
-0.00040752,-0.0264,0.0328
-0.00040748,-0.028,0.0328
-0.00040744,-0.0256,0.0328
-0.0004074,-0.0264,0.032
-0.00040736,-0.0288,0.0344
-0.00040732,-0.0272,0.0328
-0.00040728,-0.028,0.0336
-0.00040724,-0.0272,0.0328
-0.0004072,-0.0272,0.032
-0.00040716,-0.0272,0.032
-0.00040712,-0.0288,0.0328
-0.00040708,-0.028,0.0336
-0.00040704,-0.0272,0.0328
-0.000407,-0.0272,0.0328
-0.00040696,-0.028,0.032
-0.00040692,-0.0272,0.0328
-0.00040688,-0.028,0.0336
-0.00040684,-0.0272,0.0328
-0.0004068,-0.0272,0.0328
-0.00040676,-0.0272,0.0328
-0.00040672,-0.0264,0.032
-0.00040668,-0.0272,0.0328
-0.00040664,-0.0272,0.0328
-0.0004066,-0.0272,0.032
-0.00040656,-0.028,0.0328
-0.00040652,-0.0272,0.0328
-0.00040648,-0.0272,0.0304
-0.00040644,-0.0272,0.0328
-0.0004064,-0.0288,0.0336
-0.00040636,-0.0272,0.0312
-0.00040632,-0.0272,0.0328
-0.00040628,-0.028,0.0328
-0.00040624,-0.0272,0.0328
-0.0004062,-0.0272,0.032
-0.00040616,-0.0272,0.032
-0.00040612,-0.028,0.0328
-0.00040608,-0.0272,0.0328
-0.00040604,-0.0272,0.0328
-0.000406,-0.0264,0.032
-0.00040596,-0.0272,0.032
-0.00040592,-0.0272,0.032
-0.00040588,-0.0272,0.0328
-0.00040584,-0.0272,0.032
-0.0004058,-0.028,0.0328
-0.00040576,-0.0264,0.0328
-0.00040572,-0.0272,0.0328
-0.00040568,-0.0272,0.0312
-0.00040564,-0.0272,0.0328
-0.0004056,-0.0272,0.0328
-0.00040556,-0.0272,0.032
-0.00040552,-0.028,0.032
-0.00040548,-0.0272,0.032
-0.00040544,-0.0272,0.032
-0.0004054,-0.0272,0.032
-0.00040536,-0.0272,0.0304
-0.00040532,-0.0272,0.0328
-0.00040528,-0.0272,0.0328
-0.00040524,-0.0264,0.0328
-0.0004052,-0.0288,0.0328
-0.00040516,-0.028,0.0328
-0.00040512,-0.028,0.032
-0.00040508,-0.0288,0.032
-0.00040504,-0.0264,0.032
-0.000405,-0.0272,0.0312
-0.00040496,-0.0272,0.0312
-0.00040492,-0.0264,0.0312
-0.00040488,-0.0288,0.0328
-0.00040484,-0.0264,0.0304
-0.0004048,-0.028,0.032
-0.00040476,-0.028,0.032
-0.00040472,-0.0272,0.0312
-0.00040468,-0.028,0.032
-0.00040464,-0.0264,0.0304
-0.0004046,-0.0272,0.032
-0.00040456,-0.0272,0.032
-0.00040452,-0.0288,0.0304
-0.00040448,-0.028,0.0336
-0.00040444,-0.028,0.0304
-0.0004044,-0.028,0.032
-0.00040436,-0.0272,0.0296
-0.00040432,-0.028,0.032
-0.00040428,-0.0272,0.032
-0.00040424,-0.028,0.0312
-0.0004042,-0.0296,0.0312
-0.00040416,-0.028,0.0312
-0.00040412,-0.0288,0.0312
-0.00040408,-0.0272,0.032
-0.00040404,-0.028,0.0304
-0.000404,-0.0272,0.0312
-0.00040396,-0.0264,0.0312
-0.00040392,-0.0272,0.0328
-0.00040388,-0.028,0.032
-0.00040384,-0.0272,0.0304
-0.0004038,-0.0272,0.032
-0.00040376,-0.0272,0.0328
-0.00040372,-0.0288,0.032
-0.00040368,-0.0288,0.032
-0.00040364,-0.0272,0.0312
-0.0004036,-0.0288,0.0304
-0.00040356,-0.0272,0.0312
-0.00040352,-0.0296,0.032
-0.00040348,-0.028,0.0328
-0.00040344,-0.0288,0.032
-0.0004034,-0.0288,0.0312
-0.00040336,-0.028,0.0312
-0.00040332,-0.028,0.0288
-0.00040328,-0.0296,0.032
-0.00040324,-0.028,0.032
-0.0004032,-0.0288,0.0304
-0.00040316,-0.0288,0.032
-0.00040312,-0.0272,0.0312
-0.00040308,-0.0288,0.0304
-0.00040304,-0.0288,0.0312
-0.000403,-0.0272,0.0304
-0.00040296,-0.028,0.0312
-0.00040292,-0.028,0.0304
-0.00040288,-0.028,0.0304
-0.00040284,-0.028,0.0312
-0.0004028,-0.028,0.0312
-0.00040276,-0.0288,0.0304
-0.00040272,-0.028,0.0304
-0.00040268,-0.0296,0.0304
-0.00040264,-0.028,0.032
-0.0004026,-0.028,0.0312
-0.00040256,-0.0288,0.032
-0.00040252,-0.028,0.032
-0.00040248,-0.0264,0.0304
-0.00040244,-0.0296,0.0304
-0.0004024,-0.0272,0.0296
-0.00040236,-0.0288,0.0304
-0.00040232,-0.028,0.0304
-0.00040228,-0.028,0.0296
-0.00040224,-0.028,0.0312
-0.0004022,-0.0288,0.0312
-0.00040216,-0.028,0.0304
-0.00040212,-0.0296,0.0296
-0.00040208,-0.0272,0.0304
-0.00040204,-0.0288,0.0312
-0.000402,-0.0296,0.0312
-0.00040196,-0.0296,0.032
-0.00040192,-0.0288,0.0304
-0.00040188,-0.028,0.0304
-0.00040184,-0.0288,0.032
-0.0004018,-0.0296,0.0312
-0.00040176,-0.0288,0.0304
-0.00040172,-0.0296,0.032
-0.00040168,-0.028,0.0296
-0.00040164,-0.0288,0.0296
-0.0004016,-0.0288,0.0312
-0.00040156,-0.0288,0.0296
-0.00040152,-0.0296,0.0304
-0.00040148,-0.0288,0.032
-0.00040144,-0.0288,0.0304
-0.0004014,-0.0288,0.0304
-0.00040136,-0.0288,0.0304
-0.00040132,-0.0304,0.032
-0.00040128,-0.0272,0.0304
-0.00040124,-0.0288,0.0304
-0.0004012,-0.028,0.0296
-0.00040116,-0.0296,0.0288
-0.00040112,-0.0288,0.0312
-0.00040108,-0.028,0.0304
-0.00040104,-0.0288,0.0304
-0.000401,-0.0288,0.0288
-0.00040096,-0.0272,0.0296
-0.00040092,-0.0312,0.0304
-0.00040088,-0.0296,0.0312
-0.00040084,-0.0296,0.0296
-0.0004008,-0.0296,0.0296
-0.00040076,-0.0304,0.0296
-0.00040072,-0.0304,0.0304
-0.00040068,-0.028,0.0296
-0.00040064,-0.028,0.0304
-0.0004006,-0.0288,0.0304
-0.00040056,-0.0296,0.0296
-0.00040052,-0.0304,0.0312
-0.00040048,-0.028,0.0296
-0.00040044,-0.0288,0.0296
-0.0004004,-0.0288,0.0296
-0.00040036,-0.0288,0.0304
-0.00040032,-0.0272,0.0288
-0.00040028,-0.028,0.0296
-0.00040024,-0.0288,0.0296
-0.0004002,-0.0288,0.0304
-0.00040016,-0.0288,0.0296
-0.00040012,-0.0288,0.0296
-0.00040008,-0.0288,0.0296
-0.00040004,-0.0304,0.0296
-0.0004,-0.0312,0.0296
-0.00039996,-0.0304,0.0288
-0.00039992,-0.028,0.0296
-0.00039988,-0.0304,0.0296
-0.00039984,-0.0296,0.0304
-0.0003998,-0.0296,0.0304
-0.00039976,-0.0288,0.0288
-0.00039972,-0.0288,0.0288
-0.00039968,-0.0272,0.0288
-0.00039964,-0.0312,0.0304
-0.0003996,-0.0296,0.0296
-0.00039956,-0.028,0.0296
-0.00039952,-0.0288,0.0296
-0.00039948,-0.028,0.0288
-0.00039944,-0.028,0.0296
-0.0003994,-0.0296,0.0288
-0.00039936,-0.0296,0.0288
-0.00039932,-0.028,0.0296
-0.00039928,-0.0304,0.0288
-0.00039924,-0.0296,0.0304
-0.0003992,-0.0296,0.0288
-0.00039916,-0.0296,0.0288
-0.00039912,-0.0304,0.0296
-0.00039908,-0.0288,0.0288
-0.00039904,-0.0296,0.0288
-0.000399,-0.0304,0.0288
-0.00039896,-0.0312,0.0304
-0.00039892,-0.028,0.0288
-0.00039888,-0.0312,0.0296
-0.00039884,-0.0304,0.0288
-0.0003988,-0.0296,0.0272
-0.00039876,-0.0288,0.0288
-0.00039872,-0.0296,0.0296
-0.00039868,-0.0296,0.0288
-0.00039864,-0.0304,0.0288
