#X #Y #V
#m #m #V
-0.00326145 1.50394 0.0107
-0.106366 1.49946 0.569
-0.200504 1.48601 1.09
-0.312574 1.47256 1.65
-0.415678 1.45015 2.17
-0.496368 1.41877 2.63
-0.635335 1.36049 3.29
-0.720508 1.31567 3.71
-0.814646 1.24394 4.23
-0.944647 1.16773 4.42
-1.02085 1.10497 4.48
-1.0881 1.02877 4.55
-1.17775 0.939111 4.35
-1.22258 0.871869 4.24
-1.25396 0.827041 4.09
-1.29879 0.755317 3.82
-1.33913 0.674626 3.51
-1.37051 0.611867 3.20
-1.39741 0.553591 2.90
-1.43327 0.42359 2.29
-1.47362 0.280141 1.51
-1.49155 0.163588 0.875
-1.49155 0.0694498 0.386
-1.50051 0.00669075 0.0322
-1.50051 -0.082965 -0.437
-1.49155 -0.181586 -0.977
-1.4781 -0.266759 -1.42
-1.46465 -0.31607 -1.71
-1.45569 -0.383312 -2.03
-1.44224 -0.423657 -2.24
-1.42879 -0.472968 -2.48
-1.41086 -0.522278 -2.74
-1.38396 -0.580555 -3.07
-1.35706 -0.638831 -3.33
-1.33913 -0.683659 -3.51
-1.31224 -0.728487 -3.71
-1.28982 -0.750901 -3.90
-1.24499 -0.822625 -4.17
-1.23155 -0.858488 -4.21
-1.21361 -0.885384 -4.26
-1.15982 -0.957109 -4.42
-1.11499 -1.00194 -4.54
-1.0612 -1.05573 -4.59
-1.02085 -1.09608 -4.54
-0.971544 -1.13642 -4.53
-0.926716 -1.19021 -4.30
-0.881888 -1.21711 -4.24
-0.814646 -1.25746 -4.08
-0.75637 -1.29332 -3.85
-0.689128 -1.33366 -3.55
-0.612921 -1.36056 -3.27
-0.572576 -1.38746 -3.02
-0.496368 -1.41435 -2.65
-0.415678 -1.43228 -2.26
-0.348436 -1.45022 -1.92
-0.281194 -1.45918 -1.58
-0.182573 -1.4816 -0.998
-0.124297 -1.49056 -0.687
-0.0660205 -1.49504 -0.36
-0.00774424 -1.49504 -0.0328
0.0146697 -1.49056 0.0774
