#x #y #V
#m #m #V
-1.03 1.02082 -5.09
-1.06359 -1.06561 -4.5
-1.13077 -1.13278 -3.67
-1.16995 -1.16637 -3.31
-1.19794 -1.19996 -3.05
-1.20914 -1.20555 -2.97
-1.24272 -1.23354 -2.74
-1.27071 -1.27273 -2.51
-1.2931 -1.29512 -2.38
-1.3099 -1.31751 -2.26
-1.33229 -1.3399 -2.15
-1.36028 -1.36789 -2.01
-1.37147 -1.37909 -1.96
-1.41626 -1.42947 -1.75
-1.45544 -1.45186 -1.65
-1.47223 -1.47985 -1.57
-1.49463 -1.49664 -1.5
-1.50155 -1.50088 -1.48
-1.52197 -1.52129 -1.42
-1.5461 -1.54542 -1.36
-1.57394 -1.57141 -1.29
-1.59992 -1.60481 -1.21
-1.63148 -1.63451 -1.14
-1.65004 -1.65678 -1.1
-1.66488 -1.6772 -1.06
-1.69829 -1.69576 -1.02
-1.71128 -1.71803 -0.983
-1.75026 -1.75144 -0.922
-1.78924 -1.79042 -0.86
-1.82265 -1.82383 -0.814
-1.84863 -1.8461 -0.78
-1.8709 -1.87208 -0.749
-1.89503 -1.89992 -0.72
-1.92102 -1.92034 -0.691
-1.93401 -1.9389 -0.676
-1.97484 -1.97416 -0.637
-1.9947 -1.99477 -0.617
-1.9996 -1.99941 -0.613
