#X #Y #V
-0.995883 0.00166935 0.0235
-0.967589 -0.00116006 -0.0256
-0.936465 -0.00116006 -0.0281
-0.891195 0.00732818 0.226
-0.862901 -0.00398947 -0.105
-0.834607 -0.00398947 -0.114
-0.794995 -0.00681889 -0.298
-0.76953 0.000449877 0.228
-0.732748 0.001166935 0.0497
-0.690306 -0.00398947 -0.163
-0.664842 0.00166935 0.0572
-0.633718 -0.00116006 -0.0602
-0.599765 -0.00116006 -0.0628
-0.562983 -0.00398947 -0.194
-0.534689 0.00449877 0.328
-0.495077 -0.00116006 -0.0655
-0.455465 -0.00116006 -0.064
-0.43283 0.00166935 0.0625
-0.396047 -0.00116006 -0.0594
-0.362094 -0.00116006 -0.0555
-0.3338 0.00732818 0.362
-0.299847 -0.00116006 -0.0468
-0.263065 0.00449877 0.206
-0.231941 0.00166935 0.0362
-0.195159 0.00449877 0.152
-0.166865 0.00166935 0.026
-0.130082 0.00166935 0.0203
-0.0961294 0.00166935 0.0149
-0.0621764 0.00166935 0.00966
-0.0367117 0.00166935 0.00566
0.0311943 -0.00398947 0.0142
0.0651473 0.00166935 -0.00997
0.090612 0.00166935 -0.014
0.130224 0.00449877 -0.101
0.167006 0.00166935 -0.026
0.1953 0.00449877 -0.152
0.232083 -0.00398947 0.11
0.260377 -0.00116006 0.041
0.29433 -0.00116006 0.0462
0.331112 0.00166935 -0.0514
0.365065 0.00166935 -0.0558
0.396189 0.00166935 -0.0594
0.435801 -0.00116066 0.0627
0.461265 -0.00681889 0.45
0.495218 0.00732818 -0.458
0.532001 0.00166935 -0.0655
0.563124 0.00166935 -0.0647
0.599907 0.00732818 -0.44
0.63103 -0.00116006 0.0603
0.664983 0.0101576 -0.629
0.693277 -0.00116006 0.0542
0.73006 -0.00116006 0.0499
0.766842 -0.00116006 0.0458
0.797966 -0.00681889 0.296
0.831919 0.00449877 -0.193
0.860213 0.00166935 -0.0353
0.891336 -0.00116006 0.0323
0.936607 -0.00116006 0.0281
0.967731 -0.00681889 0.179
0.996025 -0.00116006 0.0233
