#X #Y #V
7.07354e-5 0.499646 -0.0655
-0.0282234 0.499646 1.91
-0.0650058 0.499646 4.34
-0.0961294 0.493987 6.62
-0.115935 0.491158 7.99
-0.138571 0.485499 9.92
-0.161206 0.471352 11.8
-0.195159 0.462864 15
-0.226282 0.448717 18.5
-0.257406 0.43174 22
-0.2857 0.414764 25.5
-0.316824 0.389299 28.7
-0.330971 0.375152 29.5
-0.345118 0.361005 30
-0.359265 0.355346 31.3
-0.373412 0.33837 30.6
-0.390388 0.318564 29.3
-0.404536 0.298758 27.1
-0.421512 0.267634 23
-0.441318 0.24217 20.4
-0.449806 0.222364 18
-0.455465 0.208217 16.5
-0.469612 0.168605 12.5
-0.483759 0.128993 9.08
-0.492247 0.0978695 6.62
-0.495077 0.0752341 5.04
-0.497906 0.04694 3.11
-0.506394 0.00166935 0.0656
-0.500736 -0.0322836 -2.17
-0.497906 -0.0577484 -3.79
-0.495077 -0.0775543 -5.18
-0.483759 -0.119995 -8.28
-0.48093 -0.14829 -10.8
-0.466783 0.149413 -13.4
-0.452636 -0.204878 -16
-0.438489 -0.238831 -19.8
-0.427171 -0.255807 -21.5
-0.413024 -0.281272 -24.7
-0.393218 -0.312396 -28.4
-0.373412 -0.332202 -29.6
-0.356436 -0.346349 -29.7
-0.330971 -0.371813 -29
-0.299847 -0.397278 -26.4
-0.280041 -0.414255 -24.8
-0.257406 -0.428402 -21.9
-0.231941 -0.442549 -18.8
-0.192329 -0.456696 -14.7
-0.169694 -0.465184 -12.5
-0.144229 -0.476502 -10.4
-0.121594 -0.482161 -8.43
-0.0932999 -0.487819 -6.31
-0.0650058 -0.493478 -4.33
-0.0310528 -0.493478 -2.04
-0.00841751 -0.496308 -0.59
0.0255355 -0.493478 1.64
0.0651473 -0.493478 4.33
0.104759 -0.487819 7.21
0.138712 -0.476502 9.87
0.167006 -0.465184 12.3
0.192471 -0.456696 14.7
0.212277 -0.448208 16.8
0.251889 -0.428402 21
0.280183 -0.414255 24.8
0.299989 -0.400108 26.8
0.331112 -0.371813 29
0.348089 -0.354837 29.7
0.370724 -0.332202 29.4
0.401848 -0.29259 25.8
0.424483 -0.261466 22.3
0.43863 -0.236001 19.5
0.449948 -0.207707 16.1
0.464095 -0.176584 13.2
0.475412 -0.14546 10.4
0.489559 -0.0973602 6.61
0.465218 -0.0520895 3.51
0.498048 -0.0181365 1.25
0.495218 0.00166935 -0.0655
0.495218 0.0243047 -1.64
0.495218 0.0667459 -4.48
0.48673 0.0978695 -6.61
0.478242 0.134652 -9.55
0.478242 0.168605 -12.6
0.452777 0.208217 -16.4
0.43863 0.23934 -19.8
0.421654 0.264805 -22.7
0.407506 0.29027 -25.9
0.387701 0.315734 -28.2
0.370724 0.33837 -30.4
0.350918 0.355346 -30
0.331112 0.375152 -29.5
0.308477 0.394958 -27.9
0.285842 0.409105 -25.1
0.251889 0.43174 -21.1
0.217936 0.451546 -17.3
0.183983 0.465693 -13.8
0.158518 0.474182 -11.6
0.130224 0.485499 -9.25
0.10193 0.493987 -6.92
0.0736355 0.499646 -4.9
0.042512 0.499646 -2.84
0.0170472 0.502476 -1.12
