#X #Y #V
0.987536 0.994794 -5.73
0.97056 0.974988 -6.11
0.945095 0.952353 -6.67
0.928119 0.929717 -7.19
0.911142 0.91557 -7.65
0.896995 0.898594 -8.12
0.877189 0.878788 -8.81
0.846066 0.847664 -10.1
0.829089 0.830688 -10.9
0.809283 0.808053 -12
0.789477 0.791076 -13.2
0.766842 0.7741 -14.6
0.747036 0.748635 -16.5
0.724401 0.728829 -18.7
0.707424 0.709023 -21.1
0.690448 0.694876 -23.3
0.676301 0.680729 -25.7
0.642348 0.646776 -33.6
0.622542 0.62697 -40.4
0.599907 0.593017 -55.2
0.574442 0.576041 -72.2
0.548977 0.547746 -120
0.523512 0.525111 -248
0.483901 0.488329 -447
0.466924 0.468523 -189
0.447118 0.445887 -106
0.415995 0.417593 -63.4
0.396189 0.394958 -48.5
0.373553 0.375152 -37.5
0.348089 0.352517 -29.4
0.319795 0.324223 -22.1
0.29433 0.301587 -17.6
0.274524 0.276123 -14.3
0.249059 0.250658 -11.2
0.209447 0.208217 -7.37
0.189642 0.19407 -6.1
0.167006 0.174264 -4.74
0.138712 0.148799 -3.3
0.107588 0.109187 -1.82
0.0792943 0.0837224 -1.01
0.056659 0.0582576 -0.517
0.00855898 0.00449877 -0.00688
0.0170472 0.0158164 -0.039
-0.0140763 -0.0124777 -0.0298
-0.0310528 -0.026248 -0.128
-0.0480293 -0.0520895 -0.399
-0.0706646 -0.0747248 -0.821
-0.0932999 -0.0888719 -1.28
-0.118765 -0.114337 -2.15
-0.132912 -0.134143 -2.84
-0.158376 -0.156778 -4.01
-0.175353 -0.170925 -4.86
-0.192329 -0.187901 -5.96
-0.209306 -0.204878 -7.21
-0.246088 -0.24166 -10.5
-0.271553 -0.272784 -13.8
-0.294188 -0.28976 -16.7
-0.316824 -0.309566 -20.3
-0.330971 -0.320884 -23
-0.350777 -0.349178 -29.1
-0.376241 -0.371813 -37.5
-0.404536 -0.400108 -53
-0.427171 -0.428402 -76.3
-0.452636 -0.451037 -121
-0.48093 -0.473672 -266
-0.520542 -0.510455 -357
-0.548836 -0.541578 -128
-0.5743 -0.575531 -73.3
-0.605424 -0.603825 -50.3
-0.633718 -0.634949 -37.1
-0.662012 -0.663243 -29
-0.693136 -0.688708 -23.6
-0.712942 -0.708514 -20.6
-0.758212 -0.753784 -15.8
-0.794995 -0.790567 -13
-0.820459 -0.82169 -11.3
-0.871389 -0.866961 -9.15
-0.899683 -0.900914 -8.05
-0.919489 -0.92072 -7.44
-0.944954 -0.943355 -6.79
-0.978907 -0.96882 -6.09
-0.995883 -0.994285 -5.66
