#X #Y #V
-0.990224 0.991964 5.74
-0.950613 0.949523 6.64
-0.919489 0.91557 7.53
-0.894024 0.892935 8.25
-0.860071 0.858982 9.51
-0.845924 0.844835 10.2
-0.814801 0.810882 11.8
-0.786507 0.779758 13.7
-0.746895 0.745808 16.7
-0.710112 0.706194 20.9
-0.678989 0.680729 25.5
-0.650695 0.646776 32.5
-0.611083 0.615652 45.6
-0.579959 0.57887 69.1
-0.543177 0.544917 132
-0.520542 0.522282 271
-0.48093 0.485499 370
-0.446977 0.451546 113
-0.415853 0.417593 63.4
-0.393218 0.394958 47.3
-0.359265 0.358176 31.9
-0.328141 0.327052 23.4
-0.28853 0.29027 16.4
-0.248918 0.247828 11
-0.226282 0.225193 8.8
-0.192329 0.196899 6.31
-0.164035 0.162946 4.34
-0.130082 0.131822 2.71
-0.104618 0.106358 1.75
-0.0650058 0.0695753 0.691
-0.0423705 0.0441106 0.297
-0.0112469 0.0158164 0.0252
0.0113884 -0.0096483 0.0151
0.03400237 -0.0294542 0.155
0.0538296 -0.0520895 0.431
0.0764649 -0.0775543 0.916
0.0962708 -0.0973602 1.46
0.121736 -0.119995 2.26
0.15003 -0.153948 3.7
0.172665 -0.173754 4.87
0.19813 -0.19639 6.53
0.223594 -0.221854 8.45
0.251889 -0.252978 11.4
0.283012 -0.281272 15.2
0.311306 -0.303907 19.2
0.34243 -0.34069 26.9
0.39053 -0.38879 45.1
0.413165 -0.414255 61.6
0.449948 -0.451037 116
0.483901 -0.479331 329
0.515024 -0.513284 425
0.551807 -0.550066 112
0.58293 -0.584019 64.5
0.611224 -0.609484 47.1
0.636689 -0.640608 35.4
0.667813 -0.668902 27.9
0.693277 -0.691537 23.4
0.715913 -0.711343 20.4
0.741377 -0.736808 17.4
0.780989 -0.77642 14
0.814942 -0.810373 11.8
0.846066 -0.847155 10.1
0.877189 -0.87262 8.92
0.899825 -0.898084 8.09
0.945094 -0.946185 6.74
0.976219 -0.977308 6.02
