#X #Y #V
7.07354e-5 0.991964 -0.0238
7.07354e-5 0.969329 -0.0254
7.07354e-5 0.935376 -0.0286
7.07354e-5 0.892935 -0.0321
7.07354e-5 0.864641 -0.0349
-0.00275868 0.833517 0.115
-0.00275868 0.802394 0.125
-0.00275868 0.776929 0.134
-0.00275868 0.748635 0.144
0.00572956 0.709023 -0.262
0.00290015 0.683558 -0.166
0.00275868 0.655264 0.174
-0.00558809 0.615652 0.308
-0.00558809 0.593017 0.316
-0.00275868 0.561893 0.194
7.07354e-5 0.533599 -0.0655
-0.00275868 0.502476 0.197
-0.00275868 0.474182 0.195
-0.00275868 0.437399 0.188
0.00290015 0.414764 -0.183
-0.00275868 0.38364 0.174
-0.00275868 0.352517 0.163
-0.00275868 0.327052 0.152
-0.00558809 0.29027 0.228
-0.00275868 0.264805 0.125
7.07354e-5 0.230852 -0.0362
-0.00558809 0.208217 0.164
-0.00558809 0.174264 0.136
7.07354e-5 0.137481 -0.0212
-0.00558809 0.10917 0.0841
7.07354e-5 0.080893 -0.0124
-0.00275868 0.0497694 0.0225
7.07354e-5 0.0243047 -0.00382
7.07354e-5 -0.00116006 0.000153
7.07354e-5 -0.0266248 0.00413
7.07354e-5 -0.069066 0.0106
-0.00841751 -0.103019 -0.143
-0.00275868 -0.134143 -0.0627
7.07354e-5 -0.168096 0.0263
7.07354e-5 -0.190731 0.0298
0.00572956 -0.230343 0.181
7.07354e-5 -0.264296 0.0416
7.07354e-5 -0.298249 0.0468
-0.00275868 -0.33786 -0.157
-0.00275868 -0.363325 -0.167
7.07354e-5 -0.38596 0.0581
-0.00558809 -0.43406 -0.313
-0.00275868 -0.459525 -0.193
7.07354e-5 -0.493478 0.0654
-0.00275868 -0.530261 -0.197
-0.00275868 -0.558555 -0.195
7.07354e-5 -0.603825 0.0625
-0.00558809 -0.637778 -0.299
0.00572956 -0.666072 0.285
-0.00558809 -0.694367 -0.27
0.00290015 -0.733978 0.149
7.07354e-5 -0.762273 0.0462
0.00572956 -0.793396 0.214
7.07354e-5 -0.833008 0.0383
-0.00275868 -0.87262 -0.102
-0.00558809 -0.900914 -0.157
-0.00558809 -0.932037 -0.142
-0.00275868 -0.954673 -0.0797
7.07354e-5 -0.982967 0.0244
