         2147790 function calls (2085485 primitive calls) in 1123.122 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1947  977.759    0.502  979.352    0.503 C:\Users\ryank\Desktop\Work\Classes\Coding Projects\Python Review\ConwayGoL.py:9(update)
        1   66.624   66.624 1122.857 1122.857 {built-in method exec_}
     3856   25.237    0.007   25.454    0.007 {built-in method matplotlib._image.resample}
     1928   11.155    0.006   11.155    0.006 {method 'take' of 'numpy.ndarray' objects}
    76845    8.557    0.000    8.885    0.000 {built-in method numpy.core.multiarray.array}
     1928    8.065    0.004   64.104    0.033 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\image.py:272(_make_image)
     1928    2.772    0.001   21.229    0.011 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\colors.py:433(__call__)
     1939    2.398    0.001    2.398    0.001 {method 'to_string_argb' of 'matplotlib.backends._backend_agg.BufferRegion' objects}
     1925    2.263    0.001    7.769    0.004 {built-in method repaint}
     1928    2.013    0.001    2.027    0.001 {method 'draw_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     1941    1.884    0.001    1.885    0.001 {method 'copy_from_bbox' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     4223    1.680    0.000    1.680    0.000 {method 'astype' of 'numpy.ndarray' objects}
     1934    1.637    0.001    1.637    0.001 {method 'clip' of 'numpy.ndarray' objects}
     9640    1.368    0.000    1.368    0.000 {built-in method numpy.core.multiarray.copyto}
     1939    1.073    0.001    1.073    0.001 {built-in method drawImage}
     1928    0.963    0.000   65.134    0.034 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\image.py:784(make_image)
    10020    0.727    0.000    0.727    0.000 {method 'copy' of 'numpy.ndarray' objects}
     1923    0.657    0.000    0.657    0.000 {method 'restore_region' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    24238    0.632    0.000    0.632    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1928    0.589    0.000    2.892    0.001 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\colors.py:908(__call__)
     1928    0.535    0.000   21.820    0.011 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\cm.py:209(to_rgba)
     1948    0.520    0.000    0.617    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\ma\core.py:2321(masked_invalid)
2147/1928    0.490    0.000   68.621    0.036 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\artist.py:47(draw_wrapper)
     1940    0.231    0.000    6.426    0.003 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\backends\backend_qt5agg.py:54(paintEvent)
    21230    0.230    0.000    0.800    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\ma\core.py:2928(__array_finalize__)
     1948    0.167    0.000    1.336    0.001 C:\Users\ryank\Anaconda3\lib\site-packages\matplotlib\image.py:602(set_data)
    41042    0.150    0.000    0.150    0.000 {built-in method numpy.core.multiarray.dot}
    13496    0.128    0.000    4.700    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\ma\core.py:2765(__new__)
    21230    0.127    0.000    0.222    0.000 C:\Users\ryank\Anaconda3\lib\site-packages\numpy\ma\core.py:2902(_update_from)
        1    0.119    0.119    0.119    0.119 {built-in method show}
   233023    0.100    0.000    0.100    0.000 {built-in method builtins.getattr}
    11957    0.093    0.000    0.093    0.000 {built-in method numpy.core.multiarray.zeros}
